row_index,workflow_history,subject_as_recorded,subject_fast,source_authority_uri
11,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.322Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.150Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.612Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z",Arab countries.,http://id.worldcat.org/fast/1240128,
12,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.322Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.150Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.612Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z",Arab logic--Early works to 1800.,http://id.worldcat.org/fast/1748003,
13,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.322Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.150Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z",Arabic language--Dictionaries--Turkish.,http://id.worldcat.org/fast/812287|http://id.worldcat.org/fast/1423826|http://id.worldcat.org/fast/1159411,
14,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.322Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.150Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z","Arabic language--Glossaries, vocabularies, etc.--Early works to 1800.",http://id.worldcat.org/fast/812287|http://id.worldcat.org/fast/1423786,
15,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.322Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.150Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z",Arabic language--Grammar--Early works to 1800.,http://id.worldcat.org/fast/812341,
16,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.322Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.150Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z",Arabic language--Grammar.,http://id.worldcat.org/fast/812341,
17,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.322Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.150Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z",Arabic language--Versification--Early works to 1800.,http://id.worldcat.org/fast/812458,
18,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.322Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.150Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z",Arabic literature--Miscellanea--Early works to 1800.,http://id.worldcat.org/fast/812478|http://id.worldcat.org/fast/1353832,
19,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.322Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.150Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z",Arabic poetry--750-1258.,http://id.worldcat.org/fast/812533,
20,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.322Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.150Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z",Arabic poetry--Early works to 1800.,http://id.worldcat.org/fast/812533,
21,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.322Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.151Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z",Arithmetic--Early works to 1900.,http://id.worldcat.org/fast/814484,
22,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.322Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.151Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z",Arithmetic.,http://id.worldcat.org/fast/814484,
23,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.323Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.151Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.511Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.686Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.613Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.145Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.424Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.235Z",Artillery--Early works to 1800.,http://id.worldcat.org/fast/817490,
