row_index,workflow_history,subject_as_recorded,subject_fast,source_authority_uri
77,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.324Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.152Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.513Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.614Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.146Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.425Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z",Divine office.,http://id.worldcat.org/fast/895757,
78,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.324Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.152Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.513Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.614Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.146Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.425Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z",Druzes--Early works to 1800.,http://id.worldcat.org/fast/899110,
79,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.324Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.152Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.513Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.614Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.146Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.425Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z",Druzes--Sacred books--Early works to 1800.,http://id.worldcat.org/fast/899110|http://id.worldcat.org/fast/1423905,
80,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.325Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.152Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.513Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.614Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.146Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.425Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z",Druzes.,http://id.worldcat.org/fast/899110,
81,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.325Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.152Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.513Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.614Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.146Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.425Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z",Dyes and dyeing--Early works to 1800.,http://id.worldcat.org/fast/900233,
82,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.152Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.513Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.614Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.146Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z","Education--Turkey--History--Ottoman Empire, 1288-1918.",http://id.worldcat.org/fast/902499|http://id.worldcat.org/fast/1208963|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1355456,
83,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.152Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.513Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.614Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.147Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z",Encyclopedias and dictionaries--Early works to 1600.,http://id.worldcat.org/fast/909533,
84,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.152Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.513Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.614Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.147Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z",Ephemerides--Early works to 1800.,http://id.worldcat.org/fast/913680,
85,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.152Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.513Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.614Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.147Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z","Epic poetry, Persian",http://id.worldcat.org/fast/1741636,
86,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.152Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.513Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.614Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.147Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z","Epic poetry, Persian--Early works to 1800.",http://id.worldcat.org/fast/1741636,
87,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.513Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.614Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.147Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z","Epic poetry, Persian.",http://id.worldcat.org/fast/1741636,
88,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.513Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.614Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.147Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z","Erotic literature, Arabic--Early works to 1800.",http://id.worldcat.org/fast/914800,
89,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.513Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.147Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z",Ethics--Early works to 1800.,http://id.worldcat.org/fast/915833,
90,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.513Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.147Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z",Ethics.,http://id.worldcat.org/fast/915833,
91,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.513Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.147Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z",Explosives--Early works to 1800.,http://id.worldcat.org/fast/918611,
92,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.147Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z",Fever--Early works to 1800.,http://id.worldcat.org/fast/923528,
93,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.147Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z",France--Kings and rulers--Genealogy--Early works to 1800.,http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/987694|http://id.worldcat.org/fast/1423818,
94,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.147Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z",Gambling--Religious aspects--Islam--Early works to 1800.,http://id.worldcat.org/fast/937417,
95,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.147Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z",Games--Religious aspects--Islam--Early works to 1800.,http://id.worldcat.org/fast/2006519,
96,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.147Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z","Geography, Arab--Early works to 1800.",http://id.worldcat.org/fast/940571,
97,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.147Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z","Geography, Arab.",http://id.worldcat.org/fast/940571,
98,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.147Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z","Geography, Medieval.",http://id.worldcat.org/fast/940573,
99,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.147Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z",Geography--Early works to 1800.,http://id.worldcat.org/fast/940469,
100,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.147Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z",Geomancy--Islamic countries--Early works to 1800.,http://id.worldcat.org/fast/940820|http://id.worldcat.org/fast/1244130,
101,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.148Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.237Z",Geomancy.,http://id.worldcat.org/fast/940820,
102,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.148Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.238Z",Geometry--Arab countries--History.,http://id.worldcat.org/fast/940864|http://id.worldcat.org/fast/1240128|http://id.worldcat.org/fast/1411628,
103,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.148Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.238Z",Geometry--Early works to 1800.,http://id.worldcat.org/fast/940864,
104,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.148Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.238Z",Geometry--Islamic countries--History.,http://id.worldcat.org/fast/940864|http://id.worldcat.org/fast/1244130|http://id.worldcat.org/fast/1411628,
105,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.148Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.238Z",Geometry.,http://id.worldcat.org/fast/940864,
106,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.148Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.238Z",Germany.,http://id.worldcat.org/fast/1210272,
107,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.148Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.238Z","Ghazals, Persian--Early works to 1800.",http://id.worldcat.org/fast/942362,
108,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.148Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.238Z",God (Islam)--Mercy--Early works to 1800.,http://id.worldcat.org/fast/944148,
109,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.148Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.238Z",Great Britain--Kings and rulers--Genealogy--Early works to 1800.,http://id.worldcat.org/fast/1204623|http://id.worldcat.org/fast/987694|http://id.worldcat.org/fast/1423818,
110,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.153Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.148Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.238Z",Hadith--Authorities--Early works to 1800.,http://id.worldcat.org/fast/950115,
111,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.154Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.148Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.238Z",Hadith--Commentaries--Early works to 1800.,http://id.worldcat.org/fast/950119,
112,"SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T20:15:42.326Z | SUBJECT RECON, STEP 3: START SUBJECT RECON 1 2022-05-11T03:41:50.154Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:42:03.514Z | SUBJECT RECON, STEP 6: START SUBJECT RECON 2 2022-05-11T03:43:02.688Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:43:14.615Z | SUBJECT RECON, STEP 9: START SUBJECT RECON 3 2022-05-11T03:44:46.148Z | KNOWN SUBJECT RECON APPLIED 2022-05-11T03:45:18.426Z | SUBJECT RECON STEP 12: FINALIZED 2022-05-11T03:57:51.238Z","Hadith--Criticism, interpretation, etc.--Early works to 1800.",http://id.worldcat.org/fast/950112|http://id.worldcat.org/fast/1411635,
