row_index,workflow_history,language_as_recorded,language_code,authorized_label,structured_value
13,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.378Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.282Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.548Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.019Z",Arabic with some notes in Persian.,ara,Arabic|Persian,Q13955|Q9168
14,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.378Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.282Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.549Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.019Z",Arabic with translation in Persian.,ara|per,Arabic|Persian,Q13955|Q9168
15,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.378Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.282Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.549Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.019Z","Arabic, with colophon in Arabic and Ottoman Turkish (in Arabic script, f. 8v).",ara,Arabic|Arabic|Ottoman Turkish|Arabic,Q13955|Q13955|Q36730|Q13955
16,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.378Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.282Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.549Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.019Z",Arabic.,ara,Arabic,Q13955
17,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.378Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.282Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.549Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.019Z",Arabic.,ara|eng,Arabic,Q13955
18,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.378Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.282Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.549Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.019Z",Arabic; some notes in Persian.,ara|per,Arabic|Persian,Q13955|Q9168
19,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.379Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.282Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.550Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.019Z",Armenian,,Armenian,Q8785
20,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.379Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.282Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.550Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.019Z",Catalan,,Catalan,Q7026
21,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.379Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.282Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.550Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.019Z",Chiefly Ottoman Turkish with Persian and Arabic vocabulary and headings in Arabic.,ota|ara|per,Ottoman Turkish|Persian|Arabic|Arabic,Q36730|Q9168|Q13955|Q13955
22,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.379Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.282Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.550Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.019Z",Dutch,,Dutch,Q7411
23,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.379Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.282Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.550Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.019Z",East Middle Dutch,,Middle Dutch,Q178806
24,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-07T21:37:48.379Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2022-07-08T17:46:46.282Z | LANGUAGE RECON, STEP 4: KNOWN LANGUAGES APPLIED 2022-07-08T17:50:31.550Z | LANGUAGE RECON, STEP 6: FINALIZED 2022-07-08T17:51:05.019Z",English,,English,Q1860
