row_index,workflow_history,subject_as_recorded,source_authority_uri,structured_value
42,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.967Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.321Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.945Z","Gregory--I,--Pope,--approximately 540-604.--Dialogi.",,http://id.worldcat.org/fast/1821692|http://id.worldcat.org/fast/1362212
43,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.967Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.321Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.001Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.945Z","Gregory--IX,--Pope,--approximately 1170-1241.--Decretales D. Gregorii Papæ IX.",,http://id.worldcat.org/fast/1821696|http://id.worldcat.org/fast/1361356
44,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.967Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.321Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.001Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.945Z","Ḥusayn ibn ʻAlī,---680--Tomb--Early works to 1800.",,http://id.worldcat.org/fast/1825184|http://id.worldcat.org/fast/1152439
47,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.667Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.968Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.321Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.001Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.945Z","İbrahim bin Muhammed Gülşenî,---1534.--Şerh-i maʻnevi-i şerif.",,http://id.worldcat.org/fast/1825592
54,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.667Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.968Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.321Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.002Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Khalīl ibn Isḥāq al-Jundī,---1365?--Mukhtaṣar.",,http://id.worldcat.org/fast/1828571|http://id.worldcat.org/fast/1363458
56,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.667Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.968Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.322Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.003Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Lefèvre d'Étaples, Jacques,--d. 1536.",,http://id.worldcat.org/fast/1830400
62,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.668Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.968Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.323Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.003Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Muḥammad,--Prophet,---632--Companions.",,http://id.worldcat.org/fast/1836298|http://id.worldcat.org/fast/1352525
65,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.668Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.969Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.323Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.003Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Muḥammad,--Prophet,---632--Prayers and devotions--Early works to 1800.",,http://id.worldcat.org/fast/1836298|http://id.worldcat.org/fast/1423909
60,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.667Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.968Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.322Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.003Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Muḥammad,--Prophet,---632--Biography--Early works to 1800.",,http://id.worldcat.org/fast/1836298|http://id.worldcat.org/fast/1919896
61,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.667Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.968Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.322Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.003Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Muḥammad,--Prophet,---632--Biography--History and criticism.",,http://id.worldcat.org/fast/1836298|http://id.worldcat.org/fast/1919896|http://id.worldcat.org/fast/1411635
