row_index,workflow_history,subject_as_recorded,source_authority_uri,structured_value
25,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.966Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.319Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.999Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z","Cicero, Marcus Tullius--Spurious and doubtful works.",,http://id.worldcat.org/fast/32861|http://id.worldcat.org/fast/1423886
50,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.667Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.968Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.321Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.001Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Jāmī,--1414-1492.--Bahāristān.",,http://id.worldcat.org/fast/37983|http://id.worldcat.org/fast/1392675
82,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.669Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.970Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.325Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.947Z",Śaṅkarācārya.--Laghuvākyavr̥tti.,,http://id.worldcat.org/fast/38643
83,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.669Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.970Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.325Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.947Z",Śaṅkarācārya.--Śārīrakamīmāṃsābhāṣya.,,http://id.worldcat.org/fast/38643|http://id.worldcat.org/fast/1365134
53,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.667Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.968Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.321Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.002Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z",Jesus Christ.,,http://id.worldcat.org/fast/40116
52,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.667Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.968Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.321Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.002Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z",Jesus Christ--Nativity--In art.,,http://id.worldcat.org/fast/40116|http://id.worldcat.org/fast/1353868|http://id.worldcat.org/fast/815177
51,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.667Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.968Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.321Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.002Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z",Jesus Christ--Art.,,http://id.worldcat.org/fast/40116|http://id.worldcat.org/fast/815177
84,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.571Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.669Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.970Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.325Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.947Z","Taftāzānī, Masʻūd ibn ʻUmar,--1322-1389?--Sharḥ al-ʻAqāʾid al-Nasafīyah.",,http://id.worldcat.org/fast/42667|http://id.worldcat.org/fast/1365468
49,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.667Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.968Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.321Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.001Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","James,--the Greater, Saint--Art.",,http://id.worldcat.org/fast/48588|http://id.worldcat.org/fast/815177
37,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.967Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.320Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z",Franciscans,,http://id.worldcat.org/fast/530004
38,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.967Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.320Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z",Franciscans.,,http://id.worldcat.org/fast/530004
18,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.665Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.964Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.999Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z",Catholic Church,,http://id.worldcat.org/fast/531720
23,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.665Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.966Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.319Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.999Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z",Catholic Church.,,http://id.worldcat.org/fast/531720
19,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.665Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.964Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.999Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z",Catholic Church--Liturgy--Calendar--Early works to 1800.,,http://id.worldcat.org/fast/531720|http://id.worldcat.org/fast/1000579|http://id.worldcat.org/fast/844160
22,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.665Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.966Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.319Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.999Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z",Catholic Church--Prayers and devotions.,,http://id.worldcat.org/fast/531720|http://id.worldcat.org/fast/1423909
20,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.665Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.966Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.999Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z",Catholic Church--Prayers and devotions--Italian.,,http://id.worldcat.org/fast/531720|http://id.worldcat.org/fast/1423909|http://id.worldcat.org/fast/980480
21,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.665Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.966Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.999Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z",Catholic Church--Prayers and devotions--Latin.,,http://id.worldcat.org/fast/531720|http://id.worldcat.org/fast/1423909|http://id.worldcat.org/fast/993125
32,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.967Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.319Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z",Dominicans--In art.,,http://id.worldcat.org/fast/533548|http://id.worldcat.org/fast/815177
76,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.669Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.970Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.324Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","San Zeno Maggiore (Church : Verona, Italy)",,http://id.worldcat.org/fast/574026
77,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.669Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.970Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.324Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","San Zeno Maggiore (Church : Verona, Italy)--Doctrines--Early works to 1800.",,http://id.worldcat.org/fast/574026
78,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.570Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.669Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.970Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.324Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.004Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","San Zeno Maggiore (Church : Verona, Italy)--History--Early works to 1800.",,http://id.worldcat.org/fast/574026|http://id.worldcat.org/fast/1411628
13,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.665Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.964Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.999Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z",Bādarāyaṇa.--Brahmasūtra.,,http://id.worldcat.org/fast/64248|http://id.worldcat.org/fast/1357925
58,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.667Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.968Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.322Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.003Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Mary,--Blessed Virgin, Saint--Annunciation--Art.",,http://id.worldcat.org/fast/68107|http://id.worldcat.org/fast/1351679|http://id.worldcat.org/fast/815177
59,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.667Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.968Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.322Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.003Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.946Z","Mary,--Blessed Virgin, Saint--Art.",,http://id.worldcat.org/fast/68107|http://id.worldcat.org/fast/815177
9,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.665Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.962Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.998Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.943Z","Averroës,--1126-1198.--Talkhīs kitāb al-ʻIbārah.",,http://id.worldcat.org/fast/69334
10,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.665Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.963Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.998Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z","Averroës,--1126-1198.--Talkhīṣ kitāb al-maqūlāt.",,http://id.worldcat.org/fast/69334
11,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.665Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.963Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.998Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z","Averroës,--1126-1198.--Talkhīṣ madkhal Furfūriyūs.",,http://id.worldcat.org/fast/69334
17,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.568Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.665Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.964Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.318Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:50.999Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.944Z","Bukhārī, Muḥammad ibn Ismāʻīl,--810-870.--Jāmiʻ al-ṣaḥīḥ.",,http://id.worldcat.org/fast/72911|http://id.worldcat.org/fast/1362378
48,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.667Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.968Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.321Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51.001Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.945Z","Jalāl al-Dīn Rūmī,--Maulana,--1207-1273.--Mas̲navī.",,http://id.worldcat.org/fast/73511
40,"NAMED SUBJECT RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-05-10T15:44:05.569Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 1 2022-05-10T15:44:44.666Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:00.967Z | NAMED SUBJECT RECON, STEP 3: START NAMED SUBJECT RECON 2 2022-05-10T15:45:32.321Z | KNOWN NAMED SUBJECT RECON APPLIED 2022-05-10T15:45:51Z | NAMED SUBJECT RECON STEP 9: FINALIZED 2022-05-10T15:46:08.945Z","Ghazzālī,--1058-1111.--Ayyuhā al-walad.",,http://id.worldcat.org/fast/95924|http://id.worldcat.org/fast/1368794
