genre_as_recorded,vocabulary,source_authority_uri,authorized_label,structured_value
"Manuscripts, Arabic--17th century",lcsh,,"Manuscripts, Arabic;Seventeenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1113663
"Manuscripts, Arabic--17th century",local,,"Manuscripts, Arabic;Seventeenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1113663
"Manuscripts, Arabic--18th century",local,,"Manuscripts, Arabic;Eighteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/904058
"Manuscripts, Arabic--18th century",lcsh,,"Manuscripts, Arabic;Eighteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/904058
"Manuscripts, Arabic--19th century",local,,"Manuscripts, Arabic;Nineteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1037841
"Manuscripts, Arabic--19th century",lcsh,,"Manuscripts, Arabic;Nineteenth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1037841
"Manuscripts, Arabic--20th century",local,,"Manuscripts, Arabic;Twentieth century",http://id.worldcat.org/fast/1008278;http://id.worldcat.org/fast/1159810
"Manuscripts, Dutch",lcsh,,"Manuscripts, Dutch",http://id.worldcat.org/fast/1008323
"Manuscripts, English (Middle)--15th century",local,,"Manuscripts, English (Middle);Fifteenth century",http://id.worldcat.org/fast/1008329;http://id.worldcat.org/fast/923962
"Manuscripts, English--16th century",local,,"Manuscripts, English;Sixteenth century",http://id.worldcat.org/fast/1008324;http://id.worldcat.org/fast/1119851
"Manuscripts, English--16th century",lcsh,,"Manuscripts, English;Sixteenth century",http://id.worldcat.org/fast/1008324;http://id.worldcat.org/fast/1119851
"Manuscripts, European",lcsh,,"Manuscripts, European",http://id.worldcat.org/fast/1008335
"Manuscripts, French--14th century",lcsh,,"Manuscripts, French;Fourteenth century",http://id.worldcat.org/fast/1008338;http://id.worldcat.org/fast/933420
"Manuscripts, French--15th century",lcsh,,"Manuscripts, French;Fifteenth century",http://id.worldcat.org/fast/1008338;http://id.worldcat.org/fast/923962
"Manuscripts, French--16th century",local,,"Manuscripts, French;Sixteenth century",http://id.worldcat.org/fast/1008338;http://id.worldcat.org/fast/1119851
"Manuscripts, German--15th century",lcsh,,"Manuscripts, German;Fifteenth century",http://id.worldcat.org/fast/1008346;http://id.worldcat.org/fast/923962
"Manuscripts, German--16th century",,,"Manuscripts, German;Sixteenth century",http://id.worldcat.org/fast/1008346;http://id.worldcat.org/fast/1119851
"Manuscripts, German--16th century",lcsh,,"Manuscripts, German;Sixteenth century",http://id.worldcat.org/fast/1008346;http://id.worldcat.org/fast/1119851
"Manuscripts, Hebrew--15th century",lcsh,,"Manuscripts, Hebrew;Fifteenth century",http://id.worldcat.org/fast/1008360;http://id.worldcat.org/fast/923962
"Manuscripts, Hebrew--16th century",lcsh,,"Manuscripts, Hebrew;Sixteenth century",http://id.worldcat.org/fast/1008360;http://id.worldcat.org/fast/1119851
"Manuscripts, Italian--15th century",lcsh,,"Manuscripts, Italian;Fifteenth century",http://id.worldcat.org/fast/1008378;http://id.worldcat.org/fast/923962
"Manuscripts, Italian--15th century",local,,"Manuscripts, Italian;Fifteenth century",http://id.worldcat.org/fast/1008378;http://id.worldcat.org/fast/923962
"Manuscripts, Italian--16th century",lcsh,,"Manuscripts, Italian;Sixteenth century",http://id.worldcat.org/fast/1008378;http://id.worldcat.org/fast/1119851
"Manuscripts, Italian--17th century",lcsh,,"Manuscripts, Italian;Seventeenth century",http://id.worldcat.org/fast/1008378;http://id.worldcat.org/fast/1113663
"Manuscripts, Italian--18th century",lcsh,,"Manuscripts, Italian;Eighteenth century",http://id.worldcat.org/fast/1008378;http://id.worldcat.org/fast/904058
"Manuscripts, Latin (medieval and modern)",lcsh,,"Manuscripts, Latin (Medieval and modern)",http://id.worldcat.org/fast/1008399
"Manuscripts, Latin--11th century",,,"Manuscripts, Latin;Eleventh century",http://id.worldcat.org/fast/1008395;http://id.worldcat.org/fast/908096
"Manuscripts, Latin--12th century",local,,"Manuscripts, Latin;Twelfth century",http://id.worldcat.org/fast/1008395;http://id.worldcat.org/fast/1159791
"Manuscripts, Latin--13th century",local,,"Manuscripts, Latin;Thirteenth century",http://id.worldcat.org/fast/1008395;http://id.worldcat.org/fast/1150138
"Manuscripts, Latin--13th century",lcsh,,"Manuscripts, Latin;Thirteenth century",http://id.worldcat.org/fast/1008395;http://id.worldcat.org/fast/1150138
"Manuscripts, Latin--14th century",lcsh,,"Manuscripts, Latin;Fourteenth century",http://id.worldcat.org/fast/1008395;http://id.worldcat.org/fast/933420
"Manuscripts, Latin--14th century",local,,"Manuscripts, Latin;Fourteenth century",http://id.worldcat.org/fast/1008395;http://id.worldcat.org/fast/933420
"Manuscripts, Latin--15th century",local,,"Manuscripts, Latin;Fifteenth century",http://id.worldcat.org/fast/1008395;http://id.worldcat.org/fast/923962
"Manuscripts, Latin--15th century",lcsh,,"Manuscripts, Latin;Fifteenth century",http://id.worldcat.org/fast/1008395;http://id.worldcat.org/fast/923962
"Manuscripts, Latin--16th century",lcsh,,"Manuscripts, Latin;Sixteenth century",http://id.worldcat.org/fast/1008395;http://id.worldcat.org/fast/1119851
"Manuscripts, Latin--16th century",local,,"Manuscripts, Latin;Sixteenth century",http://id.worldcat.org/fast/1008395;http://id.worldcat.org/fast/1119851
"Manuscripts, Latin--9th century",,,"Manuscripts, Latin;Ninth century",http://id.worldcat.org/fast/1008395;http://id.worldcat.org/fast/1037854
"Manuscripts, Medieval",lcsh,,"Manuscripts, Medieval",http://id.worldcat.org/fast/1008422
"Manuscripts, Medieval",local,,"Manuscripts, Medieval",http://id.worldcat.org/fast/1008422
"Manuscripts, Persian",lcsh,,"Manuscripts, Persian",http://id.worldcat.org/fast/1008462
"Manuscripts, Persian--16th century",local,,"Manuscripts, Persian;Sixteenth century",http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/1119851
"Manuscripts, Persian--18th century",local,,"Manuscripts, Persian;Eighteenth century",http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/904058
"Manuscripts, Persian--19th century",lcsh,,"Manuscripts, Persian;Nineteenth century",http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/1037841
"Manuscripts, Persian--19th century",local,,"Manuscripts, Persian;Nineteenth century",http://id.worldcat.org/fast/1008462;http://id.worldcat.org/fast/1037841
"Manuscripts, Renaissance",lcsh,,"Manuscripts, Renaissance",http://id.worldcat.org/fast/1008472
"Manuscripts, Sanskrit--17th century",lcsh,,"Manuscripts, Sanskrit;Seventeenth century",http://id.worldcat.org/fast/1008482;http://id.worldcat.org/fast/1113663
"Manuscripts, Sanskrit--18th century",lcsh,,"Manuscripts, Sanskrit;Eighteenth century",http://id.worldcat.org/fast/1008482;http://id.worldcat.org/fast/904058
"Manuscripts, Sanskrit--19th century",lcsh,,"Manuscripts, Sanskrit;Nineteenth century",http://id.worldcat.org/fast/1008482;http://id.worldcat.org/fast/1037841
"Manuscripts, Spanish--16th century",lcsh,,"Manuscripts, Spanish;Sixteenth century",http://id.worldcat.org/fast/1008500;http://id.worldcat.org/fast/1119851
"Manuscripts, Tashelhit--18th century",local,,"Manuscripts, Tashelhit;Eighteenth century",http://id.worldcat.org/fast/1008493;http://id.worldcat.org/fast/904058
"Manuscripts, Tashelhit--19th century",local,,"Manuscripts, Tashelhit;Nineteenth century",http://id.worldcat.org/fast/1008493;http://id.worldcat.org/fast/1037841
"Manuscripts, Turkish--16th century",local,,"Manuscripts, Turkish;Sixteenth century",http://id.worldcat.org/fast/1008521;http://id.worldcat.org/fast/1119851
"Manuscripts, Turkish--19th century",local,,"Manuscripts, Turkish;Nineteenth century",http://id.worldcat.org/fast/1008521;http://id.worldcat.org/fast/1037841
Manuscripts--India--17th century,lcsh,,Manuscripts;India;Seventeenth century,http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/1113663
Manuscripts--India--18th century,lcsh,,Manuscripts;India;Eighteenth century,http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/904058
Manuscripts--India--19th century,local,,Manuscripts;India;Nineteenth century,http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/1037841
Manuscripts--India--19th century,lcsh,,Manuscripts;India;Nineteenth century,http://id.worldcat.org/fast/1424060;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/1037841
Maps,aat,,maps (documents),http://vocab.getty.edu/aat/300028094
Marginalia (annotations),aat,,marginalia (annotations),http://vocab.getty.edu/aat/300026102
Miniatures (Illuminations)--Italy--15th century,gmgpc,,Italy;Fifteenth century,http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962
Miniatures (paintings),aat,,miniatures (paintings),http://vocab.getty.edu/aat/300033936
Notarial documents,aat,,notarial documents,http://vocab.getty.edu/aat/300164785
Notes (documents),aat,,notes (documents),http://vocab.getty.edu/aat/300027200
Onlays (decorative components),lobt,,onlays (decorative components),http://w3id.org/lob/concept/1462
Painted (decoration),lobt,,painted (decoration),http://w3id.org/lob/concept/2325
Paintings (visual works),aat,,paintings (visual works),http://vocab.getty.edu/aat/300033618
Palimpsests,aat,,palimpsests (manuscripts),http://vocab.getty.edu/aat/300028576
Parchment,aat,,parchment (animal material),http://vocab.getty.edu/aat/300011851
Pictorial works,fast,,Pictorial works,http://id.worldcat.org/fast/1423874
Poems,aat,,poems,http://vocab.getty.edu/aat/300026451
Poetry,lcgft,,Poetry,http://id.worldcat.org/fast/1423828
Poetry,fast,,Poetry,http://id.worldcat.org/fast/1423828
Prayers,lcgft,,Prayers,http://id.worldcat.org/fast/1939841
Prayers,aat,,prayers (literary works),http://vocab.getty.edu/aat/300026452
Prayers,fast,,Prayers,http://id.worldcat.org/fast/1074737
Prayers (literary works),aat,,prayers (literary works),http://vocab.getty.edu/aat/300026452
Prayers and devotions,fast,,Prayers and devotions,http://id.worldcat.org/fast/1423909
Prescriptions,aat,,prescriptions,http://vocab.getty.edu/aat/300027231
Printed marbling (decoration),lobt,,printed marbling (decoration),http://w3id.org/lob/concept/3881
"Privileges and immunities, Ecclesiastical",lcsh,,"Privileges and immunities, Ecclesiastical",http://id.worldcat.org/fast/1077682
Psalters (books),aat,,psalters (books),http://vocab.getty.edu/aat/300026477
Quarter covers,lobt,,quarter covers,http://w3id.org/lob/concept/1530
Qur'ans,aat,,Qur'ans,http://vocab.getty.edu/aat/300265128
Qurʼans,aat,,Qur'ans,http://vocab.getty.edu/aat/300265128
Re-used (material),lobt,,re-used (materials),http://w3id.org/lob/concept/1535
Re-used (materials),lobt,,re-used (materials),http://w3id.org/lob/concept/1535
Receipts (financial records),aat,,receipts (financial records),http://vocab.getty.edu/aat/300027573
Recessed sewing supports,lobt,,recessed sewing supports,http://w3id.org/lob/concept/2527
Recipes,aat,,recipes,http://vocab.getty.edu/aat/300027043
Recipes,lcgft,,Recipes,http://id.worldcat.org/fast/1424190
Reports,aat,,reports,http://vocab.getty.edu/aat/300027267
Romances (document genre),aat,,romances (medieval narratives),http://vocab.getty.edu/aat/300191065
Sacred books,fast,,Sacred books,http://id.worldcat.org/fast/1423905
Scientific illustrations,aat,,scientific illustrations (images),http://vocab.getty.edu/aat/300015595
Scrolls (information artifacts),aat,,scrolls (information artifacts),http://vocab.getty.edu/aat/300028629
Seals (artifacts),aat,,seals (marks),http://vocab.getty.edu/aat/300417667
Seals (marks),aat,,seals (marks),http://vocab.getty.edu/aat/300417667
Secondary sewing (endband techniques),lobt,,secondary sewing (endband techniques),http://w3id.org/lob/concept/2536
Separate pastedowns,lobt,,separate pastedowns,http://w3id.org/lob/concept/1575
Sermons,lcgft,,Sermons,http://id.worldcat.org/fast/1423904
Sermons,fast,,Sermons,http://id.worldcat.org/fast/1423904
Side labels,lobt,,side labels,http://w3id.org/lob/concept/4444
Specimens,fast,,Specimens,http://id.worldcat.org/fast/1423861
Speeches,lcgft,,Speeches,http://id.worldcat.org/fast/1774286
Speeches,fast,,Speeches,http://id.worldcat.org/fast/1774286
Spurious and doubtful works,fast,,Spurious and doubtful works,http://id.worldcat.org/fast/1423886
Tables (Data),lcgft,,Tables (Data),http://id.worldcat.org/fast/1919974
Tables (documents),aat,,tables (documents),http://vocab.getty.edu/aat/300027364
Translations,aat,,translations (documents),http://vocab.getty.edu/aat/300027389
Translations (documents),aat,,translations (documents),http://vocab.getty.edu/aat/300027389
Treatises,aat,,treatises,http://vocab.getty.edu/aat/300026681
Trough-marbled paper,lobt,,trough-marbled paper,http://w3id.org/lob/concept/3990
Vellum,aat,,vellum (parchment),http://vocab.getty.edu/aat/300011852
Vellum (parchment),aat,,vellum (parchment),http://vocab.getty.edu/aat/300011852
Volvelles,aat,,volvelles,http://vocab.getty.edu/aat/300247651
Watercolors (paintings),aat,,watercolors (paintings),http://vocab.getty.edu/aat/300078925
Watermarks,aat,,watermarks,http://vocab.getty.edu/aat/300028749
annotations,aat,,annotations,http://vocab.getty.edu/aat/300026100
anthologies,aat,,anthologies,http://vocab.getty.edu/aat/300026037
codices (bound manuscripts),aat,,codices (bound manuscripts),http://vocab.getty.edu/aat/300224200
commentaries,aat,,commentaries,http://vocab.getty.edu/aat/300026098
diagrams,aat,,diagrams,http://vocab.getty.edu/aat/300015387
drawings,aat,,drawings (visual works),http://vocab.getty.edu/aat/300033973
illuminations,aat,,illuminations (paintings),http://vocab.getty.edu/aat/300264522
illuminations (paintings),aat,,illuminations (paintings),http://vocab.getty.edu/aat/300264522
illuminations (visual works),aat,,illuminations (paintings),http://vocab.getty.edu/aat/300264522
manuals (instructional materials),aat,,manuals (instructional materials),http://vocab.getty.edu/aat/300026395
manuscripts (documents),aat,,manuscripts (documents),http://vocab.getty.edu/aat/300028569
marginalia (annotations),aat,,marginalia (annotations),http://vocab.getty.edu/aat/300026102
palimpsests,aat,,palimpsests (manuscripts),http://vocab.getty.edu/aat/300028576
poems,aat,,poems,http://vocab.getty.edu/aat/300026451
tables (documents),aat,,tables (documents),http://vocab.getty.edu/aat/300027364
treatises,aat,,treatises,http://vocab.getty.edu/aat/300026681
