row_index,workflow_history,material_as_recorded,authorized_label,structured_value
29,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.641Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z","paper, illustrations",paper,http://vocab.getty.edu/aat/300014109
30,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.641Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z","paper, illustrations, illuminations",paper,http://vocab.getty.edu/aat/300014109
31,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.641Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z",paper|parchment,paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851
32,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.641Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z",parchment,parchment,http://vocab.getty.edu/aat/300011851
33,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.641Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z",parchment and paper,parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109
34,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.641Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z","parchment, col. ill",parchment,http://vocab.getty.edu/aat/300011851
35,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.642Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z","parchment, ill",parchment,http://vocab.getty.edu/aat/300011851
36,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.642Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z","parchment, illuminations, tables",parchment,http://vocab.getty.edu/aat/300011851
37,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.642Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z","parchment, illustration",parchment,http://vocab.getty.edu/aat/300011851
38,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.642Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z","parchment, illustrations",parchment,http://vocab.getty.edu/aat/300011851
39,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.642Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z","parchment, semi-translucent",parchment,http://vocab.getty.edu/aat/300011851
40,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.642Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z","parchment, translucent",parchment,http://vocab.getty.edu/aat/300011851
41,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.642Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z",parchment|paper,parchment;paper,http://vocab.getty.edu/aat/300011851;http://vocab.getty.edu/aat/300014109
42,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.642Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z",rag paper,paper,http://vocab.getty.edu/aat/300014109
43,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.642Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z",stone,stone,http://vocab.getty.edu/aat/300011176
44,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.642Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z",tinted smooth paper,paper,http://vocab.getty.edu/aat/300014109
45,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.642Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z",translucent parchment,parchment,http://vocab.getty.edu/aat/300011851
46,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.642Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z",vellulm,parchment,http://vocab.getty.edu/aat/300011851
47,"MATERIAL RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2022-07-16T13:42:49.642Z | MATERIAL RECON, STEP 3: FINALIZED 2022-07-16T13:43:10.382Z",vellum,parchment,http://vocab.getty.edu/aat/300011851
