subject_as_recorded,source_authority_uri,authorized_label,structured_value
Abbots,,Abbots,http://id.worldcat.org/fast/794221
Abbots--Early works to 1800,,Abbots;Early works,http://id.worldcat.org/fast/794221;http://id.worldcat.org/fast/1411636
Accounting,,Accounting,http://id.worldcat.org/fast/795379
Accounting--France--14th century,,Accounting;France;Fourteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420
Accounting--Germany--16th century,,Accounting|Germany|Sixteenth century,http://id.worldcat.org/fast/795379|http://id.worldcat.org/fast/1210272|http://id.worldcat.org/fast/1119851
Accounting--Italy--15th century,,Accounting|Italy|Fifteenth century,http://id.worldcat.org/fast/795379|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/923962
Accounting--Italy--16th century,,Accounting|Italy|Sixteenth century,http://id.worldcat.org/fast/795379|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1119851
Accounting--Italy--17th century,,Accounting|Italy|Seventeenth century,http://id.worldcat.org/fast/795379|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1113663
Accounting--Spain--16th century,,Accounting|Spain|Sixteenth century,http://id.worldcat.org/fast/795379|http://id.worldcat.org/fast/1204303|http://id.worldcat.org/fast/1119851
Accounts,,Accounts,http://id.worldcat.org/fast/795510
Acrostics,,Acrostics,http://id.worldcat.org/fast/796098
Acrostics--Early works to 1800,,Acrostics|Early works,http://id.worldcat.org/fast/796098|http://id.worldcat.org/fast/1411636
Actions and defenses,,Actions and defenses,http://id.worldcat.org/fast/796238
Actions and defenses--Italy--Milan--15th century,,Actions and defenses|Italy|Italy--Milan|Fifteenth century,http://id.worldcat.org/fast/796238|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1208698|http://id.worldcat.org/fast/923962
Administration,,Administration,http://id.worldcat.org/fast/1351613
Advaita,,Advaita,http://id.worldcat.org/fast/797410
Advaita--Early works to 1800,,Advaita;Early works,http://id.worldcat.org/fast/797410;http://id.worldcat.org/fast/1411636
Agriculture,,Agriculture,http://id.worldcat.org/fast/801355
Agriculture--Early works to 1800,,Agriculture;Early works,http://id.worldcat.org/fast/801355;http://id.worldcat.org/fast/1411636
Agriculture--Economic aspects,,Agriculture--Economic aspects,http://id.worldcat.org/fast/801415
Agriculture--Economic aspects--France--History,,Agriculture--Economic aspects|France|History,http://id.worldcat.org/fast/801415|http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1411628
Agriculture--Economic aspects--Italy,,Agriculture--Economic aspects|Italy,http://id.worldcat.org/fast/801415|http://id.worldcat.org/fast/1204565
Alassio (Italy),,Italy--Alassio,http://id.worldcat.org/fast/1232716
Albenga (Italy),,Italy--Albenga,http://id.worldcat.org/fast/1207333
Albi (France),,France--Albi,http://id.worldcat.org/fast/1213039
Albigenses,,Albigenses,http://id.worldcat.org/fast/804195
Alchemy,,Alchemy,http://id.worldcat.org/fast/804245
Alchemy--Bibliography,,Alchemy--Bibliography,http://id.worldcat.org/fast/1424492
Alchemy--Early works to 1800,,Alchemy;Early works,http://id.worldcat.org/fast/804245;http://id.worldcat.org/fast/1411636
Algebra,,Algebra,http://id.worldcat.org/fast/804885
Algebra--Early works to 1800,,Algebra|Early works,http://id.worldcat.org/fast/804885|http://id.worldcat.org/fast/1411636
Allersberg (Germany),,Germany--Allersberg,http://id.worldcat.org/fast/1203587
Alphabets,,Alphabets,http://id.worldcat.org/fast/805974
Alphabets--Specimens,,Alphabets|Specimens,http://id.worldcat.org/fast/805974|http://id.worldcat.org/fast/1423861
Amalfi (Italy)--History--15th century,,Italy--Amalfi|History|Fifteenth century,http://id.worldcat.org/fast/1204570|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/923962
Ambassadors,,Ambassadors,http://id.worldcat.org/fast/806713
Ambassadors--France--16th century,,Ambassadors|France|Sixteenth century,http://id.worldcat.org/fast/806713|http://id.worldcat.org/fast/1204289|http://id.worldcat.org/fast/1119851
Ambassadors--Italy--Florence--16th century,,Ambassadors|Italy|Italy--Florence|Sixteenth century,http://id.worldcat.org/fast/806713|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204699|http://id.worldcat.org/fast/1119851
Ambassadors--Italy--Venice--16th century,,Ambassadors|Italy|Italy--Venice|Sixteenth century,http://id.worldcat.org/fast/806713|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204473|http://id.worldcat.org/fast/1119851
Ameglia (Italy),,Italy--Ameglia,http://id.worldcat.org/fast/1270599
America,,America,http://id.worldcat.org/fast/1239786
Ancona (Italy : Province)--History,,Italy--Ancona (Province)|History,http://id.worldcat.org/fast/1334218|http://id.worldcat.org/fast/1411628
Ancona (Italy)--Commerce--16th century,,Italy--Ancona|Commerce|Sixteenth century,http://id.worldcat.org/fast/1207342|http://id.worldcat.org/fast/869279|http://id.worldcat.org/fast/1119851
"Ancona (Italy)--History, Military",,"Italy--Ancona|History, Military",http://id.worldcat.org/fast/1207342|http://id.worldcat.org/fast/1353231
Ancona (Italy)--History--15th century,,Italy--Ancona|History|Fifteenth century,http://id.worldcat.org/fast/1207342|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/923962
Ancona (Italy)--History--16th century,,Italy--Ancona|History|Sixteenth century,http://id.worldcat.org/fast/1207342|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1119851
"Ancona (Italy)--History--Siege, 1174",,Italy--Ancona|History,http://id.worldcat.org/fast/1207342|http://id.worldcat.org/fast/1411628
"Ancona (Italy)--History--Siege, 1383",,Italy--Ancona|History,http://id.worldcat.org/fast/1207342|http://id.worldcat.org/fast/1411628
Andalusia (Spain)--History--13th century--Sources,,Spain--Andalusia|History|Thirteenth century|Sources,http://id.worldcat.org/fast/1217626|http://id.worldcat.org/fast/1411628|http://id.worldcat.org/fast/1150138|http://id.worldcat.org/fast/1423900
Andenne (Belgium)--Church history,,Belgium--Andenne|Church history,http://id.worldcat.org/fast/1253903|http://id.worldcat.org/fast/1411629
Anecdotes--Islamic Empire--Early works to 1800,,Anecdotes|Islamic Empire|Early works,http://id.worldcat.org/fast/1423876|http://id.worldcat.org/fast/1244134|http://id.worldcat.org/fast/1411636
