genre_as_recorded,vocabulary,source_authority_uri,authorized_label_add,structured_value_add,authorized_label,structured_value
Antiphonaries--Italy--15th century,aat,,antiphonaries;Italy;Fifteenth century,http://vocab.getty.edu/aat/300188812;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,,
Arabic scripts,aat,,Arabic scripts,http://vocab.getty.edu/aat/300208615,,
Arabic scripts--Egypt--17th century,aat,,Arabic scripts;Egypt;Seventeenth century,http://vocab.getty.edu/aat/300208615;http://id.worldcat.org/fast/1208755;http://id.worldcat.org/fast/1113663,,
Arabic scripts--Iran--16th century,aat,,Arabic scripts;Iran;Sixteenth century,http://vocab.getty.edu/aat/300208615;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1119851,,
Armorial bookplates (Provenance),rbprov,,,,Armorial bindings,http://id.loc.gov/vocabulary/rbmscv/cv00132
Bible--France--13th century,aat,,Bibles;France;Thirteenth century,http://vocab.getty.edu/aat/300264513;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1150138,,
Bibles--England--13th century,aat,,Bibles;England;Thirteenth century,http://vocab.getty.edu/aat/300264513;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1150138,,
Bindings and binding components--Spain--17th century,aat,,bindings (gathered matter components);binding components;Spain;Seventeenth century,http://vocab.getty.edu/aat/300055023;http://vocab.getty.edu/aat/300194225;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/1113663,,
Bindings and binding components--Spain--18th century,aat,,bindings (gathered matter components);binding components;Spain;Eighteenth century,http://vocab.getty.edu/aat/300055023;http://vocab.getty.edu/aat/300194225;http://id.worldcat.org/fast/1204303;http://id.worldcat.org/fast/904058,,
Blind tooled bindings,rbbin,,Blind tooled bindings,http://id.loc.gov/vocabulary/rbmscv/cv00632,,
Blind tooled bindings (Binding),rbbin,,,,Blind tooled bindings,http://id.loc.gov/vocabulary/rbmscv/cv00632
Boards (Binding)--Spain--17th century,rbbin,,Boards,http://id.loc.gov/vocabulary/rbmscv/cv00214,,
Books of hours--Belgium--15th century,aat,,,,books of hours;Belgium;Fifteenth century,http://vocab.getty.edu/aat/300026457;http://id.worldcat.org/fast/1210278;http://id.worldcat.org/fast/923962
Bosses (Bindings),rbmscv,,Bosses (Bindings),http://id.loc.gov/vocabulary/rbmscv/cv00444,,
Bosses (Bindings)--Spain--17th century,rbmscv,,Bosses (Bindings),http://id.loc.gov/vocabulary/rbmscv/cv00444,,
Calf bindings (Binding),rbbin,,,,Calf bindings,http://id.loc.gov/vocabulary/rbmscv/cv00454
Calligraphy--Afghanistan--15th century,aat,,calligraphy (visual works);Afghanistan;Fifteenth century,http://vocab.getty.edu/aat/300266660;http://id.worldcat.org/fast/1205406;http://id.worldcat.org/fast/923962,,
Calligraphy--Egypt--17th century,aat,,calligraphy (visual works);Egypt;Seventeenth century,http://vocab.getty.edu/aat/300266660;http://id.worldcat.org/fast/1208755;http://id.worldcat.org/fast/1113663,,
Calligraphy--Egypt--19th century,aat,,calligraphy (visual works);Egypt;Nineteenth century,http://vocab.getty.edu/aat/300266660;http://id.worldcat.org/fast/1208755;http://id.worldcat.org/fast/1037841,,
Calligraphy--India--17th century,aat,,calligraphy (visual works);India;Seventeenth century,http://vocab.getty.edu/aat/300266660;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/1113663,,
Calligraphy--India--18th century,aat,,calligraphy (visual works);India;Eighteenth century,http://vocab.getty.edu/aat/300266660;http://id.worldcat.org/fast/1210276;http://id.worldcat.org/fast/904058,,
Calligraphy--Iran--16th century,aat,,calligraphy (visual works);Iran;Sixteenth century,http://vocab.getty.edu/aat/300266660;http://id.worldcat.org/fast/1204889;http://id.worldcat.org/fast/1119851,,
