row_index,workflow_history,place_as_recorded,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:39:00.173007300Z | PLACE RECON, STEP 3: START RECON 2024-02-20T15:39:14.164193500Z | PLACE RECON, STEP 6: FINALIZED 2024-02-20T15:44:47.994465400Z",Armenia,,,Armenia,http://vocab.getty.edu/tgn/7006651
2,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:39:00.173007300Z | PLACE RECON, STEP 3: START RECON 2024-02-20T15:39:14.164193500Z | PLACE RECON, STEP 6: FINALIZED 2024-02-20T15:44:47.994465400Z",Bologna,,,Bologna,http://vocab.getty.edu/tgn/7004847
3,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:39:00.173007300Z | PLACE RECON, STEP 3: START RECON 2024-02-20T15:39:14.165193Z | PLACE RECON, STEP 6: FINALIZED 2024-02-20T15:44:47.994465400Z","Bologna, Italy",,,Bologna;Italy,http://vocab.getty.edu/tgn/7004847;http://vocab.getty.edu/tgn/1000080
4,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:39:00.173007300Z | PLACE RECON, STEP 3: START RECON 2024-02-20T15:39:14.165193Z | PLACE RECON, STEP 6: FINALIZED 2024-02-20T15:44:47.994465400Z",Bruges,,,Bruges,http://vocab.getty.edu/tgn/7007867
5,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:39:00.173007300Z | PLACE RECON, STEP 3: START RECON 2024-02-20T15:39:14.165193Z | PLACE RECON, STEP 6: FINALIZED 2024-02-20T15:44:47.994465400Z",Burma,,,Myanmar,http://vocab.getty.edu/tgn/1000108
6,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:39:00.173007300Z | PLACE RECON, STEP 3: START RECON 2024-02-20T15:39:14.165193Z | PLACE RECON, STEP 6: FINALIZED 2024-02-20T15:44:47.994465400Z",Coutances,Coutances,http://vocab.getty.edu/tgn/7008215,,
7,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:39:00.173007300Z | PLACE RECON, STEP 3: START RECON 2024-02-20T15:39:14.165193Z | PLACE RECON, STEP 6: FINALIZED 2024-02-20T15:44:47.994465400Z",Egypt,,,Egypt,http://vocab.getty.edu/tgn/7016833
8,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:39:00.173007300Z | PLACE RECON, STEP 3: START RECON 2024-02-20T15:39:14.165193Z | PLACE RECON, STEP 6: FINALIZED 2024-02-20T15:44:47.994465400Z",England,,,England,http://vocab.getty.edu/tgn/7002445
9,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:39:00.173007300Z | PLACE RECON, STEP 3: START RECON 2024-02-20T15:39:14.165193Z | PLACE RECON, STEP 6: FINALIZED 2024-02-20T15:44:47.994465400Z",Ethiopia,,,Ethiopia,http://vocab.getty.edu/tgn/7000489
10,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:39:00.173007300Z | PLACE RECON, STEP 3: START RECON 2024-02-20T15:39:14.165193Z | PLACE RECON, STEP 6: FINALIZED 2024-02-20T15:44:47.994465400Z",Ferrara,,,Ferrara,http://vocab.getty.edu/tgn/7004264
11,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:39:00.173007300Z | PLACE RECON, STEP 3: START RECON 2024-02-20T15:39:14.165193Z | PLACE RECON, STEP 6: FINALIZED 2024-02-20T15:44:47.994465400Z",Florence,,,Florence,http://vocab.getty.edu/tgn/7000457
12,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:39:00.173007300Z | PLACE RECON, STEP 3: START RECON 2024-02-20T15:39:14.165193Z | PLACE RECON, STEP 6: FINALIZED 2024-02-20T15:44:47.994465400Z",France,,,France,http://vocab.getty.edu/tgn/1000070
13,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:39:00.173007300Z | PLACE RECON, STEP 3: START RECON 2024-02-20T15:39:14.165193Z | PLACE RECON, STEP 6: FINALIZED 2024-02-20T15:44:47.994465400Z",Germany,,,Germany,http://vocab.getty.edu/tgn/7000084
14,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:39:00.173007300Z | PLACE RECON, STEP 3: START RECON 2024-02-20T15:39:14.165193Z | PLACE RECON, STEP 6: FINALIZED 2024-02-20T15:44:47.994465400Z",India,,,India,http://vocab.getty.edu/tgn/7000198
