title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,authorized_label
Auszug aus allerley Rechtsbuchern,,,,Legal documents,
Bible commentary on Canticle of Canticles,,,,Bible commentary,
Bible commentary on the gospel of John,,,,Bible commentary,
Bible with Interpretations of Hebrew Names,,,,Bible,
"Bible, NT",,,,Bible;New Testament,
"Bible, OT",,,,Bible;Old Testament,
"Bible, glossed",,,,Bible,
"Bible, subject index to",,,,Bible index,
"Bible, verbal index to",,,,Bible index,
Book inscription,,,,Book inscription,
Breviary for Sarum use,,,,Breviary,
Breviary with neumes,,,,Breviary,
"Calendar May, June",,,,Calendar,
"Calendar November, December",,,,Calendar,
Calendrical information,,,,Calendar,
Canon law with commentary,,,,Canon law,
Canon law with gloss,,,,Canon law,
"Celestial Hierarchy IX 10, 11, commentary on",,,,Celestial Hierarchy,
Chanson d'aventure Florence de Rome,,,,Chanson d'aventure Florence de Rome,
Chess diagrams,,,,Chess,
Chess problem,,,,Chess,
Chronogram,,,,Chronogram,
Civil law,,,,Civil law,
Civil law commentary,,,,Civil law,
Civil law with gloss,,,,Civil law,
Concession of land,,,,Concessions,
Conferences,,,,Conferences,
Consuetudinary,,,,Consuetudinary,
Contentio animae et corporis defuncti,,,,Contentio animae et corporis defuncti,
Coronation service,,,,Coronation service,
De ecclesiasticis sacramentis et officiis,,,,De ecclesiasticis sacramentis et officiis,
De fide,,,,De fide,
De fide catholica ex veteri et novo testamento,,,,De fide catholica,
De gradibus humilitatis et superbiae tractatus,,,,De gradibus humilitatis et superbiae tractatus,
De la manera che se havia de governar en la privanza,,,,De la manera che se havia de governar en la privanza,
De orthographia,,,,De orthographia,
De poenitentia,,,,De poenitentia,
De sacramentis christianae fidei,,,,De sacramentis,
De virginibus ad Marcellinam sororem suam De viduis,,,,De virginibus,
Death of the Blessed Virgin Mary,,,,Death of the Blessed Virgin Mary,
Decretalsglossed,,,,Decretals,
Decretalswith commentary,,,,Decretals,
Dialogue between Life and Fortune,,,,Dialogue,
Dialogues,,,,Dialogue,
Digest,,,,Digest,
Doctrinalewith commentary,,,,Doctrinal,
Ecclesiastical text,,,,Ecclesiastical document,
Enarrationes in Psalmos,,,,Enarrationes in Psalmos,
Enrollments of writs to sheriffs from book of common legal forms,,,,Writs,
Epistulae,,,,Epistulae,
Excerpta de Scauri et Palladi libris,,,,De Scauri et Palladi Libris Excerpta,
In Ioannis Evangelium tractatus,,,,In Ioannis Evangelium tractatus,
In psalterium expositio,,,,In psalterium expositio,
"Institutio de nomine, pronomine et verbo",,,,Institutio de nomine et pronomine et verbo,
Instructions to his son,,,,Instructions,
Lectionary for the office,,,,Lectionary,
Lectionary for the office?,,,,Lectionary,
Lectionary of gospel and epistle readings,,,,Lectionary,
Lections on the Blessed Virgin Mary,,,,Lectionary,
Library stamp (partial),,,,Library stamp,
Life of our Lady,,,,Life of Our Lady,
Medical text,,,,Medical treatise,
Meditationes,,,,Meditations,
Memoriall to serve God,,,,Memorial to serve God,
Metamorphoses,,,,Metamorphoses,
Microtegni,,,,Microtegni,
Miroiror Evangiles des Domnees,,,,Miroiror Evangiles des Domnees,
Missal with musical notation,,,,Missal,
Monogram,,,,Monogram,
Notarial register,,,,Notarial document,
Note,,,,Notes,
Notes,,,,Notes,
On Catholic Faith against Manicheans and Donatists,,,,On Catholic Faith,
On Diphthongs,,,,On Diphthongs,
Ordinale,,,,Ordinal,
Ordinale?,,,,Ordinal,
Ownership note,,,,Notes,
Paris et Vienne,,,,Paris et Vienne,
Pen trials,,,,Trials,
Penitential text,,,,Penitential text,
"Penitential theory, Sin and penance (theory of)",,,,Penitential theory,
Phrasebook,,,,Phrasebook,
Physiological material,,,,Physiological text,
Psalter commentary,,,,Psalter,
"Receipt, invoice",,,,Receipts,
Regulations for monks,,,,Regulations for monks,
Resumptio from book of common legal forms,,,,Resumptio,
Royal document on soldiers serving in France,,,,Royal document,
"Sermon ""De quadragesima""",,,,Sermons,
Sermon (on saints?),,,,Sermons,
"Sermon 117, ""De Gedeon""",,,,Sermons,
"Sermon 93, De verbis Evangelii, Mt. 25:1-13",,,,Sermons,
Sermon on Blessed Virgin Mary,,,,Sermons,
Sermons on the deadly sins,,,,Sermons,
"Sins, Head to Toe",,,,Sins,
Soliloquia,,,,Soliloquia,
Summa de matrimonio,,,,Summa de matrimonio,
Summa de poenitentiae,,,,Summa de poenitentiae,
Summa theologiae,,,,Summa Theologiae,
Theological text,,,,Theological text,
Treatise on Blessed Virgin Mary,,,,Treatise on Blessed Virgin Mary,
Treatise on tumors,,,,Treatise on tumors,
Volvelle,,,,Volvelle,
