row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
12,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649666Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524183Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169479Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010127Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.389962Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.762989Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397778Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890577Z","Fischmann, Gail",former owner,,,Gail Fischmann,human,Q124629903,,,
13,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649670Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524188Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169482Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010130Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.389970Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.762994Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397790Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890581Z","Fischmann, Milton, d. 1974",former owner,,,Milton Fischmann,human,Q124629904,,,
14,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649678Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524192Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169487Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010135Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.389975Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763003Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397792Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890585Z","Fischmann, Milton, d.1974",former owner,,,Milton Fischmann,human,Q124629904,,,
15,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649683Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524203Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169493Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010137Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.389984Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763007Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397795Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890599Z","Freudenheim, Betty",former owner,,,Betty Freudenheim,human,Q124255030,,,
16,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649687Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524207Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169495Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010140Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.389991Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763012Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397806Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890604Z","Gayferos de Eguiraum, Juan de, active 1587",former owner,,,Juan de Gayferos de Eguiraum,human,Q124629905,,,
17,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649694Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524211Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169501Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010148Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.389999Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763025Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397810Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890608Z","Giorgio, d'Alemagna, active 1441-1479",illuminator,,,Giorgio d'Alemagna,human,Q3106916,,,
18,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649699Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524221Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169506Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010150Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.390007Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763029Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397812Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890615Z","Giraldi, Guglielmo, -approximately 1480",illuminator,,,Guglielmo Giraldi,human,Q3119276,,,
19,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649703Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524226Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169508Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010153Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.390015Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763033Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397817Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890619Z","Gregory I, Pope, approximately 540-604",author,,,,,,human,Gregory I,Q42827
20,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649717Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524230Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169516Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010157Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.390020Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763041Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397819Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890623Z","Grigor, Tatʻevatsʻi, Saint, 1346-1409",author,,,Gregory of Tatev,human,Q2996527,,,
21,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649721Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524243Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169521Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010159Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.390037Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763045Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397821Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890629Z","Jacobus, de Voragine, approximately 1229-1298",author,,,,,,human,Jacobus de Voragine,Q313460
22,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649728Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524248Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169526Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010167Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.390057Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763049Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397828Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890634Z","Llangattock, John Allan Rolls, Baron , 1837-1912",former owner,,,,,,human,"John Rolls, 1st Baron Llangattock",Q1101328
23,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649733Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524253Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169532Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010174Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.390062Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763056Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397830Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890638Z","Malacarne, Vincenzo, 1744-1816",former owner,,,Vincenzo Malacarne,human,Q4013365,,,
24,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-21T17:16:57.649737Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-21T17:17:15.524263Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-21T17:17:47.169540Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-21T17:18:05.010181Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-21T17:18:17.390071Z | NAME RECON STEP 6: START ORG RECON 2024-02-21T18:25:48.763060Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-21T18:27:17.397831Z | NAME RECON STEP 9: FINALIZED 2024-02-21T18:27:32.890645Z","Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203",author,,,,,,human,Nezami Ganjavi,Q234908
