row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,authorized_label,structured_value
1,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.216393700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.042631600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.390827200Z",Ethiopic,gez,,,Ge'ez,Q35667
2,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.042631600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.390827200Z",French,fro,,,French,Q150
3,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.042631600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.390827200Z",French,fre,,,French,Q150
4,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.042631600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.390827200Z",In Arabic,ara,,,Arabic,Q13955
5,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.042631600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.390827200Z",In Arabic and Persian,ara,,,Arabic;Persian,Q13955;Q9168
6,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.042631600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.390827200Z",In Armenian,arm,,,Armenian,Q8785
7,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.042631600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.390827200Z",In Italian,ita,,,Italian,Q652
8,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.042631600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.390827200Z",In Japanese,jpn,,,Japanese,Q5287
9,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.042631600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.390827200Z",In Latin,lat,,,Latin,Q397
10,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.042631600Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.390827200Z",In Latin; calendar in French,lat;fre,Latin;French,Q397;Q150,,
11,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-20T15:30:46.230391600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-02-20T15:31:13.044629400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-02-20T15:35:24.390827200Z",In Pali,pli,,,Pali,Q36727
