row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
12,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236502Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726641Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145720Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143314Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.822964Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522107Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086159Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469821Z",Augustine of Hippo,author,,,,,,human,Augustine of Hippo,Q8018
13,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236504Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726643Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145724Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143320Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.822967Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522111Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086161Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469863Z",Augustine?,author,,,,,,human,Augustine of Hippo,Q8018
14,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236507Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726648Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145732Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143327Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.822969Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522115Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086168Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469868Z",Averoes?,author,,,,,,human,Averroes,Q39837
15,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236512Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726651Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145736Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143329Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.822979Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522122Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086172Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469873Z",Balthassar Klammer,author,,,Balthassar Klammer,human,Q124515266,,,
16,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236515Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726653Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145741Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143339Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.822983Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522131Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086175Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469876Z",Beda Venerabilis,author,,,,,,human,Bede,Q154938
17,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236517Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726657Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145745Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143342Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.822985Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522136Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086177Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469881Z","Belonged to Hermann Suchier (1848-1914); sold in June 1961 by Bernard M. Rosenthal to William F. Fratcher (1913-1982), professor of law, who bequeathed the book to the University of Missouri; accessioned 1983.",former owner,,,Hermann Suchier;Bernard M. Rosenthal;William F. Fratcher,human;human;human,Q109415;Q94805275;Q124515312,,,
18,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236522Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726660Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145750Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143353Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.822991Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522144Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086182Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469887Z","Bernard de La Iurade, notary",other,,,Bernard de la Iurade,human,Q124515267,,,
19,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236525Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726662Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145753Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143358Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.822996Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522148Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086184Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469889Z",Bernard of Clairvaux,author,,,,,,human,Bernard of Clairvaux,Q188411
20,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236528Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726666Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145781Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143365Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.822999Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522152Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086186Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469938Z","Bernard of Clairvaux, attributed to",author,,,,,,human,Bernard of Clairvaux,Q188411
21,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236533Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726671Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145792Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143373Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823006Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522162Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086197Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469946Z",Bonaventure?,author,,,,,,human,Bonaventure,Q43746
