row_index,workflow_history,name_as_recorded,role,name_agr,source_authority_uri,authorized_label_add,instance_of_add,structured_value_add,instance_of,authorized_label,structured_value
32,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236574Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726714Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145877Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143429Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823055Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522220Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086243Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.469998Z","Geert Grote, translator",other,,,Geert Groote,human,Q467242,,,
33,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236579Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726721Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145883Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143435Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823065Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522232Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086249Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470005Z","Geoffroy Tory, similar to style of",scribe,,,,,,human,Geoffroy Tory,Q722911
34,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236581Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726723Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145890Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143440Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823071Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522237Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086254Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470009Z",Giacomo Franco?,artist,,,Giacomo Franco,human,Q3762105,,,
35,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236583Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726729Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145894Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143443Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823076Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522241Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086256Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470014Z",Gift of Mr. Peter Christos.,former owner,,,Peter Christos,human,Q124515269,,,
36,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236594Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726733Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145898Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143447Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823084Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522250Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086260Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470019Z",Gratian,author,,,,,,human,Gratian,Q549041
37,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236596Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726735Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145905Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143454Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823087Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522254Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086263Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470021Z",Gregory the Great,author,,,,,,human,Gregory I,Q42827
38,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236598Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726739Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145909Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143457Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823089Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522259Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086265Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470026Z",Guillaume de Lorris,author,,,,,,human,Guillaume de Lorris,Q544959
39,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236602Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726742Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145913Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143461Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823102Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522266Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086268Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470030Z",Henry Hancock,author,,,Henry Hancock,human,Q124515270,,,
40,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236604Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726745Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145917Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143467Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823109Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522271Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086270Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470033Z",Hugh of St. Victor,author,,,,,,human,Hugh of Saint Victor,Q317554
41,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236607Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726749Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145921Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143471Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823135Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522276Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086273Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470037Z",Isidore of Seville,author,,,,,,human,Isidore of Seville,Q166876
42,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236610Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726751Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145925Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143475Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823141Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522284Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086276Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470041Z",Ivo of Chartres,author,,,,,,human,Ivo of Chartres,Q124775
43,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236613Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726754Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145931Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143482Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823144Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522288Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086279Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470044Z","Jacobus Sadoletus, papal secretary",other,,,Jacopo Sadoleto,human,Q682478,,,
44,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236616Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726758Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145934Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143486Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823149Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522293Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086282Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470053Z",Jacobus de Voragine?,author,,,,,,human,Jacobus de Voragine,Q313460
45,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236620Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726761Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145941Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143491Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823156Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522305Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086284Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470062Z",Jean de Meun,author,,,,,,human,Jean de Meun,Q544925
46,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236622Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726767Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145947Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143496Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823160Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522310Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086290Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470065Z",Johanne Neuton,other,,,Johanne Neuton,human,Q124515271,,,
47,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236625Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726772Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145950Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143500Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823163Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522314Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086292Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470072Z","John Bagford (1650s-1716) to St. Martin-in-the-Fields; sale 1861 to Sir Thomas Phillipps, n.15758; his sale 22 May, 1913, lot 742; Sir Sydney Cockerell (1867-1962) sale Sotheby's 3 April, 1957; William Salloch (Ossining NY) Cat. 258 (1968) to U. Missouri.",former owner,,,"John Bagford;St Martin-in-the-Fields, Westminster;Thomas Phillipps;Sydney Cockerell;William Salloch",human;organization;human;human;human,Q6220242;Q1335201;Q2147709;Q966843;Q72938313,,,
48,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236635Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726774Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145957Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143507Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823169Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522323Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086318Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470075Z","John Blecche and his wife, Mary",other,,,John Blecche;Mary Blecche,human;human,Q124515340;Q124515344,,,
49,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236638Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726778Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145963Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143512Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823173Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522328Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086321Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470077Z","John Boykott Jarman (d. 1864), on whose collection see J. Backhouse, ""A Victorian Connoisseur and his manuscripts: The Tale of Mr. Jarman and Mr. Wing,"" British Museum Quarterly32 (1967-68) 76-92. Purchased 1980 from The Rendells.",former owner,,,John Boykett Jarman;Rendell,human;organization,Q94297523;Q28552597,,,
50,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236640Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726782Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145965Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143514Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823175Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522332Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086323Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470083Z","John Decons, notary",other,,,John Decons,human,Q124515273,,,
51,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236645Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726784Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145970Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143519Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823181Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522340Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086329Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470086Z",John Lydgate,author,,,,,,human,John Lydgate,Q662063
52,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236647Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726788Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145974Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143529Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823186Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522344Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086338Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470089Z",John Quynton,other,,,John Quynton,human,Q124515274,,,
53,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236649Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726791Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145979Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143535Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823189Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522348Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086341Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470095Z",John Sictor,other,,,John Sictor,human,Q124515275,,,
54,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236653Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726793Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145983Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143538Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823194Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522355Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086345Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470098Z",Justinian,author,,,,,,human,Justinian I,Q41866
55,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236655Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726797Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145988Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143544Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823197Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522359Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086347Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470101Z",Leo X,author,,,,,,human,Leo X,Q49237
56,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236657Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726800Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145991Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143547Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823206Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522364Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086353Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470122Z",Lucius Manutius Planeus,other,,,Lucius Manutius Planeus,human,Q124515276,,,
57,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236661Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726802Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.145998Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143554Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823216Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522376Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086359Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470125Z",Ludolphus de Saxonia?,other,,,Ludolph of Saxony,human,Q669351,,,
58,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236663Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726809Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146004Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143557Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823219Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522381Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086361Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470213Z",Ludovico degli Arrighi?,scribe,,,Ludovico Vicentino degli Arrighi,human,Q2341081,,,
59,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236667Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726826Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146097Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.143563Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823221Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522385Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086364Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470222Z",Myles Blomfylde,other,,,Myles Blomfylde,human,Q124515277,,,
60,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236674Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726829Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146106Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144050Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823232Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522394Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086368Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470225Z",Ottaviano Fregoso,other,,,Ottaviano Fregoso,human,Q3887170,,,
61,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236677Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726833Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146110Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144054Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823234Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522399Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086370Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470228Z",Ovid,author,,,,,,human,Ovid,Q7198
62,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236679Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726837Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146154Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144058Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823237Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522403Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086373Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470234Z","Ownership note in Italian on f. 1r: ""Questo libro appartene a mi Carlo Longland, April XXI, 1626.""",former owner,,,Carlo Longland,human,Q124515278,,,
63,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236684Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726840Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146161Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144066Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823242Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522411Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086378Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470237Z","Part of a collection of 159 leaves and artifacts, Pages of the Past distributed by Foliophiles, Inc., of Washington D.C.; this set dated 1967.",former owner,,,Foliophiles,organization,Q124515306,,,
64,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236686Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726844Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146168Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144072Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823247Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522415Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086381Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470240Z","Paul Typoon, notary",other,,,Paul Typoon,human,Q124515279,,,
65,"NAME RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-02-12T15:33:20.236689Z | NAME RECON STEP 3: START HUMAN RECON 2024-02-12T15:33:41.726848Z | NAME RECON STEP 4.0: KNOWN HUMAN APPLIED 2024-02-12T15:34:24.146170Z | NAME RECON STEP 4.1: KNOWN HUMAN APPLIED 2024-02-12T15:34:39.144074Z | NAME RECON STEP 4.2: KNOWN HUMAN APPLIED 2024-02-12T15:34:51.823250Z | NAME RECON STEP 6: START ORG RECON 2024-02-12T18:15:35.522419Z | NAME RECON STEP 7: KNOWN ORG APPLIED 2024-02-12T18:15:41.086383Z | NAME RECON STEP 9: FINALIZED 2024-02-12T18:21:43.470247Z",Peter Idley,author,,,,,,human,Peter Idley,Q19335561
