subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value,ds_qid
10th century,,openn-subjects,,Tenth century,http://id.worldcat.org/fast/1147737,Q12530
11th century,,openn-subjects,,Eleventh century,http://id.worldcat.org/fast/908096,Q306
12th century,,openn-subjects,,Twelfth century,http://id.worldcat.org/fast/1159791,Q304
13th century,,openn-subjects,,Thirteenth century,http://id.worldcat.org/fast/1150138,Q245
14th century,,openn-subjects,,Fourteenth century,http://id.worldcat.org/fast/933420,Q295
15th century,,openn-subjects,,Fifteenth century,http://id.worldcat.org/fast/923962,Q154
16th century,,openn-subjects,,Sixteenth century,http://id.worldcat.org/fast/1119851,Q335
17th century,,openn-subjects,,Seventeenth century,http://id.worldcat.org/fast/1113663,Q2771
18th century,,openn-subjects,,Eighteenth century,http://id.worldcat.org/fast/904058,Q3024
19th century,,openn-subjects,,Nineteenth century,http://id.worldcat.org/fast/1037841,Q3538
20th century,,openn-subjects,,Twentieth century,http://id.worldcat.org/fast/1159810,Q5942
9th century,,openn-subjects,,Ninth century,http://id.worldcat.org/fast/1037854,Q329
Abbasids,a,fast,(OCoLC)fst00794211,Abbasids,http://id.worldcat.org/fast/794211,Q11371
Abbasids.,a,fast,(OCoLC)fst00794211,Abbasids,http://id.worldcat.org/fast/794211,Q11371
Abbasids--Poetry--Early works to 1800,a--v--v,0,,Abbasids;Poetry;Early works,http://id.worldcat.org/fast/794211;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q11371;Q247;Q300
Abbasids--Poetry--Early works to 1800.,a--v--v,0,,Abbasids;Poetry;Early works,http://id.worldcat.org/fast/794211;http://id.worldcat.org/fast/1423828;http://id.worldcat.org/fast/1411636,Q11371;Q247;Q300
Abbeys--Belgium--15th century,a--z--y,0,,Abbeys;Belgium;Fifteenth century,http://id.worldcat.org/fast/794216;http://id.worldcat.org/fast/1210278;http://id.worldcat.org/fast/923962,Q38799;Q16301;Q154
Abbeys--Belgium--Nivelles,a--z--z,0,,Abbeys;Belgium--Nivelles,http://id.worldcat.org/fast/794216;http://id.worldcat.org/fast/1210707,Q38799;Q38800
Abbeys--England--Devonshire,a--z--z,0,,Abbeys;England--Devon,http://id.worldcat.org/fast/794216;http://id.worldcat.org/fast/1206047,Q38799;Q3609
Abbots,a,fast,http://id.worldcat.org/fast/794221,Abbots,http://id.worldcat.org/fast/794221,Q190
Abbots.,a,fast,http://id.worldcat.org/fast/794221,Abbots,http://id.worldcat.org/fast/794221,Q190
Abbots--Early works to 1800,a--v,0,,Abbots;Early works,http://id.worldcat.org/fast/794221;http://id.worldcat.org/fast/1411636,Q190;Q300
Abbots--Early works to 1800.,a--v,0,,Abbots;Early works,http://id.worldcat.org/fast/794221;http://id.worldcat.org/fast/1411636,Q190;Q300
Ablutions (Islamic law),a,fast,(OCoLC)fst01748813,Ablutions (Islamic law),http://id.worldcat.org/fast/1748813,Q11157
Ablutions (Islamic law)--Early works to 1800,a--v,0,(uri) http://id.loc.gov/authorities/subjects/sh2009007624,Ablutions (Islamic law);Early works,http://id.worldcat.org/fast/1748813;http://id.worldcat.org/fast/1411636,Q11157;Q300
Ablutions (Islamic law)--Early works to 1800,a--v,0,,Ablutions (Islamic law);Early works,http://id.worldcat.org/fast/1748813;http://id.worldcat.org/fast/1411636,Q11157;Q300
Ablutions (Islamic law)--Early works to 1800.,a--v,0,,Ablutions (Islamic law);Early works,http://id.worldcat.org/fast/1748813;http://id.worldcat.org/fast/1411636,Q11157;Q300
Ablutions (Islamic law)--Early works to 1800.,a--v,0,(uri) http://id.loc.gov/authorities/subjects/sh2009007624,Ablutions (Islamic law);Early works,http://id.worldcat.org/fast/1748813;http://id.worldcat.org/fast/1411636,Q11157;Q300
Abraham (Biblical patriarch) in the Qurʼan,a,fast,(OCoLC)fst01864769,Abraham (Biblical patriarch) in the Qurʼan,http://id.worldcat.org/fast/1864769,Q26751
Account books--Great Britain--19th century,a--z--y,0,,Account books;Great Britain;Nineteenth century,http://id.worldcat.org/fast/795342;http://id.worldcat.org/fast/1204623;http://id.worldcat.org/fast/1037841,Q38801;Q179;Q3538
Accounting,a,fast,http://id.worldcat.org/fast/795379,Accounting,http://id.worldcat.org/fast/795379,Q291
Accounting.,a,fast,http://id.worldcat.org/fast/795379,Accounting,http://id.worldcat.org/fast/795379,Q291
Accounting--France--14th century,a--z--y,0,,Accounting;France;Fourteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420,Q291;Q152;Q295
Accounting--France--14th century.,a--z--y,0,,Accounting;France;Fourteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/933420,Q291;Q152;Q295
Accounting--Germany--16th century,a--z--y,0,,Accounting;Germany;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1119851,Q291;Q3032;Q335
Accounting--Germany--16th century.,a--z--y,0,,Accounting;Germany;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/1119851,Q291;Q3032;Q335
"Accounting--Handbooks, manuals, etc.--Early works to 1800",a--x--v,0,,"Accounting--Handbooks, manuals, etc.;Handbooks and manuals;Early works",http://id.worldcat.org/fast/1424436;http://id.worldcat.org/fast/1423877;http://id.worldcat.org/fast/1411636,Q38802;Q212;Q300
Accounting--Italy--15th century,a--z--y,0,,Accounting;Italy;Fifteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q291;Q249;Q154
Accounting--Italy--15th century.,a--z--y,0,,Accounting;Italy;Fifteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/923962,Q291;Q249;Q154
Accounting--Italy--16th century,a--z--y,0,,Accounting;Italy;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,Q291;Q249;Q335
Accounting--Italy--16th century.,a--z--y,0,,Accounting;Italy;Sixteenth century,http://id.worldcat.org/fast/795379;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1119851,Q291;Q249;Q335
