language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
ara,,,,,Arabic,Q13955,Q118
Arabic,,,,,Arabic,Q13955,Q118
In Arabic and Persian,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
In Arabic with Persian translation,,Arabic;Persian,Q13955;Q9168,Q118;Q120,,,
ota,,,,,Ottoman Turkish,Q36730,Q3104
Arabic and Ottoman Turkish,,,,,Arabic;Ottoman Turkish,Q13955;Q36730,Q118;Q3104
Arabic and Javanese in Arabic script,,,,,Arabic;Javanese,Q13955;Q33549,Q118;Q38105
"Arabic, Persian, and Urdu",,Arabic;Persian;Urdu,Q13955;Q9168;Q1617,Q118;Q120;Q27496,,,
Arabic and Persian,,,,,Arabic;Persian,Q13955;Q9168,Q118;Q120
"Arabic, Persian, and Ottoman Turkish",,,,,Arabic;Persian;Ottoman Turkish,Q13955;Q9168;Q36730,Q118;Q120;Q3104
"Arabic, Persian and Ottoman Turkish",,,,,Arabic;Persian;Ottoman Turkish,Q13955;Q9168;Q36730,Q118;Q120;Q3104
"Urdu, Arabic, and Persian",,Urdu;Arabic;Persian,Q1617;Q13955;Q9168,Q27496;Q118;Q120,,,
In Arabic,,,,,Arabic,Q13955,Q118
