name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Ibn Shābidh al-Ṣunhājī, Muḥammad ibn Saʻīd, -1393",author,ابن شابذ الصنهاجي، محمد بن سعيد,,human,Muḥammad ibn Saʻīd Ibn Shābidh al-Ṣunhājī,Q131690029,DSNAME7464,Q67750,,,,
"Jazūlī, Muḥammad ibn Sulaymān, 1404-1465",author,جزولي، محمد بن سليمان,,,,,,,human,Muhammad al-Jazuli,Q1775944,Q18651
"Abyārī, ʻAbd al-Jawād ibn ʻAlī, active 17th century",scribe,ابياري، عبد الجواد بن علي، active 17th century,,human,ʻAbd al-Jawād ibn ʻAlī Abyārī,Q131690031,DSNAME7465,Q67751,,,,
"Nābulusī, ʻAbd al-Ghanī ibn Ismāʻīl, 1641-1731",author,"نابلسي، عبد الغني بن اسماعيل،, 1641-1731",http://id.loc.gov/authorities/names/n83198301,,,,,,human,Abd al-Ghani al-Nabulsi,Q4164547,Q12278
"Ghaznawī, Ibrāhīm ibn Muḥammad, active 18th century",scribe,غزنوي، ابراهيم بن محمد، active 18th century,,human,Ibrāhīm ibn Muḥammad Ghaznawī,Q131690032,DSNAME7466,Q67752,,,,
"Ṭurayḥī, Fakhr al-Dīn, 1571 or 1572-1674 or 1675",author,طريحي، فخر الدين,,human,Fakhr al-Dīn Ṭurayḥī,Q5942448,DSNAME7517,Q67803,,,,
"Marghīnānī, Maḥmūd ibn Aḥmad, 1156 or 1157-1219 or 1220",author,مرغيناني، محمود بن احمد,,human,Maḥmūd ibn Aḥmad Marghīnānī,Q131575255,DSNAME7518,Q67804,,,,
"Marghīnānī, Maḥmūd ibn Aḥmad, 1156 or 1157-1219 or 1220",author,مرغيناني، محمود بن احمد,,human,Maḥmūd ibn Aḥmad Marghīnānī,Q131575255,DSNAME7518,Q67804,,,,
"Baghawī, al-Ḥusayn ibn Masʻūd, -1117",author,بغوي، الحسين بن مسعود,http://id.loc.gov/authorities/names/n81020342,,,,,,human,Al-Baghawi,Q48210,Q12296
"Shurunbulālī, Ḥasan ibn ʻAmmār, 1585 or 1586-1659",author,شرنبلالي، حسن بن عمار، 1585 or 1586-1659,http://id.loc.gov/authorities/names/n90712577,,,,,,human,Hasan Ibn e Ammar Al-Shurunbulali,Q25452012,Q12485
"Abū al-Layth al-Samarqandī, Naṣr ibn Muḥammad, -983",author,ابو الليث السمرقندي، نصر بن محمد، -983,http://id.loc.gov/authorities/names/n82268136(uri) http://id.loc.gov/authorities/names/n82268136(uri) http://viaf.org/viaf/sourceID/LC%7cn82268136,,,,,,human,Abu al-Layth al-Samarqandi,Q938348,Q12470
"Nawawī, 1233-1277",author,نووي، 1233-1277,http://id.loc.gov/authorities/names/n82009538 http://id.loc.gov/authorities/names/n82009538 http://viaf.org/viaf/sourceID/LC%7cn82009538,,,,,,human,Al-Nawawi,Q293571,Q12416
