title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Sharḥ mashyakhat Man lā yaḥḍuruhu al-faqīh,,,,,,,
al-Juzʼ al-thānī min Kitāb Tafṣīl wasāʼil al-Shīʻah ilá taḥṣīl masāʼil al-sharīʻah,الجزء الثاني من كتاب تفصيل وسائل الشيعة الى تحصيل مسائل الشريعة,Tafṣīl wasāʼil al-Shīʻah ilá taḥṣīl masāʼil al-sharīʻah,تفصيل وسائل الشيعة الى تحصيل مسائل الشريعة,Tafṣīl wasāʼil al-Shīʻah ilá taḥṣīl masāʼil al-sharīʻah,Q67333,,
Volume 1 of Tahdhīb al-aḥkām,,Tahdhīb al-aḥkām,تهذيب الاحكام,Tahdhīb al-aḥkām,Q67214,,
Section from Tahdhīb al-aḥkām,,Tahdhīb al-aḥkām,تهذيب الاحكام,Tahdhīb al-aḥkām,Q67214,,
al-Shamāʾil al-Nabawīyah,الشمائل النبوية,,,al-Shamāʾil al-Nabawīyah,Q67215,,
Kitāb Bahjat al-maḥāfil wa-ajmal al-wasāʼil bi-al-taʻrīf bi-ruwāt al-shamāʼil /,كتاب بهجة المحافل واجمل الوسائل بالتعريف برواة الشمائل /,Bahjat al-maḥāfil wa-ajmal al-wasāʼil bi-al-taʻrīf bi-ruwāt al-shamāʼil,بهجة المحافل واجمل الوسائل بالتعريف برواة الشمائل,Bahjat al-maḥāfil,Q67216,,
Bahjat al-maḥāfil /,بهجة المحافل /,Bahjat al-maḥāfil wa-ajmal al-wasāʼil bi-al-taʻrīf bi-ruwāt al-shamāʼil,بهجة المحافل واجمل الوسائل بالتعريف برواة الشمائل,Bahjat al-maḥāfil,Q67216,,
Hādhihi ḥawāshin manqūlah min Sharḥ al-Munāwī ʻalá Shamāʾil al-Muṣṭafá ...,هذه حواش منقولة من شرح المناوي على شمائل المصطفى ...,Sharḥ al-Shamāʾil,شرح الشمائل,Sharḥ al-Shamāʾil,Q67334,,
Kitāb al-minjam fī al-muʻjam /,كتاب المنجم في المعجم /,Minjam fī al-muʻjam,منجم في المعجم,Minjam fī al-muʻjam,Q67335,,
Kitāb ʻUqūd al-zabarjad fī iʻrāb mushkil al-Musnad lil-Imām Aḥmad ibn Ḥanbal /,كتاب عقود الزبرجد في اعراب مشكل المسند للامام احمد بن حنبل /,ʻUqūd al-zabarjad,عقود الزبرجد,ʻUqūd al-zabarjad,Q67336,,
Kitāb Ziyādat al-Jāmiʻ al-ṣaghīr /,كتاب زيادة الجامع الصغير /,Ziyādah ʻalá al-Jāmiʻ al-ṣaghīr,زيادة على الجامع الصغير,Ziyādah ʻalá al-Jāmiʻ al-ṣaghīr,Q67217,,
Ziyādat al-Jāmiʻ,زيادة الجامع,Ziyādah ʻalá al-Jāmiʻ al-ṣaghīr,زيادة على الجامع الصغير,Ziyādah ʻalá al-Jāmiʻ al-ṣaghīr,Q67217,,
Kitāb al-Jāmiʻ al-ṣaghīr min ḥadīth al-bashīr al-nadhīr /,كتاب الجامع الصغير من حديث البشير النذير /,Jāmiʻ al-ṣaghīr,جامع الصغير,Jāmiʻ al-ṣaghīr,Q64065,,
al-Jāmiʻ al-ṣaghīr min ḥadīth al-bashīr al-nadhīr,الجامع الصغير من حديث البشير النذير,Jāmiʻ al-ṣaghīr,جامع الصغير,Jāmiʻ al-ṣaghīr,Q64065,,
