ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place,production_place_label,production_date_as_recorded,production_date,century,century_aat,dated,uniform_title_as_recorded,uniform_title_agr,title_as_recorded,title_as_recorded_agr,standard_title,genre_as_recorded,genre,genre_label,subject_as_recorded,subject,subject_label,author_as_recorded,author_as_recorded_agr,author,author_wikidata,author_instance_of,author_label,artist_as_recorded,artist_as_recorded_agr,artist,artist_label,artist_wikidata,artist_instance_of,scribe_as_recorded,scribe_as_recorded_agr,scribe,scribe_label,scribe_wikidata,scribe_instance_of,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent,associated_agent_label,associated_agent_wikidata,associated_agent_instance_of,language_as_recorded,language,language_label,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner,former_owner_label,former_owner_wikidata,former_owner_instance_of,material_as_recorded,material,material_label,physical_description,note,acknowledgements,data_processed_at,data_source_modified,source_file
,,,marc-xml,"",Q49117,University of Pennsylvania,9949469973503681,Ms. Coll. 764 Item 114,https://franklin.library.upenn.edu/catalog/FRANKLIN_9949469973503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3k36k/manifest,"","","",1422.,1422,15,http://vocab.getty.edu/aat/300404465,,"","","Michele Chiari power of attorney,","",Power of attorney,"Notarial documents|Legal documents|Manuscripts, Renaissance|Manuscripts, Latin",http://vocab.getty.edu/aat/300164785|http://vocab.getty.edu/aat/300027590|http://id.worldcat.org/fast/1008472|http://id.worldcat.org/fast/1008395,"notarial documents|legal documents|Manuscripts, Renaissance|Manuscripts, Latin","Coppetti, Coppo|Chiari, Michele|Zanobi, Jacopo di|Domenico, Biagio di|Paoli, Stefano|Florence (Italy)--History--15th century",|||||http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,|||||Italy--Florence;History;Fifteenth century,"","","","","","","","","","","","","","","","","","",,,,,,,In Latin,Q397,Latin,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 parchment,Sold by Renzo Rizzi (Milan).,,2023-09-11 18:14:53 -0400,2022-08-03,9949469973503681_marc.xml
,,,marc-xml,"",Q49117,University of Pennsylvania,9949469993503681,Ms. Coll. 764 Item 115,https://franklin.library.upenn.edu/catalog/FRANKLIN_9949469993503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3fd1j/manifest,"","","",1422.,1422,15,http://vocab.getty.edu/aat/300404465,,"","","Mattea Petrini power of attorney,","",Power of attorney,"Notarial documents|Legal documents|Manuscripts, Renaissance|Manuscripts, Latin",http://vocab.getty.edu/aat/300164785|http://vocab.getty.edu/aat/300027590|http://id.worldcat.org/fast/1008472|http://id.worldcat.org/fast/1008395,"notarial documents|legal documents|Manuscripts, Renaissance|Manuscripts, Latin","Vanne, Benedetto di|Petrini, Mattea|Ugolino, Lodovico di|Peri, Giovanni|Peri, Giovanni|Alessandri, Piero degli|Silvestri, Jacopo, active 16th century|Florence (Italy)--History--15th century",|||http://id.worldcat.org/fast/1789626|http://id.worldcat.org/fast/1789626|||http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,"|||Peri, Giovanni|Peri, Giovanni|||Italy--Florence;History;Fifteenth century","","","","","","","","","","","","","","","","","","",,,,,,,In Latin,Q397,Latin,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 parchment,Sold by Renzo Rizzi (Milan).,,2023-09-11 18:14:53 -0400,2022-08-03,9949469993503681_marc.xml
,,,marc-xml,"",Q49117,University of Pennsylvania,9949470003503681,Ms. Coll. 764 Item 116a,https://franklin.library.upenn.edu/catalog/FRANKLIN_9949470003503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p39m00/manifest,"","","",1423.,1423,15,http://vocab.getty.edu/aat/300404465,,"","","Domenico Duti power of attorney,","",Power of attorney,"Notarial documents|Legal documents|Manuscripts, Renaissance|Manuscripts, Latin",http://vocab.getty.edu/aat/300164785|http://vocab.getty.edu/aat/300027590|http://id.worldcat.org/fast/1008472|http://id.worldcat.org/fast/1008395,"notarial documents|legal documents|Manuscripts, Renaissance|Manuscripts, Latin","Duti, Sessa|Duti, Gaspare|Duti, Pratese|Duti, Domenico|Silvestri, Jacopo, active 16th century|Di Meo, Antonio, 1947-|Paoli, Santino|Luca, Jacopo di|Filippo, Benedetto di|Gino, Andrea di|Inheritance and succession--Italy|Inheritance and succession|Guardian and ward|Guardian and ward--Italy|Italy|Florence (Italy)--History--15th century|Prato (Italy)--History--15th century|Ferrara (Italy)--History--15th century",||||||||||http://id.worldcat.org/fast/973371;http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/973371|http://id.worldcat.org/fast/948819|http://id.worldcat.org/fast/948819;http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962|http://id.worldcat.org/fast/1207348;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962|http://id.worldcat.org/fast/1204575;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,||||||||||Inheritance and succession;Italy|Inheritance and succession|Guardian and ward|Guardian and ward;Italy|Italy|Italy--Florence;History;Fifteenth century|Italy--Prato;History;Fifteenth century|Italy--Ferrara;History;Fifteenth century,"","","","","","","","","","","","","","","","","","",,,,,,,In Latin,Q397,Latin,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 parchment,Sold by Renzo Rizzi (Milan).,,2023-09-11 18:14:53 -0400,2022-08-03,9949470003503681_marc.xml
,,,marc-xml,"",Q49117,University of Pennsylvania,9949470033503681,Ms. Coll. 764 Item 116b,https://franklin.library.upenn.edu/catalog/FRANKLIN_9949470033503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3p07v/manifest,"","","",1423.,1423,15,http://vocab.getty.edu/aat/300404465,,"","","Ciulla Casini power of attorney,","",Power of attorney,"Notarial documents|Legal documents|Manuscripts, Renaissance|Manuscripts, Latin",http://vocab.getty.edu/aat/300164785|http://vocab.getty.edu/aat/300027590|http://id.worldcat.org/fast/1008472|http://id.worldcat.org/fast/1008395,"notarial documents|legal documents|Manuscripts, Renaissance|Manuscripts, Latin","Peri, Giovanni|Pizzo, Giovanni|Peri, Giovanni|Casini, Ciulla|Florence (Italy)--History--15th century",http://id.worldcat.org/fast/1789626||http://id.worldcat.org/fast/1789626||http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,"Peri, Giovanni||Peri, Giovanni||Italy--Florence;History;Fifteenth century","","","","","","","","","","","","","","","","","","",,,,,,,In Latin,Q397,Latin,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 parchment,Sold by Renzo Rizzi (Milan).,,2023-09-11 18:14:53 -0400,2022-08-03,9949470033503681_marc.xml
,,,marc-xml,"",Q49117,University of Pennsylvania,9949470043503681,Ms. Coll. 764 Item 117,https://franklin.library.upenn.edu/catalog/FRANKLIN_9949470043503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p35w75/manifest,"","","",1423.,1423,15,http://vocab.getty.edu/aat/300404465,,"","","Buonanno de' Malecarni power of attorney,","",Power of attorney,"Notarial documents|Legal documents|Manuscripts, Renaissance|Manuscripts, Latin",http://vocab.getty.edu/aat/300164785|http://vocab.getty.edu/aat/300027590|http://id.worldcat.org/fast/1008472|http://id.worldcat.org/fast/1008395,"notarial documents|legal documents|Manuscripts, Renaissance|Manuscripts, Latin","Malecarni, Buonanno de'|Balestriere, Antonio|Finuccio, Francesco di|Gucciarelli, Buongiuliano de|Nofrio, Jacopo di|Finuccio, Niccolò di|Florence (Italy)--History--15th century",||||||http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,||||||Italy--Florence;History;Fifteenth century,"","","","","","","","","","","","","","","","","","",,,,,,,In Latin,Q397,Latin,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 parchment,Sold by Renzo Rizzi (Milan).,,2023-09-11 18:14:53 -0400,2022-08-03,9949470043503681_marc.xml
,,,marc-xml,"",Q49117,University of Pennsylvania,9949470063503681,Ms. Coll. 764 Item 118,https://franklin.library.upenn.edu/catalog/FRANKLIN_9949470063503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3235j/manifest,"","","",1423.,1423,15,http://vocab.getty.edu/aat/300404465,,"","","Dowry receipt,","",Receipt,"Notarial documents|Manuscripts, Latin|Manuscripts, Renaissance",http://vocab.getty.edu/aat/300164785|http://id.worldcat.org/fast/1008395|http://id.worldcat.org/fast/1008472,"notarial documents|Manuscripts, Latin|Manuscripts, Renaissance","Stefano, Niccolò di|Lotti, Piero|Stefano, Caterina di|Dowry--Italy|Dowry|Vicopisano (Italy)--History--15th century|Vernio (Italy)--History--15th century|Italy",|||http://id.worldcat.org/fast/897264;http://id.worldcat.org/fast/1204565|http://id.worldcat.org/fast/897264|http://id.worldcat.org/fast/1238728;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962|http://id.worldcat.org/fast/1204164;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962|http://id.worldcat.org/fast/1204565,|||Dowry;Italy|Dowry|Italy--Vicopisano;History;Fifteenth century|Italy--Vernio;History;Fifteenth century|Italy,"","","","","","","","","","","","","","","","","","",,,,,,,In Latin,Q397,Latin,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 parchment,Sold by Renzo Rizzi (Milan).,,2023-09-11 18:14:53 -0400,2022-08-03,9949470063503681_marc.xml
,,,marc-xml,"",Q49117,University of Pennsylvania,9949470103503681,Ms. Coll. 764 Item 119,https://franklin.library.upenn.edu/catalog/FRANKLIN_9949470103503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3j94k/manifest,"","","",1423.,1423,15,http://vocab.getty.edu/aat/300404465,,"","","Alessandri family power of attorney,","",Power of attorney,"Notarial documents|Legal documents|Manuscripts, Renaissance|Manuscripts, Latin",http://vocab.getty.edu/aat/300164785|http://vocab.getty.edu/aat/300027590|http://id.worldcat.org/fast/1008472|http://id.worldcat.org/fast/1008395,"notarial documents|legal documents|Manuscripts, Renaissance|Manuscripts, Latin","Alessandri, Niccolò degli|Peri, Giovanni|Alessandri, Bartolomeo degli|Silvestri, Jacopo, active 16th century|Peri, Giovanni|Alessandri, Alessandro degli|Florence (Italy)--History--15th century",|http://id.worldcat.org/fast/1789626|||http://id.worldcat.org/fast/1789626||http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,"|Peri, Giovanni|||Peri, Giovanni||Italy--Florence;History;Fifteenth century","","","","","","","","","","","","","","","","","","",,,,,,,In Latin,Q397,Latin,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 parchment,Sold by Renzo Rizzi (Milan).,,2023-09-11 18:14:53 -0400,2022-08-03,9949470103503681_marc.xml
,,,marc-xml,"",Q49117,University of Pennsylvania,9949252783503681,Ms. Coll. 764 Item 11,https://franklin.library.upenn.edu/catalog/FRANKLIN_9949252783503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3w64n/manifest,"","","",1278.,1278,13,http://vocab.getty.edu/aat/300404505,,"","","Città di Castello authorization of sale,","",Authorization of sale,"Legal documents|Manuscripts, Latin|Manuscripts, Medieval",http://vocab.getty.edu/aat/300027590|http://id.worldcat.org/fast/1008395|http://id.worldcat.org/fast/1008422,"legal documents|Manuscripts, Latin|Manuscripts, Medieval",13th century|Real property--Italy--13th century|Real property|Città di Castello (Italy)--Politics and government--13th century|Città di Castello (Italy)--History--13th century|Italy,http://id.worldcat.org/fast/1150138|http://id.worldcat.org/fast/1091096;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1150138|http://id.worldcat.org/fast/1091096|http://id.worldcat.org/fast/1204564;http://id.worldcat.org/fast/1919741;http://id.worldcat.org/fast/1150138|http://id.worldcat.org/fast/1204564;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1150138|http://id.worldcat.org/fast/1204565,Thirteenth century|Real property;Italy;Thirteenth century|Real property|Italy--Città di Castello;Politics and government;Thirteenth century|Italy--Città di Castello;History;Thirteenth century|Italy,Città di Castello (Italy). Podestà,"","",Q20413,organization,Città di Castello,"","","","","","","","","","","","",,,,,,,In Latin,Q397,Latin,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 parchment,Sold by Renzo Rizzi (Milan).,,2023-09-11 18:14:53 -0400,2022-08-03,9949252783503681_marc.xml
,,,marc-xml,"",Q49117,University of Pennsylvania,9949470123503681,Ms. Coll. 764 Item 120,https://franklin.library.upenn.edu/catalog/FRANKLIN_9949470123503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3dm2p/manifest,"","","",1423.,1423,15,http://vocab.getty.edu/aat/300404465,,"","","Tommaso di Aringhello power of attorney,","",Power of attorney,"Notarial documents|Legal documents|Manuscripts, Renaissance|Manuscripts, Latin",http://vocab.getty.edu/aat/300164785|http://vocab.getty.edu/aat/300027590|http://id.worldcat.org/fast/1008472|http://id.worldcat.org/fast/1008395,"notarial documents|legal documents|Manuscripts, Renaissance|Manuscripts, Latin","Peri, Giovanni|Carlo, Bindo di|Peri, Giovanni|Aringhello, Tommaso di|Florence (Italy)--History--15th century",http://id.worldcat.org/fast/1789626||http://id.worldcat.org/fast/1789626||http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,"Peri, Giovanni||Peri, Giovanni||Italy--Florence;History;Fifteenth century","","","","","","","","","","","","","","","","","","",,,,,,,In Latin,Q397,Latin,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 parchment,Sold by Renzo Rizzi (Milan).,,2023-09-11 18:14:53 -0400,2022-08-03,9949470123503681_marc.xml
,,,marc-xml,"",Q49117,University of Pennsylvania,9949470143503681,Ms. Coll. 764 Item 121,https://franklin.library.upenn.edu/catalog/FRANKLIN_9949470143503681,https://colenda.library.upenn.edu/phalt/iiif/2/81431-p3xd28/manifest,"","","",1423.,1423,15,http://vocab.getty.edu/aat/300404465,,"","","Strozzi family power of attorney,","",Power of attorney,"Notarial documents|Legal documents|Manuscripts, Renaissance|Manuscripts, Latin",http://vocab.getty.edu/aat/300164785|http://vocab.getty.edu/aat/300027590|http://id.worldcat.org/fast/1008472|http://id.worldcat.org/fast/1008395,"notarial documents|legal documents|Manuscripts, Renaissance|Manuscripts, Latin","Spini, Guglielmo degli|Strozzi, Giovanni|Silvestri, Jacopo, active 16th century|Strozzi, Niccolò|Peri, Giovanni|Cardi, Giovanni|Filippo, Arrigo di|Alessandri, Piero degli|Peri, Giovanni|Florence (Italy)--History--15th century",||||http://id.worldcat.org/fast/1789626||||http://id.worldcat.org/fast/1789626|http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,"||||Peri, Giovanni||||Peri, Giovanni|Italy--Florence;History;Fifteenth century","","","","","","","","","","","","","","","","","","",,,,,,,In Latin,Q397,Latin,"","","","","","",parchment,http://vocab.getty.edu/aat/300011851,parchment,Extent: 1 parchment,Sold by Renzo Rizzi (Milan).,,2023-09-11 18:14:53 -0400,2022-08-03,9949470143503681_marc.xml
