genre_as_recorded,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Charter and Deeds,ds-genre,,charters;deeds,http://vocab.getty.edu/aat/300027621;http://vocab.getty.edu/aat/300027249,Q2793;Q283,,,
Court Rolls,ds-genre,,court rolls,http://vocab.getty.edu/aat/300312072,Q76111,,,
Copies of Court Rolls,ds-genre,,copies (documents);court rolls,http://vocab.getty.edu/aat/300257688;http://vocab.getty.edu/aat/300312072,Q76110;Q76111,,,
Miscellaneous Manorial Documents,ds-genre,,manorial records,http://vocab.getty.edu/aat/300027959,Q76114,,,
"Rentals, Firmals, Extents, Surveys, etc.",ds-genre,,,,,,,
Compotus Rolls,ds-genre,,,,,,,
Extracts of Court Rolls,ds-genre,,court rolls;extracts (partial documents),http://vocab.getty.edu/aat/300312154;http://vocab.getty.edu/aat/300312072,Q76111;Q76112,,,
Acquittances,ds-genre,,,,,,,
Legal Affairs,ds-genre,,legal documents,http://vocab.getty.edu/aat/300027590,Q236,,,
Marriage Agreements,ds-genre,,,,,,,
"Wardships, etc.",ds-genre,,,,,,,
Official Papers: National and Local Affairs,ds-genre,,,,,,,
Promissory Notes,ds-genre,,promissory notes,http://vocab.getty.edu/aat/300193970,Q3531,,,
Estate Administration,ds-genre,,estate administration records,http://vocab.getty.edu/aat/300027870,Q76113,,,
Letters,ds-genre,,letters (correspondence),http://vocab.getty.edu/aat/300026879,Q7110,,,
Records of Birth,ds-genre,,birth records,http://vocab.getty.edu/aat/300027397,Q76109,,,
Miscellaneous,ds-genre,,miscellaneous,http://vocab.getty.edu/aat/300386698,Q76117,,,
Recognizances,ds-genre,,,,,,,
Bills and Receipted Bills,ds-genre,,bills of sale;receipts (financial records),http://vocab.getty.edu/aat/300141696;http://vocab.getty.edu/aat/300027573,Q76116;Q219,,,
Wills,ds-genre,,wills,http://vocab.getty.edu/aat/300027764,Q4900,,,
