place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Italy,",,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
Ṿenetsiyah,Venice,http://vocab.getty.edu/tgn/7018159,Q2823,,,
"Corfu, Greece",Corfu;Greece,http://vocab.getty.edu/tgn/7010883;http://vocab.getty.edu/tgn/1000074,Q74795;Q16421,,,
"Mantua?, Italy",Mantua;Italy,http://vocab.getty.edu/tgn/7005879;http://vocab.getty.edu/tgn/1000080,Q2824;Q134,,,
"Rovigo, Italy",,,,Rovigo;Italy,http://vocab.getty.edu/tgn/7003271;http://vocab.getty.edu/tgn/1000080,Q4989;Q134
"Venice, Italy,",,,,Venice;Italy,http://vocab.getty.edu/tgn/7018159;http://vocab.getty.edu/tgn/1000080,Q2823;Q134
Place of production not identified,,,,undetermined,http://vocab.getty.edu/tgn/7544559,Q650
Lebanon?,Lebanon,http://vocab.getty.edu/tgn/1000126,Q11611,,,
Damascus (Syria),Damascus;Syria,http://vocab.getty.edu/tgn/7002261;http://vocab.getty.edu/tgn/1000140,Q11626;Q3096,,,
"Panevėžys, Lithuania",Panevėžys;Lithuania,http://vocab.getty.edu/tgn/1058187;http://vocab.getty.edu/tgn/7006542,Q74809;Q74810,,,
Konstantinogradskiĭ uezd (Ukraine),Ukraine,http://vocab.getty.edu/tgn/7006660,Q74798,,,
"Saluzzo, Italy",Saluzzo;Italy,http://vocab.getty.edu/tgn/7005648;http://vocab.getty.edu/tgn/1000080,Q7210;Q134,,,
"Trieste, Italy",Trieste;Italy,http://vocab.getty.edu/tgn/7005539;http://vocab.getty.edu/tgn/1000080,Q74811;Q134,,,
"Bilohirsʹk, Ukraine",Belogorsk;Ukraine,http://vocab.getty.edu/tgn/1052663;http://vocab.getty.edu/tgn/7006660,Q74812;Q74798,,,
Constantinople?,Istanbul,http://vocab.getty.edu/tgn/7002473,Q11605,,,
Middle East,,,,Middle East,http://vocab.getty.edu/tgn/7001526,Q38249
North Africa?,,,,North Africa,http://vocab.getty.edu/tgn/7016886,Q3652
Place of publication not identified,,,,undetermined,http://vocab.getty.edu/tgn/7544559,Q650
Europe,,,,Europe,http://vocab.getty.edu/tgn/1000003,Q1290
Hebron,Hebron,http://vocab.getty.edu/tgn/7029354,Q11621,,,
"Mashad, Iran",Mashhad;Iran,http://vocab.getty.edu/tgn/7002247;http://vocab.getty.edu/tgn/7000231,Q48702;Q2822,,,
"Carpentras, France",Carpentras;France,http://vocab.getty.edu/tgn/7008801;http://vocab.getty.edu/tgn/1000070,Q74813;Q122,,,
"Baghdad, Iraq",Baghdad;Iraq,http://vocab.getty.edu/tgn/7002482;http://vocab.getty.edu/tgn/1000118,Q11612;Q3090,,,
Sandur,,,,,,
Algeria,Algeria,http://vocab.getty.edu/tgn/7016752,Q27489,,,
Geneva,,,,Geneva,http://vocab.getty.edu/tgn/7007279,Q42496
"Karasu, Turkey",Karasu;Turkey,http://vocab.getty.edu/tgn/1086557;http://vocab.getty.edu/tgn/1000144,Q74814;Q3079,,,
Vein,Vienna,http://vocab.getty.edu/tgn/7003321,Q3078,,,
n.p.,,,,undetermined,http://vocab.getty.edu/tgn/7544559,Q650
"Kramariya, Turkey",Turkey,http://vocab.getty.edu/tgn/1000144,Q3079,,,
Belgium,,,,Belgium,http://vocab.getty.edu/tgn/1000063,Q1243
