subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"Rashi, 1040-1105. Perush Rashi ʻal Shir ha-shirim--19th century",0,a;d;t--y,,Perush Rashi ʻal Shir ha-shirim (Rashi);Nineteenth century,http://id.worldcat.org/fast/1916155;http://id.worldcat.org/fast/1037841,Q75391;Q3538,,,
Bible. Old Testament.--Aramaic--19th century,0,a;p--l--y,,Bible. Old Testament;Aramaic language;Nineteenth century,http://id.worldcat.org/fast/1808092;http://id.worldcat.org/fast/812667;http://id.worldcat.org/fast/1037841,Q4202;Q67192;Q3538,,,
"Rashi, 1040-1105. Perush Rashi ʻal Kohelet--19th century",0,a;d;t--y,,Nineteenth century,http://id.worldcat.org/fast/1037841,Q3538,,,
"Rashi, 1040-1105. Perush Rashi ʻal Rut--19th century",0,a;d;t--y,,Nineteenth century,http://id.worldcat.org/fast/1037841,Q3538,,,
Zohar.--Selections--19th century,0,a--k--y,,Zohar;Excerpts;Nineteenth century,http://id.worldcat.org/fast/1357178;http://id.worldcat.org/fast/1692837;http://id.worldcat.org/fast/1037841,Q55282;Q3547;Q3538,,,
Zohar--Commentaries,0,a--v,,Zohar;Commentaries,http://id.worldcat.org/fast/1357178;http://id.worldcat.org/fast/1423723,Q55282;Q2812,,,
Idra rabba--Commentaries,0,a--v,,Idra rabba;Commentaries,http://id.worldcat.org/fast/1373724;http://id.worldcat.org/fast/1423723,Q74918;Q2812,,,
Talmud--Early works to 1800,0,a--v,,Talmud;Early works,http://id.worldcat.org/fast/1356431;http://id.worldcat.org/fast/1411636,Q48130;Q300,,,
Talmud. Shabbat--Early works to 1800,0,a;p--v,,Talmud. Shabbat;Early works,http://id.worldcat.org/fast/1357781;http://id.worldcat.org/fast/1411636,Q75336;Q300,,,
"Rashi, 1040-1105. Perush Rashi ʻal ha-Torah--Criticism and interpretation--Early works to 1800",0,a;d;t--v--v,,"Perush Rashi ʻal ha-Torah (Rashi);Criticism, interpretation, etc.;Early works",http://id.worldcat.org/fast/1360547;http://id.worldcat.org/fast/1411635;http://id.worldcat.org/fast/1411636,Q74932;Q177;Q300,,,
"Mizraḥi, Elijah, approximately 1450-1526. Sefer ha-Mizraḥi--Criticism and interpretation--Early works to 1800",0,a;d;t--v--v,,"Sefer ha-Mizraḥi (Mizraḥi, Elijah);Criticism, interpretation, etc.;Early works",http://id.worldcat.org/fast/1916826;http://id.worldcat.org/fast/1411635;http://id.worldcat.org/fast/1411636,Q75392;Q177;Q300,,,
Bible. Old Testament--Commentaries--History and criticism,0,a;p--x--x,,"Bible. Old Testament;Commentaries;Criticism, interpretation, etc.",http://id.worldcat.org/fast/1808092;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411635,Q4202;Q2812;Q177,,,
