place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Western Europe,,,,Western Europe,http://vocab.getty.edu/tgn/4003761,Q10830
Germany,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
Italy or Spain?,Italy;Spain,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/1000095,Q134;Q129,,,
Bamberg,,,,Bamberg,http://vocab.getty.edu/tgn/7004325,Q6976
Carolingian Empire,Carolingian Empire,http://vocab.getty.edu/tgn/7024348,Q75953,,,
Germany or Eastern Europe,Germany;Eastern Europe,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/4003756,Q131;Q38190,,,
Italy?,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
Bohemia,,,,Bohemia,http://vocab.getty.edu/tgn/7006470,Q7503
Germany?,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
France?,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
France,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
Milan,,,,Milan,http://vocab.getty.edu/tgn/7005903,Q7499
