subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Responsa--1040-1600,0,a--y,http://id.loc.gov/authorities/subjects/sh85113225,Responsa,http://id.worldcat.org/fast/1095848,Q74824,,,
Money (Jewish law)--Early works to 1800,0,a--v,,Money (Jewish law);Early works,http://id.worldcat.org/fast/1025315;http://id.worldcat.org/fast/1411636,Q75054;Q300,,,
Hebrew language--Alphabet--Religious aspects--Early works to 1800,0,a--x--x--v,,Hebrew language--Alphabet--Religious aspects;Early works,http://id.worldcat.org/fast/954198;http://id.worldcat.org/fast/1411636,Q75430;Q300,,,
Aggada--History and criticism--Early works to 1800,0,a--x--v,,"Aggada;Criticism, interpretation, etc.;Early works",http://id.worldcat.org/fast/800216;http://id.worldcat.org/fast/1411635;http://id.worldcat.org/fast/1411636,Q38804;Q177;Q300,,,
Jews--Germany--Frankfurt am Main--Early works to 1800,0,a--z--z--v,,Jews;Germany--Frankfurt am Main;Early works,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1207215;http://id.worldcat.org/fast/1411636,Q323;Q75285;Q300,,,
Torah (The Hebrew word)--Early works to 1800,0,a--v,,Torah (The Hebrew word);Early works,http://id.worldcat.org/fast/1152710;http://id.worldcat.org/fast/1411636,Q75055;Q300,,,
Jewish drama--Early works to 1800,0,a--v,,Jewish drama;Early works,http://id.worldcat.org/fast/982755;http://id.worldcat.org/fast/1411636,Q75056;Q300,,,
Mathematics--Study and teaching--Early works to 1800,0,a--x--v,,Mathematics--Study and teaching;Early works,http://id.worldcat.org/fast/1012236;http://id.worldcat.org/fast/1411636,Q75490;Q300,,,
Jews--Egypt--Early works to 1800,0,a--z--v,,Jews;Egypt;Early works,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1208755;http://id.worldcat.org/fast/1411636,Q323;Q11259;Q300,,,
Persecution--History--Jews--Egypt--16th century,0,a--x--x--z--y,,Persecution;History;Jews;Egypt;Sixteenth century,http://id.worldcat.org/fast/1058354;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1208755;http://id.worldcat.org/fast/1119851,Q7773;Q6879;Q323;Q11259;Q335,,,
Hebrew language--Dictionaries,0,a--v,http://id.loc.gov/authorities/subjects/sh89002513,Hebrew language;Dictionaries,http://id.worldcat.org/fast/954191;http://id.worldcat.org/fast/1423826,Q38720;Q3041,,,
Ladino language--Dictionaries,0,a--v,,Ladino language;Dictionaries,http://id.worldcat.org/fast/990678;http://id.worldcat.org/fast/1423826,Q7129;Q3041,,,
"Incantations, Hebrew",0,a,http://id.loc.gov/authorities/subjects/sh85064717,"Incantations, Hebrew",http://id.worldcat.org/fast/968431,Q74864,,,
Kabbale--19e siècle,6,a--y,(CaQQLa)201-0007814--(CaQQLa)201-0373673,Cabala;Nineteenth century,http://id.worldcat.org/fast/843481;http://id.worldcat.org/fast/1037841,Q233;Q3538,,,
Twelve tribes of Israel--Early works to 1800,0,a--v,,Twelve tribes of Israel;Early works,http://id.worldcat.org/fast/1159797;http://id.worldcat.org/fast/1411636,Q75057;Q300,,,
Hebrew language--Alphabet--Religious aspects--Judaism--Early works to 1800,0,a--x--x--x--v,,,,,Hebrew language--Alphabet--Religious aspects--Judaism,http://id.worldcat.org/fast/954199,Q48976
Tétragramme--Ouvrages avant 1800,6,a--v,(CaQQLa)201-0276185--(CaQQLa)201-0377050,Tetragrammaton;Early works,http://id.worldcat.org/fast/1148395;http://id.worldcat.org/fast/1411636,Q74941;Q300,,,
Tetragrammaton,fast,a,(OCoLC)fst01148395,Tetragrammaton,http://id.worldcat.org/fast/1148395,Q74941,,,
Jews--Greece--Kerkyra--17th century,0,a--z--z--y,,Jews;Greece--Kerkyra;Seventeenth century,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1207942;http://id.worldcat.org/fast/1113663,Q323;Q75291;Q2771,,,
Shemini Atzeret (Samaritan),0,a,http://id.loc.gov/authorities/subjects/sh2001005909,Shemini Atzeret (Samaritan),http://id.worldcat.org/fast/1115801,Q74865,,,
Cabala--Poetry--19th century,0,a--x--y,,Cabala;Poetry;Nineteenth century,http://id.worldcat.org/fast/843481;http://id.worldcat.org/fast/1067691;http://id.worldcat.org/fast/1037841,Q233;Q38833;Q3538,,,
Jews--Morocco--Sefrou--19th century,0,a--z--z--y,,Jews;Morocco--Sefrou;Nineteenth century,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1225360;http://id.worldcat.org/fast/1037841,Q323;Q75318;Q3538,,,
Jews--Morocco--Rabat--19th century,0,a--z--z--y,,Jews;Morocco--Rabat;Nineteenth century,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1209103;http://id.worldcat.org/fast/1037841,Q323;Q75307;Q3538,,,
Jews--Morocco--Marrakech--19th century,0,a--z--z--y,,Jews;Morocco--Marrakech;Nineteenth century,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1211165;http://id.worldcat.org/fast/1037841,Q323;Q75319;Q3538,,,
Jews--Morocco--Salé--19th century,0,a--z--z--y,,Jews;Morocco--Salé;Nineteenth century,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1217341;http://id.worldcat.org/fast/1037841,Q323;Q75305;Q3538,,,
Jews--Morocco--Debdou--19th century,0,a--z--z--y,,Jews;Morocco--Debdou;Nineteenth century,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1267747;http://id.worldcat.org/fast/1037841,Q323;Q75265;Q3538,,,
Diaries--Religious aspects--19th century,0,a--x--y,,Diaries;Nineteenth century,http://id.worldcat.org/fast/892657;http://id.worldcat.org/fast/1037841,Q48871;Q3538,,,
Jewish families--19th century,0,a--y,,Jewish families;Nineteenth century,http://id.worldcat.org/fast/982765;http://id.worldcat.org/fast/1037841,Q74974;Q3538,,,
Jews--Croatia--Dubrovnik--19th century,0,a--z--z--y,,Jews;Croatia--Dubrovnik;Nineteenth century,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1208734;http://id.worldcat.org/fast/1037841,Q323;Q75293;Q3538,,,
Torah scrolls--Dedication--Early works to 1800,0,a--x--v,,Torah scrolls--Dedication;Early works,http://id.worldcat.org/fast/1152715;http://id.worldcat.org/fast/1411636,Q75454;Q300,,,
Power of attorney (Jewish law)--19th century,0,a--y,,Power of attorney (Jewish law);Nineteenth century,http://id.worldcat.org/fast/1074264;http://id.worldcat.org/fast/1037841,Q75162;Q3538,,,
Marbits Torah--Early works to 1800,0,a--v,,Marbits Torah;Early works,http://id.worldcat.org/fast/1008957;http://id.worldcat.org/fast/1411636,Q75058;Q300,,,
Rabbis--Ordination--Early works to 1800,0,a--x--v,,Rabbis--Ordination;Early works,http://id.worldcat.org/fast/1086324;http://id.worldcat.org/fast/1411636,Q75451;Q300,,,
Jews--Iraq--Baghdad--Early works to 1800,0,a--z--z--v,,Jews;Iraq--Baghdad;Early works,http://id.worldcat.org/fast/983135;http://id.worldcat.org/fast/1207444;http://id.worldcat.org/fast/1411636,Q323;Q48745;Q300,,,
Jewish deeds--Early works to 1800,0,a--v,,Jewish deeds;Early works,http://id.worldcat.org/fast/1730491;http://id.worldcat.org/fast/1411636,Q75059;Q300,,,
Contracts (Jewish law)--Early works to 1800,0,a--v,,Contracts (Jewish law);Early works,http://id.worldcat.org/fast/877009;http://id.worldcat.org/fast/1411636,Q75060;Q300,,,
