name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Wandel, Sigurd, 1875-2014",former owner,,,human,Sigurd Wandel,Q18716256,DSNAME1220,Q6099,,,,
Petrus Comestor,author,,,,,,,,human,Petrus Comestor,Q785250,Q1586
Hieronymus,author,,,,,,,,human,Jerome,Q44248,Q898
Peter the Chanter,author,,,,,,,,human,Peter Cantor,Q1231596,Q41448
Gregorius M.,author,,,human,Gregory I,Q42827,DSNAME276,Q889,,,,
Gratianus,author,,,human,Gratian,Q549041,DSNAME1999,Q1588,,,,
Augustine,author,,,,,,,,human,Augustine of Hippo,Q8018,Q1515
Haimo of Halberstadt,author,,,human,Haymo of Halberstadt,Q472833,DSNAME682,Q1917,,,,
Isidorus Hisp.,author,,,human,Isidore of Seville,Q166876,DSNAME155,Q428,,,,
Boethius,author,,,,,,,,human,Boethius,Q102851,Q398
"Benedict, St.",author,,,human,Benedict of Nursia,Q44265,DSNAME1188,Q6067,,,,
Peter the Lombard,author,,,human,Peter Lombard,Q315347,DSNAME307,Q1124,,,,
Iohannes de Ianna,author,,,,,,,,,,,
Job de Garlandia,author,,,human,John of Garland,Q1229700,DSNAME688,Q1923,,,,
"Wandel, Gudrun, 1882-1976",former owner,,,,,,,,human,Gudrun Wandel,Q120442590,Q6098
Priscianus,author,,,human,Priscian,Q356433,DSNAME391,Q1555,,,,
