title_as_recorded,titles-cluster,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
al-ʻĀqibah fī dhikr al-mawt,,العاقبة في ذكر الموت,ʻĀqibah,عاقبة,,,ʻĀqibah,Q27545
Collection of works on Arabic grammar,,,,,,,Arabic grammatical text,Q27591
Kitāb al-mutawassiṭāt,,كتاب المتوسطات,,,,,Kitāb al-mutawassiṭāt,Q27804
Rubāʻīyāt-i ʻUmar Khayyam,Rubāʻīyāt-i ʻUmar Khayyam,رباعيات عمر خيام,Rubāʻīyāt,,Rubaiyat,Q27770,,
Kitāb sharḥ al-Jurrūmīyah,,كتاب شرح الجرومية,Sharḥ al-Ajurrūmīyah,شرح الاجرومية,,,Sharḥ al-Ajurrūmīyah,Q27808
Mukhtaṣar al-maʻānī fī al-balāghah,,مختصر المعاني في البلاغة,,,,,Mukhtaṣar al-maʻānī fī al-balāghah,Q27623
Kitāb fī masāʼil fiqhīyah,,كتاب في مسائل فقهية,,,,,Kitāb fī masāʼil fiqhīyah,Q27721
Vaṣiyyet,,وصيت,Vasiyyetname,,,,Vasiyetname,Q7538
Jāmiʻ al-ṣaḥīḥ,,جامع الصحيح,Jāmiʻ al-ṣaḥīḥ,جامع الصحيح,,,Jāmi al-ṣaḥīḥ,Q12187
Collection of works on astronomy and astronomical instruments,,,,,,,Astronomical texts,Q3129
Āghāz-i kitāb-i Vīsparad bā maʻnī-i Fārsī tarjumah kardah mīnavīsam,,آغاز کتاب وىسپرد با معنى فارسى ترجمه کرده مىنوىسم,,,,,Āghāz-i kitāb-i Vīsparad bā maʻnī-i Fārsī tarjumah kardah mīnavīsam,Q27774
Kitāb Dīwān Miṣr,,كتاب ديوان مصر,,,,,Kitāb Dīwān Miṣr,Q27528
Sabʻ samavāt li-sirr-i samāʼī,,سبع سموات لسر سمائی,,,,,Sabʻ samavāt li-sirr-i samāʼī,Q27753
ʻIlm al-badīʻ,,علم البديع,,,,,ʻIlm al-badīʻ,Q27633
Tadhkirah,,تذكرة,Tadhkirat ūlī al-albāb wa-al-jāmiʻ lil-ʻajab al-ʻujāb,تذكرة ولي الالباب والجامع للعجب العجاب,,,Tadhkirat ūlī al-albāb wa-al-jāmiʻ lil-ʻajab al-ʻujāb,Q27652
Kitāb-i aqdas,,کتاب اقدس,Kitāb al-aqdas,كتاب الاقدس,,,Kitāb al-aqdas,Q27570
Kitāb-i usṭurlāb az Muḥaqqiq-i Ṭūsī,,کتاب اسطرلاب از محقق طوسى,Bīst bāb dar maʻrifat-i usṭurlāb,بيست باب در معرفت اسطرلاب,,,Bīst bāb dar maʻrifat-i usṭurlāb,Q27638
Kitāb al-adʻiyah,,كتاب الادعية,,,,,Kitāb al-adʻiyah,Q27650
Risālat al-waẓāʼif al-wāfiyah,,رسالة الوظائف الوافية,Waẓāʼif al-wāfiyah,وظائف الوافية,,,Waẓāʼif al-wāfiyah,Q27645
al-Shifāʼ al-sharīf,,الشفاء الشريف,Shifāʼ fī taʻrīf ḥuqūq al-Muṣṭafá,شفاء في تعريف حقوق المصطفى,,,Al-Shifa bi Ta'rif Huquq al-Mustafa,Q3687
Gulistān,,گلستان,,,,,Gulistan,Q3702
al-Mulāḥaẓah al-intiqādiyah fī al-sīrah al-Muḥammadīyah,,الملاحظة الانتقادية في السيرة المحمدية,,,,,al-Mulāḥaẓah al-intiqādiyah fī al-sīrah al-Muḥammadīyah,Q27678
"Yasna, with the Sanskrit translation of Neryosangh","Yasna, with the Sanskrit translation of Neryosangh",,Avesta,,Yasna;Avesta,Q75937;Q27724,,
Hāz̲ā kitāb Sirāj al-munīr. ʻAqāyid al-nisā,,هذا کتاب سراج المنير. عقايد النسا,,,,,ʻAqāyid al-nisā,Q27832
Līlāvatī,,لیلاوتى,Līlāvatī,,,,Līlāvatī,Q27705
Kitāb-i Surkhāb dar ʻilm-i raml,,کتاب سرخاب در علم رمل,,,,,Kitāb-i Surkhāb dar ʻilm-i raml,Q27839
Sharḥ ashkāl al-taʼsīs,,شرح أشكال التأسيس,,,,,Sharḥ ashkāl al-taʼsīs,Q27615
Kitāb al-kurah al-mutaḥarrikah /,,كتاب الكرة المتحركة /,De sphaera quae movetur,,,,De sphaera quae movetur,Q27756
Sharḥ-i ʻaṣā-yi mukhtariʻ-i humāyūn pādshāh. Ganj-i nahān khānah-i ḥayy-i qadīm,,شرح عصاى مخترع همایون پادشاه. گنج نهان خانه حي قدیم,,,,,Sharḥ-i ʻaṣā-yi mukhtariʻ-i humāyūn pādshāh. Ganj-i nahān khānah-i ḥayy-i qadīm,Q27560
