title_as_recorded,titles-cluster,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Dalāʼil al-khayrāt wa-shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-Nabī al-mukhtār,Dalāʼil al-khayrāt wa-shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-Nabī al-mukhtār,دلائل الخيرات وشوارق الانوار في ذكر الصلاة على النبي المختار,Dalāʼil al-khayrāt,دلائل الخيرات,Dala'il al-Khayrat,Q18568,,
Masāyil-i jabr va muqābalah,,مسايل جبر و مقابله,,,,,Masāyil-i jabr va muqābalah,Q27577
Collection of Persian poetry,,,,,,,Persian poetry,Q18530
Ṣināʻat al-jabr wa-al-muqābalah,,صناعة الجبر والمقابلة,Risālah fī al-barāhīn ʻalá masāʼil al-jabr wa-al-muqābalah,رسالة في البراهين على مسائل الجبر والمقابلة,,,Risālah fī al-barāhīn ʻalá masāʼil al-jabr wa-al-muqābalah,Q27843
Collection of prayers,,,,,,,Prayers,Q798
Collection of Sufi writings and prayers,,,,,,,Sufi texts,Q27797
Zīj-i sulṭānī,,زيج سلطانى,,,,,Zīj-i sulṭānī,Q27851
Ottoman Turkish expansion on al-Būṣīrī's qaṣīdat al-Burdah,,,,,,,Ottoman Turkish expansion on qaṣīdat al-Burdah,Q27824
Mavāhib-i ilāhī,,مواهب الهى,Mavāhib-i ilāhī dar tārīkh-i Āl-i Muẓaffar,مواهب الاهى در تاريخ آل مظفر,,,Mavāhib-i ilāhī dar tārīkh-i Āl-i Muẓaffar,Q27707
al-Kāfiyah,,الكافية,Kāfiyah,كافية,,,Kāfiyah,Q27563
Prayer in the form of praise of the Prophet,,,,,,,Prayer,Q20014
İlmihâl,,علم حال,,,,,İlmihâl,Q27779
al-Jabr wa al-muqābalah,,الجبر والمقابلة,,,,,al-Jabr wa al-muqābalah,Q27593
al-Niṣf al-thānī min juzʼ aḥad ʻashar,,النصف الثاني من جزء احد عشر,Qurʼan,قرآن,,,Qurʼan,Q3697
al-Juzʼ al-awwal,,الجزء الاول,Qurʼan,قرآن,,,Qurʼan,Q3697
al-Juzʼ al-sādis ʻashar,,الجزء السادس عشر,Qurʼan,قرآن,,,Qurʼan,Q3697
al-Juzʼ al-khāmis ʻashar min al-rabʻah al-sharīfah,,الجزء الخامس عشر من الربعة الشريفة,Qurʼan,قرآن,,,Qurʼan,Q3697
al-Juzʼ al-khāmis wa-al-ʻishrūn,,الجزء الخامس والعشرون,Qurʼan,قرآن,,,Qurʼan,Q3697
al-Juzʼ al-rābiʻ,,الجزء الرابع,Qurʼan,قرآن,,,Qurʼan,Q3697
al-Juzʼ al-tāsiʻ ʻashar,,الجزء التاسع عشر,Qurʼan,قرآن,,,Qurʼan,Q3697
al-Juzʼ al-tāsiʻ,,الجزء التاسع,Qurʼan,قرآن,,,Qurʼan,Q3697
al-Muqaddimah al-Ghaznawīyah,,المقدمة الغزنوية,,,,,al-Muqaddimah al-Ghaznawīyah,Q27630
Dalāʼil al-khayrāt wa shawāriq al-anwār fī dhikr al-ṣalāh ʻalá al-nabī al-mukhtār,,دلائل الخيرات و شوارق الانوار في ذكر الصلاة على النبي المختار,Dalāʼil al-khayrāt,دلائل الخيرات,,,Dala'il al-Khayrat,Q18568
al-Juzʼ al-sābiʻ wa-al-ʻishrūn,,الجزء السابع والعشرون,Qurʼan,قرآن,,,Qurʼan,Q3697
Baḥr al-ʻUyūn,,بحر العیون,,,,,Baḥr al-ʻUyūn,Q27616
Uṣūl al-handasah wa-al-ḥisāb. Fī bayān al-murabbaʻāt,,اصول الهندسة والحساب. في بيان المربعات,Elements,,,,Elements,Q3121
al-Mujallad al-rābiʻ min al-mathnawī al-maʻnawī al-hādī ilá ṣirāṭ al-sawī,,المجلّد الرابع من المثنوي المعنوي الهادي الى صراط السوي,Mas̲navī,مثنوى,,,Masnavi,Q27606
al-Juzʼ al-thāmin wa-al-ʻishrūn,,الجزء الثامن والعشرون,Qurʼan,قرآن,,,Qurʼan,Q3697
Dīvān,,ديوان,,,,,Diwan,Q11912
Leaf from Makhzan al-asrār,,,Makhzan al-asrār,مخزن الاسرار,,,Makhzan al-asrār,Q27799
Sharḥ-i Nahj al-balāghah,,شرح فارسى نهج البلاغه,Sharḥ Nahj al-balāghah,شرح نهج البلاغة,,,Sharh Nahj al-Balagha,Q27661
Nuskhat al-sijill alladhī wujida muʻallaqan ʻalá al-mashāhid fī ghaybat Mawlānā al-Imām al-Ḥākim ...,,نسخة السجل الذي وجد معلقاً على المشاهد في غيبة مولانا الامام الحاكم,,,,,Nuskhat al-sijill alladhī wujida muʻallaqan ʻalá al-mashāhid fī ghaybat Mawlānā al-Imām al-Ḥākim,Q27830
al-Juzʼ al-thāmin,,الجزء الثامن,Qurʼan,قرآن,,,Qurʼan,Q3697
al-Juzʼ al-rābiʻ ʻashar,,الجزء الرابع عشر,Qurʼan,قرآن,,,Qurʼan,Q3697
Sharḥ-i Ḥāfiẓ,,شرح حافظ,,,,,Commentary on Hafez,Q27590
Dar maʻrifat-i taqvīm mushtamil bar sī faṣl,,در معرفت تقويم مشتمل بر سى فصل,Sī faṣl,سى فصل,,,Sī faṣl,Q27750
ʻAjīb al-masāʼil. [Risālah dar hayʼat,,عجيب المسائل. رسالة در هيئت,,,,,ʻAjīb al-masāʼil,Q27722
Ghāyat al-murād fī wifq al-aʻdād,,غاية المراد في وفق الاعداد,,,,,Ghāyat al-murād fī wifq al-aʻdād,Q27752
Majmūʻah,,مجموعة,,,,,Majmūʻah,Q18453
al-Maqāmāt,,المقامات,,,,,al-Maqāmāt,Q27829
Hādhihi Fawāʼid mutanawwiʻat al-mawāʼid,,هذه فوائد متنوعة الموائد,,,,,Fawāʼid mutanawwiʻat al-mawāʼid,Q27708
Hādhā kitāb qiṣaṣ al-anbiyāʼ,,هذا كتاب قصص الانبياء,,,,,Qisas al-anbiya,Q27745
Persian calligraphy and illustration album,,,,,,,Persian calligraphy,Q18587
Hādhā al-kitāb Radd ʻalá ahl al-dhimmah wa-man tabaʻahum /,Hādhā al-kitāb Radd ʻalá ahl al-dhimmah wa-man tabaʻahum,هذا الكتاب رد على اهل الذمة ومن تبعهم /,,,,,,
Kitāb al-Majisṭī,,كتاب المجسطي,Almagest,,,,Almagest,Q354
