title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Biblia Sacra Hebraica; manuscript,,Bible,,Hebrew Bible,Q76001,,
Sefer Torah,ספר תורה,Bible,,Torah,Q42434,,
Ketubah; Florence,כתובה,Marriage contract,כתובה,Ketubah,Q76000,,
Ketubah; Damascus,כתובה,Marriage contract,כתובה,Ketubah,Q76000,,
Ketubah; Venicia,כתובה,Marriage contract,כתובה,Ketubah,Q76000,,
Ḳovets tefilot; ʻim kaṿanot al derekh ha-Ari,קובץ תפילות,Siddur,תפילה,Tefilot,Q75987,,
Hakdamot mi-sefer ha-kaṿanot /,הקדמות לספר הכוונות,,,Hebrew texts,Q44123,,
Ḥidush ʻal sefer ha-kaṿanot shel ha-Ari /,חידוש על ספר הכוונות של הארי,,,Kabbalistic texts,Q39650,,
Perush ha-shirim shel Shabat; she-ʻasʹah Yitsḥaḳ Luria /,פירוש השירים של שבת,,,Hebrew commentary,Q75988,,
Derushim ʻal pesuke ha-mikra; mi-kabalat ha-Ari,דרושים על פסוקי המקרא,,,Kabbalistic texts,Q39650,,
Perush hagadah shel Pesaḥ; ʻaravit yehudit,פרוש הגדה של פסח,,,Hebrew commentary,Q75988,,
Ḥidushim ʻal ha-Talmud; Berakhot 11-13,חדושים על התלמוד,Talmud (commentaries),תלמוד (פרושים),Talmudic text,Q76002,,
Kitāb al-Baye wa-al-Shirā; ʻAravit Yehudit,כתאב אלביע ואלאשריה,Kitāb al-Shirā wa-al-Baye,,Talmudic text,Q76002,,
"Mekhilta de-Rabi Ishmaʻel; Exodus 16:8-16:14, 17:14-18:1",מכילתא דרבי ישמעאל,Mekhilta of Rabbi Ishmael,"מכילתא דר""י",Torah commentary,Q44107,,
Kitab al mirath,,,,Legal text,Q8041,,
Kitab Matr al asatir /; Samaritan] /,,Asāṫīr,,Asatir,Q76003,,
Tefilah; le-ḥodesh Nisan,תפילה,Prayer book (Samaritan),תפילות (שומרוני),Tefilot,Q75987,,
Tefilah; la-ḥodesh ha-sheviʻi,תפילה,Prayer book (Samaritan),תפילות (שומרוני),Tefilot,Q75987,,
Moʻed ha-Pesaḥ ha-barukh,מועד הפסח הברוך,Prayer book (Samaritan),תפילות (שומרוני),Prayer book;Passover texts,Q1486;Q76004,,
Tselut shesh Shabatot ha-shevuʻot,צלות שש שבתות השבועות,Prayer book (Samaritan),תפילות (שומרוני),Prayer book;Shabbat texts,Q1486;Q76005,,
Tselut shevʻa shavuʻot ṿe-rosh ha-shanah,צלות שבע שבועות וראש השנה,Prayer book (Samaritan),תפילות (שומרוני),Prayer book;Hebrew texts,Q1486;Q44123,,
Tefilot le-shavuʻot,תפילות לשבועות,Prayer book (Samaritan),תפילות (שומרוני),Tefilot,Q75987,,
Moʻed ḥodesh ha-sheviʻi,מועד חדש השביעי,Prayer book (Samaritan),תפילות (שומרוני),Prayer book;Hebrew texts,Q1486;Q44123,,
Relacion delas noticias delos Judios de Cochin /,,,,Travel writings,Q48579,,
Festal epistles of St. Athanasius bishop of Alexandria; Syriac,,,,Epistles,Q1466,,
Story of Mar Zaia and his pupil Mar Tabor; Syriac,,,,Hebrew texts,Q44123,,
Perush ha-tefilot ṿeha-berakhot; ʻal derekh ha-emet /,פירוש התפלות והברכות,,,Tefilot,Q75987,,
Ruaḥ ḥen,רוח חן,,,Hebrew texts,Q44123,,
Ein Ke-Eiloheinu nora atah adir maʻoz,אין כאלהינו נורא אתה אדיר מעוז,Piyyut,פיוט,Piyyutim,Q76006,,
