title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
"Cassiodorus, Historia ecclesiastica, Caput XIV (fragment). Jerome, Epistolae, Epistola IX, Ad Paulam Et Eustochium (fragment)",,,,Historia ecclesiastica;Correspondence of Jerome,Q864;Q38383,,
Catholicon (fragment),,,,Catholicon,Q12729,,
"Oberbayerisches Landrecht (fragment), 158-161, 221-225",,,,Oberbayerisches Landrecht,Q75972,,
"Moralia in Job (fragment) : Pars I, Caput III ; Pars II, Caput XI",,,,Moralia in Job,Q863,,
Missal (fragment),,,,Missal,Q662,,
"Bible with glossa ordinaria, Epistle to the Hebrews VI (fragment)",,,,Bible;Epistle to the Hebrews,Q661;Q20387,,
"Legenda Aurea (fragment), L. De annunciatione dominica ; XIV. De epiphania Domini",,,,Golden Legend,Q7220,,
"Acta Sanctorum (fragment), 23 July",,,,Acta sanctorum,Q44087,,
Materia medica (fragment),,,,Materia medica,Q75980,,
Prayer book(?) (fragment),,,,Prayer book,Q1486,,
"Bible, Ecclesiasticus I (fragment)",,,,Bible;Ecclesiastes,Q661;Q6052,,
"Acta Sanctorum (fragment), 8 January, Vita Severini et Victorini",,,,Acta sanctorum,Q44087,,
"Bible, Tobit II (fragment)",,,,Bible;Book of Tobit,Q661;Q19991,,
"Lectionary, lesson for Palm Sunday",,,,Lectionary,Q663,,
"Bible, Acts II (fragment)",,,,Bible;Acts of the Apostles,Q661;Q6009,,
Sermones (fragment),,,,Sermons,Q1400,,
Liber canonis medicinae (fragment),,,,Canon of Medicine,Q2826,,
Sacramentary(?) (fragment),,,,Sacramentary,Q653,,
"Bible, Judicum (fragment)",,,,Bible;Book of Judges,Q661;Q20416,,
Antiphonal (fragment),,,,Antiphonary,Q654,,
Unidentified chant (fragment),,,,Unidentified,Q38408,,
Gradual (fragment),,,,Gradual,Q1121,,
Sequentiary (fragment),,,,Sequentiary,Q1390,,
Processionale(?) : Ambrosian rite (fragment),,,,Processional,Q1336,,
