File,language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
languages-hebrew.csv,Vocalized Hebrew,,Hebrew,Q9288,Q117,,,
languages-hebrew.csv,heb,,,,,Hebrew,Q9288,Q117
languages-hebrew.csv,"In Hebrew, with annotations in Yiddish",,Hebrew;Yiddish,Q9288;Q8641,Q117;Q74791,,,
languages-hebrew.csv,Vocalized Hebrew and Yiddish,,Hebrew;Yiddish,Q9288;Q8641,Q117;Q74791,,,
languages-hebrew.csv,Vocalized Syriac,,Syriac,Q33538,Q12713,,,
languages-hebrew.csv,Vocalized Arabic and English,,Arabic;English,Q13955;Q1860,Q118;Q109,,,
languages-hebrew.csv,Vocalized Aramaic and Hebrew,,Aramaic;Hebrew,Q28602;Q9288,Q3663;Q117,,,
languages-hebrew.csv,In Hebrew,,,,,Hebrew,Q9288,Q117
languages-hebrew.csv,Unvocalized Hebrew,,Hebrew,Q9288,Q117,,,
languages-hebrew.csv,Vocalized Hebrew and Aramaic,,Hebrew;Aramaic,Q9288;Q28602,Q117;Q3663,,,
languages-hebrew.csv,Vocalized Arabic,,Arabic,Q13955,Q118,,,
languages-hebrew.csv,Vocalized Samaritan Aramaic,,Samaritan Aramaic,Q56612,Q6995,,,
languages-hebrew.csv,Vocalized Spanish,,Spanish,Q1321,Q114,,,
languages-hebrew.csv,Vocalized Hebrew and Italian,,Hebrew;Italian,Q9288;Q652,Q117;Q116,,,
languages-hebrew.csv,Vocalized Hebrew and Ladino,,Hebrew;Judaeo-Spanish,Q9288;Q36196,Q117;Q7217,,,
languages-hebrew.csv,Vocalized Yiddish ans Hebrew,,Yiddish;Hebrew,Q8641;Q9288,Q74791;Q117,,,
languages-hebrew.csv,Vocalized Hebrew an Italian,,Hebrew;Italian,Q9288;Q652,Q117;Q116,,,
languages-hebrew.csv,Vocalized Hebrew and North Eastern Neo-Aramaic,,Hebrew;Northeastern Neo-Aramaic,Q9288;Q2560578,Q117;Q74787,,,
languages-hebrew.csv,Vocalized Hebrew and Judeo-Arabic,,Hebrew;Judeo-Arabic,Q9288;Q37733,Q117;Q38106,,,
languages-hebrew.csv,por,,,,,Portuguese,Q5146,Q38114
languages-hebrew.csv,Vocalized Hebrew and LAdino,,Hebrew;Judaeo-Spanish,Q9288;Q36196,Q117;Q7217,,,
languages-hebrew.csv,Vocalized Italian,,Italian,Q652,Q116,,,
languages-hebrew.csv,ger,,,,,German,Q188,Q112
languages-hebrew.csv,Vocalized Hebrew and English,,Hebrew;English,Q9288;Q1860,Q117;Q109,,,
languages-hebrew.csv,Vocalized Samariten and Arabic,,Samaritan Aramaic;Arabic,Q56612;Q13955,Q6995;Q118,,,
languages-hebrew.csv,Spanish,,,,,Spanish,Q1321,Q114
languages-hebrew.csv,Vocalized Hebrew and Dutch,,Hebrew;Dutch,Q9288;Q7411,Q117;Q793,,,
languages-hebrew.csv,Vocalized Dutch,,Dutch,Q7411,Q793,,,
languages-hebrew.csv,Vocalized Hebrew and Tartar,,Hebrew;Tatar,Q9288;Q25285,Q117;Q74790,,,
languages-hebrew.csv,Vocalized Ladino,,Judaeo-Spanish,Q36196,Q7217,,,
languages-hebrew.csv,ita,,,,,Italian,Q652,Q116
