language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Judeo-Arabic,,,,,Judeo-Arabic,Q37733,Q38106
Judeo-Arabic and Hebrew,,Judeo-Arabic;Hebrew,Q37733;Q9288,Q38106;Q117,,,
Hebrew,,,,,Hebrew,Q9288,Q117
Samaritan,,Samaritan Aramaic,Q56612,Q6995,,,
Hebrew and Judeo-Arabic,,Hebrew;Judeo-Arabic,Q9288;Q37733,Q117;Q38106,,,
Hebrew (vocalized),,,,,Hebrew,Q9288,Q117
Hebrew and Aramaic,,,,,Hebrew;Aramaic,Q9288;Q28602,Q117;Q3663
"Aramaic, Hebrew. Judeo-Arabic",,Aramaic;Hebrew;Judeo-Arabic,Q28602;Q9288;Q37733,Q3663;Q117;Q38106,,,
Aramaic and Judeo-Arabic,,Aramaic;Judeo-Arabic,Q28602;Q37733,Q3663;Q38106,,,
"Turkish, Aramaic, and Hebrew",,Turkish;Aramaic;Hebrew,Q256;Q28602;Q9288,Q4337;Q3663;Q117,,,
Arabic,,,,,Arabic,Q13955,Q118
"Judeo-Italian, Italian, and Hebrew",,Judæo-Italian;Italian;Hebrew,Q1145414;Q652;Q9288,Q74794;Q116;Q117,,,
Samaritan Aramaic,,Samaritan Aramaic,Q56612,Q6995,,,
Judeo-Arabic and Aramaic,,Judeo-Arabic;Aramaic,Q37733;Q28602,Q38106;Q3663,,,
Aramaic and Hebrew,,Aramaic;Hebrew,Q28602;Q9288,Q3663;Q117,,,
In Arabic; later text (from paper re-use) in Hebrew,,Arabic;Hebrew,Q13955;Q9288,Q118;Q117,,,
"Hebrew, Judeo-Arabic, and Arabic",,Hebrew;Judeo-Arabic;Arabic,Q9288;Q37733;Q13955,Q117;Q38106;Q118,,,
Hebrew; postscript in Yiddish,,Hebrew;Yiddish,Q9288;Q8641,Q117;Q74791,,,
"Aramaic and Judeo-Arabic, Hebrew",,Aramaic;Judeo-Arabic;Hebrew,Q28602;Q37733;Q9288,Q3663;Q38106;Q117,,,
Hebrew; introduction in Italian,,,,,Hebrew;Italian,Q9288;Q652,Q117;Q116
In Latin,,,,,Latin,Q397,Q113
Hebrew. Partial vocalization (Tiberian),,Hebrew;Tiberian Hebrew,Q9288;Q2071345,Q117;Q76105,,,
"Judeo-Arabic, Hebrew, and Aramaic",,Judeo-Arabic;Hebrew;Aramaic,Q37733;Q9288;Q28602,Q38106;Q117;Q3663,,,
"Judeo-Arabic, Aramaic, and Hebrew(?)",,Judeo-Arabic;Aramaic;Hebrew,Q37733;Q28602;Q9288,Q38106;Q3663;Q117,,,
sam,,,,,Samaritan Aramaic,Q56612,Q6995
"Hebrew, with occasional notes in Italian (f. 22r, 24v, 26v, 27v, 82v, 83v)",,,,,Hebrew;Italian,Q9288;Q652,Q117;Q116
"Judeo-Arabic, Hebrew, and Arabic",,Judeo-Arabic;Hebrew;Arabic,Q37733;Q9288;Q13955,Q38106;Q117;Q118,,,
"In Hebrew; Targum in Aramaic, translated from the Hebrew",,Hebrew;Aramaic,Q9288;Q28602,Q117;Q3663,,,
Hebrew and Greek,,Hebrew;Greek,Q9288;Q9129,Q117;Q1318,,,
In Hebrew,,,,,Hebrew,Q9288,Q117
"Hebrew, with instructions in Italian",,Hebrew;Italian,Q9288;Q652,Q117;Q116,,,
eng,,,,,English,Q1860,Q109
In Judeo-Arabic,,Judeo-Arabic,Q37733,Q38106,,,
Hebrew and Latin,,,,,Hebrew;Latin,Q9288;Q397,Q117;Q113
Aramaic,,,,,Aramaic,Q28602,Q3663
In Hebrew and Judeo-Malayalam,,Hebrew;Judeo-Malayalam,Q9288;Q56600,Q117;Q76106,,,
Hebrew and Arabic,,Hebrew;Arabic,Q9288;Q13955,Q117;Q118,,,
"Aramaic, Hebrew, and Judeo-Arabic",,Aramaic;Hebrew;Judeo-Arabic,Q28602;Q9288;Q37733,Q3663;Q117;Q38106,,,
Judeo-Arabic and Arabic,,Judeo-Arabic;Arabic,Q37733;Q13955,Q38106;Q118,,,
"Hebrew, with some words of Aramaic",,Hebrew;Aramaic,Q9288;Q28602,Q117;Q3663,,,
"Hebrew, Aramaic, and Judeo-Arabic",,Hebrew;Aramaic;Judeo-Arabic,Q9288;Q28602;Q37733,Q117;Q3663;Q38106,,,
"In Hebrew, with some passages in Judeo-Arabic (f. 4v, 178r-178v)",,Hebrew;Judeo-Arabic,Q9288;Q37733,Q117;Q38106,,,
In Yiddish and Hebrew,,Yiddish;Hebrew,Q8641;Q9288,Q74791;Q117,,,
French,,,,,French,Q150,Q111
In Hebrew (fragments 4 and 5; possible Hebrew palimpsest writing on fragment 3); additional Arabic text (fragments 1-3),,Hebrew;Arabic,Q9288;Q13955,Q117;Q118,,,
Hebrew with Arabic,,Hebrew;Arabic,Q9288;Q13955,Q117;Q118,,,
"In Yiddish with Hebrew title, and a few words in French and German",,Yiddish;Hebrew;French;German,Q8641;Q9288;Q150;Q188,Q74791;Q117;Q111;Q112,,,
"Hebrew, with a few words in Italian in the genealogy portion on the rear paste-down",,Hebrew;Italian,Q9288;Q652,Q117;Q116,,,
"Aramaic, Hebrew, and Judeo-Tajik",,Aramaic;Hebrew;Bukharian,Q28602;Q9288;Q56469,Q3663;Q117;Q76104,,,
Italian,,,,,Italian,Q652,Q116
Ladino,,,,,Judaeo-Spanish,Q36196,Q7217
Latin,,,,,Latin,Q397,Q113
In Hebrew and Judeo-Arabic,,Hebrew;Judeo-Arabic,Q9288;Q37733,Q117;Q38106,,,
heb,,,,,Hebrew,Q9288,Q117
"Portuguese, with occasional words, phrases, or brief passages in Latin",,Portuguese;Latin,Q5146;Q397,Q38114;Q113,,,
"Hebrew, Judeo-Arabic, Arabic",,Hebrew;Judeo-Arabic;Arabic,Q9288;Q37733;Q13955,Q117;Q38106;Q118,,,
Hebrew (Samaritan charachters; derived from the Paleo-Hebrew alphabet),,Hebrew;Samaritan Hebrew;Paleo-Hebrew,Q9288;Q56502;Q440608,Q117;Q76107;Q76108,,,
ara,,,,,Arabic,Q13955,Q118
