title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Crispi Sallustii de Catheli[n]e co[n]jurac[i]o[n]e liber; Jugurtinum bellum ei[us]de[m,,Bellum Catilinae,,Bellum Catilinae,Q17541,,
Horae de Sancta Katherina,,,,,,Book of hours,Q795
Permission to Pedro de Anaya to erect a house,,,,,,Permission,Q7017
Ledger of Gerardi accounts,,,,,,Ledger,Q5484
Collection of hymns and antiphons,,,,,,Hymns;Antiphons,Q3715;Q7553
Com[m]entarius cum q[uae]stionibus in u[nive]rsam Ar[i]s[totel]is phi[losophi]am naturalem,,,,Commentary on Aristotle,Q3120,,
Basis grammatice,,,,,,Basis grammatice,Q39217
Summa dictaminis] ...[etc.,,,,Summa dictaminis,Q7267,,
Metaphysics,,Metaphysics,,,,Metaphysics (Aristotle),Q361
al-Kullīyāt,الكليات,Qānūn fī al-ṭibb,قانون في الطب,,,Canon of Medicine,Q2826
Manuscript leaf from expense records,,,,,,Expense records,Q39594
Perpetual calendar with Metonic cycle,,,,,,Calendar,Q1122
Ḍawʼ al-sirāj,ضوء السراج,,,,,Ḍawʼ al-sirāj,Q3114
Pope Gregory XIV bull,,,,,,Bull,Q1362
Don Antonio Bartoli petition,,,,,,Petition,Q8048
Hybrid book of hours; use of Rome,,,,Book of hours,Q795,,
Mercantia notarial document,,,,,,Notarial document,Q5065
Documents of the town of Châtenois,,,,,,Document,Q8301
Selections from the Ḥadīth,,,,,,Hadith,Q3679
Antonio Maria d'Enea di Giacomo Todeschini Piccolomini transcript of emancipation,,,,,,Transcript of emancipation,Q8178
Thesaurus pauperum ... [etc.,,,,Thesaurus pauperum,Q348,,
Z̲akhīrah-ʹi Khvārazmshāhī,ذخيره‌ خوارزم‌شاهى,,,,,Zakhireye Khwarazmshahi,Q40055
Antonio Cocchi Donati will,,,,,,Will,Q1422
Benedictiones episcopales] ... [etc.,,,,Benedictiones episcopales,Q5062,,
Ledger of Medici debtors and creditors and memoranda,,,,,,Ledger,Q5484
"Executoria a pedim[iento; de Juan Ximenez de Ang[ul]o, vezino de la ciudad de Sancto Domingo de la Calçada",,,,Legal text,Q8041,,
Book of hours; use of Rouen,,,,,,Book of hours,Q795
Domenico Ruffaldi and Jacopo de Buralis power of attorney,,,,,,Power of attorney,Q8176
Payment request,,,,,,Request,Q8293
Lumen [con]fessorum,,,,Lumen confessorum,Q5082,,
Giovanni di Urbano Piccolomini del Testa estate arbitration,,,,,,Arbitration,Q8181
Collection of notarial documents,,,,,,Notarial documents,Q5065
Sebastiano Benivieni will,,,,,,Will,Q1422
Filza Xma segnata con la lettera K: come apparisce al suo estratto sotto: n. 344,,,,,,Filza Xma segnata,Q8187
Instructions to Nicolaus Theupulo,,,,,,Instructions,Q5044
Curia Romana proclamation,,,,,,Proclamation,Q8064
Aurora,,,,,,Aurora,Q7839
Nado de Tolomeo assumption of guardianship,,,,,,Assumption of guardianship,Q8039
Malefitzsachen veindlicher Bekhanntnusser ingefangen den 30 Maii anno 1572 ... [etc.,,,,Malefitzsachen veindlicher Bekhanntnusser,Q5016,,
al-Qāmūs al-muḥīṭ,القاموس المحيط,,,,,al-Qāmūs al-muḥīṭ,Q3110
Ghita Gabrielli power of attorney,,,,,,Power of attorney,Q8176
Liber ethimologiarum,,Etymologiae,,,,Etymologiae,Q359
Francesco Armaiolo power of attorney,,,,,,Power of attorney,Q8176
Medical miscellany,,,,,,Medical texts,Q817
Causae juridicae,,,,,,Causae juridicae,Q7004
Piero di Binduccio power of attorney,,,,,,Power of attorney,Q8176
Book of hours; use of Metz,,,,Book of hours,Q795,,
Vitae episcoporum et patriarcharum aquileiensium,,,,,,Vitae episcoporum et patriarcharum aquileiensium,Q7849
Italian religious miscellany,,,,,,Religious texts,Q5037
Provinciale secundum provincias,,,,,,Provinciale secundum provincias,Q7556
Account book,,,,,,Account book,Q1387
Taxe cancellarie apostolice,,,,,,Taxes,Q3705
Questiones logicales ... [etc.,,,,Text on logic,Q20450,,
Liber tastharium domini Batide Rolandi et Polafoli,,,,,,Liber tastharium,Q4347
Declaratorio sopra la regola del padre nostro sancto Benedet[t]o ... [etc.,,,,Rule of Saint Benedict,Q39528,,
Girolamo Piccolomini appointment,,,,,,Appointment,Q8180
Taddea Salamon will,,,,,,Will,Q1422
Tax payment receipt,,,,,,Taxes,Q3705
Sirr al-asrār,سر الاسرار,Secretum secretorum,,,,Secretum Secretorum,Q3153
Commentaria ad Rhetoricam Ciceronis,,,,,,Explanationes in Ciceronis Rhetoricam,Q7031
De re[publi]ca Veneta /,,,,De republica Veneta,Q7856,,
Miscellany of scientific treatises,,,,,,Scientific texts,Q7521
Maḥazor minhag Ashkenaz le-Yamim ha-noraʼim ule-Sukot,מחזור מנהג אשכנז לימים הנוראים ולסוכות,Maḥzor,מחזור,,,Maḥzor,Q3712
Duo dialogi de philosophia morali,,,,,,Duo dialogi de philosophia morali,Q7558
Lists of names,,,,,,List,Q3116
Bishop Pietro Flores document,,,,,,Ecclesiastical text,Q8055
Algorismus ... [etc.,,,,Algorismus,Q352,,
Carta executoria de hidalguia a pedimiento; de Johan Garcia y la Puente de Mora,,,,Carta ejecutoria,Q3718,,
Carretto family papers,,,,,,Family documents,Q6997
Benedetto degli Armaleoni power of attorney,,,,,,Power of attorney,Q8176
"Roman de Troie, fragment",,Roman de Troie,,,,Roman de Troie,Q7804
Il Genesi,,,,,,Book of Genesis,Q7274
Anglezarke indenture,,,,,,Indenture,Q8388
Buonanno de' Malecarni power of attorney,,,,,,Power of attorney,Q8176
Alamanno Taviani power of attorney,,,,,,Power of attorney,Q8176
Liber Rabani Anglici Horroscopo intitulatus translatus de Hebraico in Latinum a Dandalo Ylardensi ad instantiam abbatis P. de Visula [... etc.,,,,Liber Rabani Anglici Horroscopo intitulatus,Q5019,,
Summa,,,,,,Summa,Q7560
Dos discursos de la cifra,,,,,,Speeches,Q3131
Notarial document concerning sale of horses,,,,,,Notarial document,Q5065
Kitāb al-Siyāsah al-sharʻīyah al-musammá tasʹhīl al-naẓar wa-taʻjīl al-ẓafar,كتاب السياسة الشرعية المسمى تسهيل النظر وتعجيل الظفر,Tasʹhīl al-naẓar wa-taʻjīl al-ẓafar,تسهيل النظر وتعجيل الظفر,,,Tasʹhīl al-naẓar wa-taʻjīl al-ẓafar,Q3134
Camera Apostolica document,,,,,,Ecclesiastical text,Q8055
"Miscellany of theological, devotional and liturgical works",,,,,,Religious texts,Q5037
Concini family papers,,,,,,Family documents,Q6997
Sangalletti family accounts,,,,,,Family documents,Q6997
Processional; Dominican use,,,,Processional,Q1336,,
Notarial document,,,,,,Notarial document,Q5065
André Blondet agreement,,,,,,Agreement,Q7276
Yesod ʻolam,,,,,,Yesod ʻolam,Q3710
Giannino Minuzio deed of sale,,,,,,Deed,Q1319
"Reports, letters, discourses and treaties",,,,,,Report;Letters;Discourses;Treaties,Q7243;Q5068;Q7559;Q7563
Blancandin et l'Orgueilleuse d'Amour,,Blancandin,,,,Blancandin,Q7861
"Carta ex[ecutoria] de hidalguia a pedimi[ento; de Alo[n]so Gayta[n] d[e] Cuenca Truxillo, vezino de Xeres d[e] la Frontera",,,,Carta ejecutoria,Q3718,,
Agreement pertaining to the rents and privileges of the Canons Regular of Urgel,,,,,,Agreement,Q7276
Pupilla oculi,,,,,,Pupilla oculi,Q7827
"Draft of a dispatch to Ramon de Cordova, Viceroy of Sicily",,,,,,Dispatch,Q7016
Privilegia et libertates,,,,,,Privileges,Q4353
Libellus super electionibus faciendis et earum ordinandis,,,,,,Libellus super electionibus faciendis et earum ordinandis,Q4356
Giovanni de' Medici power of attorney,,,,,,Power of attorney,Q8176
"Del esta[tu]to Toledano, i çierta apologia",,,,Legal text,Q8041,,
L'introduttione di Pietro Magno nell' antica republica Romana,,,,,,L'introduttione di Pietro Magno nell' antica republica Romana,Q7255
Liber ethicorum Aristotelis,,,,,,Nicomachean ethics,Q369
Notebook of Seccrani debtors and creditors,,,,,,Notebook,Q5488
Feudal rents,,,,,,Rent,Q5029
Algorismus; Tractatum de sphaera,,,,Algorismus,Q352,,
Compendium religiosi vivendi,,,,,,Compendium religiosi vivendi,Q7545
Copies of documents pertaining to the Ospedale della Misericordia in Lucca,,,,,,Document,Q8301
Kitāb-i Advār,کتاب ادوار,Adwār,ادوار,,,Adwār,Q365
Hybrid compilation of Seneca's tragedies and scholarly apparatus,,,,Works of Seneca,Q76634,,
Regensburg indulgence,,,,,,Indulgence,Q8174
Pesiḳta rabata,פסיקתא רבתא,Pesikta rabbati,פסיקתא רבתי,,,Pesikta rabbati,Q3675
"Der Bischoff zue Cöllen, den Maleuolis vnd bellenden Hundtenn herwieder... [etc.",,,,Poetry,Q1330,,
Biblia sacra manuscripta,,Bible,,,,Bible,Q661
Decreto di banco feneratitio,,,,,,Decree,Q8177
Fazio de Piccolomini claim,,,,,,Claim,Q8184
Ledger of Concini receipts,,,,,,Ledger,Q5484
"Trattato delle proportioni et proportionalità; Dialogo sopra la particolare dichiaratione del giuoco di Pitagora inter locutori Carlo Strozzi, Cosimo Rucellai, et Iacopo Vettori",,,,Trattato delle proportioni et proportionalità,Q40052,,
Sharḥ Jighmīnī fī fann al-hayʼah,شرح جغميني في فن الهيئه,Sharḥ al-Jaghmīnī,شرح الجغميني,,,Sharḥ al-Jaghmīnī,Q3108
Questions on Aristotle's Physics,,,,,,Commentary on Aristotle,Q3120
Fabrizio Celleri will,,,,,,Will,Q1422
