title_as_recorded,title_as_recorded_agr,QID,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Jātakālaṅkāra,जातकालङ्कार,,,,Jātakālaṅkāra,Q27828,,
Dānacandrikā,दानचन्द्रिका,,,,Hindu religious law,Q76769,,
Mārgaśīrṣamāhātmya,मार्गशीर्षमाहात्म्य,,Puranas,,,,Puranas,Q27588
Itihāsasamuccayabahulāvyāghrasaṃvādasamāptamiti,इतिहाससमुच्चयबहुलाव्याघ्रसंवादसमाप्तमिति,,Itihāsasamuccaya,इतिहाससमुच्चय,,,Itihāsasamuccaya,Q27617
Jātakālaṅkāravartma,जातकालङ्कार,Q27828,,,Jātakālaṅkāra,Q27828,,
Chandas,छन्दस्,,,,Chandas,Q76776,,
Mahādaśāntardaśāvidaśopadaśāphala,महादशान्तर्दशाविदशोपदशाफल,,,,Astrological text,Q20378,,
Śāntyupaniṣad,शान्त्युपनिषद्,,,,Upanishads,Q27188,,
Aṣṭottaraśatagaṇapatināmāvali,अष्टोत्तरशतगणपतिनामावलि,,,,Mantras,Q76777,,
Pavitreṣṭiprayoga,पवित्रेष्टिप्रयोग,,,,Hindu ritual text,Q76765,,
Satyanārāyaṇavratakathā,सत्यनारायणव्रतकथा,,Itihāsasamuccaya,,,,Itihāsasamuccaya,Q27617
Ekādaśābhāgavataprāraṃbhaḥ śrīrāmajayarāmajayarāma,एकादशाभागवतप्रारंभः श्रीरामजयरामजयराम,,Puranas,पुराण,,,Puranas,Q27588
Trader's list,,,,,,,List,Q3116
Śivaprāsādapiṇḍikā pratiṣṭhāpaddhati,शिवप्रासादपिण्डिका प्रतिष्ठापद्धति,,,,Hindu religious manual,Q76774,,
Vāgbhūṣanakāvya,वाग्भूषनकाव्य,,,,Rhetoric text,Q54646,,
Māghamāhātmya,माघमाहात्म्य,,Puranas,,,,Puranas,Q27588
Akulāgama mahātantra yogasārasamuccaya,अकुलागम महातन्त्र योगसारसमुच्चय,,Tantras,,,,Tantras,Q27776
Vibhaktaya,विभक्ति,,,,Grammatical text,Q6010,,
Puruṣasūktabhāṣya,पुरुषसूक्तभाष्य,,R̥gvedabhāṣyabhūmikā,,,,R̥gvedabhāṣyabhūmikā,Q27598
Prauḍhmanoramā,प्रौढ्मनोरमा,Q27572,,,Prauḍhamanoramā,Q27572,,
Śrīśrīdharasvāmīviracitāyāṃ Śrībhāgavatabhāvārthadīpikāyāṃ ṭīkāyāṃ ṣaṣṭaskandhe ekoniviṃśo'dhyāyaḥ,श्रीश्रीधरस्वामीविरचितायां श्रीभागतभावार्थदीपिकायां टीकायां षष्टस्कन्धे एकोनविंशो 'ध्यायः,,Puranas,पुराण,,,Puranas,Q27588
Prasthānabheda,प्रस्थानभेद,,,,,,Prasthānabheda,Q39689
Aparokṣānubhūti,अपरोक्षानुभूति,,,,Aparokṣānubhūti,Q27595,,
Rudrabhāṣya,रुद्रभाष्य,,,,Vedic text,Q76773,,
Brāhmaṇa,,,,,Brahmanas,Q27806,,
Prastāraprabhākaragrantha,प्रस्तारप्रभाकरग्रन्थ,,,,Astrological text,Q20378,,
Rāmatāpanyupaniṣad,रामतापन्युपनिषद्,,,,Upanishads,Q27188,,
Lalitāsahasranāmāvali,ललितासहस्रनामावलि,,,,Hindu religious text,Q76775,,
Naiṣadha,नैषध,,Naiṣadhīyacarita,,,,Naishadha Charita,Q27547
Khaṇḍakhaṇḍanakhādya,खण्डखण्डनखाद्य,,,,Philosophical text,Q5996,,
Vratodyāpanakaumudī,व्रतोद्यापनकौमुदी,,,,Mantras,Q76777,,
Aduḥkhanavamīvratakathā,अदुःखनवमीव्रतकथा,Q27588,,,Puranas,Q27588,,
Keśvapaddhati udāharaṇa,केशवपद्धति उदाहरण,,,,Astrological text,Q20378,,
Sītācaraṇacāmaranāmastotra,सीताचरणचामरनामस्तोत्र,,,,Hindu text,Q76770,,
Bhagavatsaṃdhyā,भगवत्संध्या,,,,Mantras,Q76777,,
Saṃjīvanī,संजीवनी,,Sañjīvanī (Meghadūta),,,,Sañjīvanī (Meghadūta),Q27627
Śāntipāṭha,शान्तिपाठ,,,,Vedic text,Q76773,,
