title_as_recorded,title_as_recorded_agr,QID,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Veṇidānavidhi,वेणिदानविधि,,,,,,,
Mahimnastotra,महिम्नस्तोत्र,Q27599,,,Mahimnaḥstava,Q27599,,
Śivasahasranāmāvalī,शिवसहस्रनामावली,,Puranas,,,,Puranas,Q27588
Iśāvāsya,ईशावास्य,,Upanishads,,,,Upanishads,Q27718
Dvaitaviveka,द्वैतविवेक,,,,,,,
Devyātharvaṇaśīrṣa,देव्याथर्वणशीर्ष,,,,,,,
Hārītasmṛti,हारीतस्मृति,,,,,,,
Prāyaścittatattva,প্রাযশ্চিত্ততত্ত্ৱ,,,,,,,
Birth of Gaṇeśa,,,,,,,,
Bhāvārthadīpikāyāṃ ṣaṣṭhe skandha,भावार्थदीपिकायां षष्टे स्कन्ध,,Puranas,पुराण,,,Puranas,Q27588
Naiṣadhacarita,नैषधचरित,,Naiṣadhacarita,,,,Naishadha Charita,Q27547
Adhyātmarāmāyaṇa sundarakāṇḍa,अध्यात्मरामायण सुन्दरकाण्ड,,Puranas,,,,Puranas,Q27588
Mahāvākya,वाक्यवृत्ति,,,,Upanishads,Q27718,,
Samāsacakra,समासचक्र,,,,,,,
Sahasracaṇḍīśatacaṇḍīnavacaṇḍīvidhāna,सहस्रचण्डीशतचण्डीनवचण्डीविधान,,,,,,,
Rāmarāmarāma,रामरामराम,,,,Mantras,Q76777,,
Dhanaṃjayanirghaṇṭa,धनंजयनिर्घण्ट,,,,Medical text,Q20372,,
Sundaryalaharī,सौन्दर्यलहरी,,,,,,,
Pavamāna,पवमान,,Vedas,,,,Vedas,Q27715
Mṛnmayaliṅgavidhānodyāpana,मृन्मयलिङ्गविधानोद्यापन,,,,,,,
Ekākṣaramālānighaṇṭu,,,,,,,,
Śivapūjāmāhātmya,शिवपूजामाहात्म्य,,,,,,,
Samnyāsaprārthanāvidhi,सम्न्यासप्रार्थनाविधि,,,,,,,
Gaurījātakagrantha,गौरीजातकग्रन्थ,,,,,,,
Kārtikamāhātmya,कार्तिकमाहात्म्य,,Puranas,,,,Puranas,Q27588
Anubhūtiprakāśa,अनुभूतिप्रकाश,,,,Anubhūtiprakāśa,Q27594,,
Vaṭasāvitrīvratodyāpana,वटसावित्रीव्रतोद्यापन,,,,,,,
Taittirīyasaṃhitāṣṭaka,,,Vedas,,,,Vedas,Q27715
Bilvapatrapraśaṃsā,बिल्वपत्रप्रशंसा,,,,,,,
Mahimna,महिम्न,,Mahimnaḥstava,,,,Mahimnaḥstava,Q27599
Jātakālaṃkārakarman,जातकालंकारकर्मन्,,,,,,,
Dakṣiṇāmūrtividhāna,दक्षिणामूर्तिविधान,,,,,,,
Saptālaṃkāra,सप्तालंकार,,,,,,,
Kārtavīryārjunakavaca,,,Tantras,,,,Tantras,Q27776
Sarvalakṣapūjāvidhi,सर्वलक्षपूजाविधि,,Puranas,,,,Puranas,Q27588
Rākṣoghnasūktavidhi,राक्षोघ्नसूक्तविधि,,,,,,,
Roṭikāsomanāthavratakathā,रोटिकासोमनाथव्रतकथा,,Puranas,,,,Puranas,Q27588
Brahmayāmale ahībalacakra,ब्रह्मयामले अहीबलचक्र,,Tantras,,,,Tantras,Q27776
Brāmaṇācchaṃsiprayoga,ब्राह्मणाच्छंसिप्रयोग,,,,Hindu ritual text,Q76765,,
Laghunyāsa,लघुन्यास,,,,,,,
Lakṣmīsūkta,लक्ष्मीसूक्त,,,,,,,
Siddhāntabindulaghuvyākhyā,सिद्धान्तबिन्दुलघुव्याख्या,,,,,,,
Svaprakāśātmaviveka,स्वप्रकाशात्मविवेक,,Pañcadaśī,,,,Pañcadaśī,Q27684
Bhāminīvilāsa,भामिनीविलास,,,,Bhāminīvilāsa,Q27801,,
Mitākṣarā,मिताक्षरा,,,,,,,
Śrībhāghavate mahāpurāṇe daśamaskandhe kṛṣṇāvatāro'dhyāyaḥ,श्रीभागवते महापुराणे दशमस्कन्धे कृष्णावातारो नामप्रथमो' ध्यायः,,Puranas,पुराण,,,Puranas,Q27588
Mathurī,मथुरी,,,,,,,
Śārīropaniṣad,शारीरोपनिषद्,,,,Upanishads,Q27188,,
Itiśrīmahābhārateśatasāhasryasaṃhitāyāṃ śāntiparvaṇibhīṣmapitāmahaproktaḥ stavarājaḥ samāpta[ḥ,इतिश्रीमहाभारतेशतसाहस्र्यसंहितायां शान्तिपर्वणिभीष्मपितामहप्रोक्त स्तवराज समाप्त,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Saṃdhyāprayoga,संध्याप्रयोग,,,,Hindu ritual text,Q76765,,
Bhojanavidhitrikaṇḍikāsūtra,भोजनविधित्रिकण्डिकासूत्र,,,,,,,
Ādyabhāgavataślokaṭīkārambhaḥ,आद्यभागवतश्लोकटीकारम्भः,,Bhāgavataślokaṭīkā,भागवतप्रथमश्लोकटीका,,,Bhāgavataślokaṭīkā,Q27785
Śikṣābrahmavidyābhṛgu,शिक्षाब्रह्मविदाभृगु,,Upanishads,,,,Upanishads,Q27718
Sāriṇī,सारिणी,,,,,,,
Dattātreyāṣṭottaraśatanāmastotra,दत्तात्रेयाष्टोत्तरशतनामस्तोत्र,,,,Stotras,Q76780,,
Śrīsūkta,श्रीसूक्त,,,,,,,
Itiśrīmahābhārateśotirājadharmestavarājaḥ Bhīṣmastavarājasaṃpūrṇaḥ samāptaḥ,इतिश्रीमहाभारतेशोतिपर्वणिराजधर्मेस्तवराज भीष्मस्तवराजसंपूर्ण समाप्त,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Pakṣatājāgadīśīpatrikā,পক্ষতাজাগদীশীপত্রিকা,,Jāgadīśī,,,,Jāgadīśī,Q27719
Piṭhorāpūjana,पिठोरापूजन,,,,,,,
Gāyatrībhāṣya,गायत्रीभाष्य,,Mādhavīyavedārthaprakāśa,,,,Mādhavīyavedārthaprakāśa,Q27782
Āsanavidhi,आसनविधि,,,,,,,
Mantrabhāgavata,मन्त्रभागवत,,,,,,,
Vivekacūḍāmaṇi,विवेकचूडामणि,,,,Vivekacūḍāmaṇi,Q76798,,
Vidvanmodataraṅginī,विद्वन्मोदतरङ्गिनी,,,,,,,
Nāndīśrāddhasaṃkalpa,नान्दीश्राद्धसंकल्प,,,,,,,
Tattvabodhinī kṛdanta,तत्त्वबोधिनी कृदन्त,,,,,,,
Catuḥślokībhārata,चतुःश्लोकीभारत,,,,,,,
Vāstukalpa,वास्तुकल्प,,,,,,,
Navīnamatavicāra,नवीनमतविचार,,Gādādharī,,,,Gādādharī,Q27605
Reṇukāsahasranāman,रेणुकासहस्रनामन्,,,,,,,
Prayogaratna,प्रयोगरत्न,,,,Prayogaratna,Q27783,,
Brahmasūtra,ब्रह्मसूत्र,,,,Brahmasūtra,Q27662,,
Saṃkṣiptasāraṭīkā,সংক্ষিপ্তসারটীকা,,,,,,,
Kokilasmṛti,कोकिलस्मृति,,,,,,,
Prauḍhmanoramā,प्रौढ्मनोरमा,,Prauḍhamanoramā,,,,Prauḍhamanoramā,Q27572
Athabhagavadgītāprāraṃbhaḥ,अथभगवद्गीताप्रारंभः,,Bhagavadgītā,भगवद्गीता,,,Bhagavad Gita,Q27759
Bhūtaśuddhyādi,,,Bhūtaśuddhiprāṇapratiṣṭhā,,,,Bhūtaśuddhiprāṇapratiṣṭhā,Q27583
Pallīpatanaphala,पल्लीपतनफल,,,,,,,
Prapañcamithyātva,प्रपञ्चमिथ्यात्व,,,,,,,
Śukāṣṭakastotra,शुकाष्टकस्तोत्र,,,,Stotras,Q76780,,
Nārāyaṇopaniṣad,नारायणोपनिषद्,,Vedas,,,,Vedas,Q27715
Vaṭodyāpanaprayoga,वटोद्यापनप्रयोग,,,,Hindu ritual text,Q76765,,
Tarkopanyāsa,तर्कोपन्यास,,,,,,,
Śrībhāvārthadīpikāyāṃ pañcamaskandhe narakānuvarṇanaṃ nāmaṣaḍviṃśatitamodhyāyaḥ,श्रीभावार्थदीपिकायां पंचमास्कन्धे नरकानुवर्णनं नामषड्विंशतितामोध्यायः,,Puranas,पुराण,,,Puranas,Q27588
Śaṅkhalikhitasmṛti,शङ्खलिखितस्मृति,,,,,,,
Uṇādāya,ऊणादाय,,Siddhāntakaumudī,,,,Siddhāntakaumudī,Q27632
Caurapañcāśikā,चौरपञ्चाशिका,,,,Caurapañcāśikā,Q27683,,
Kārtavīryārjunadīpadānaprayoga,,,,,,,,
Pavamanapañcasūkta,,,,,,,,
Bhikṣukopaniṣad,भिक्षुकोपनिषद्,,,,Upanishads,Q27188,,
Siddhigaṇeśapūjana,सिद्धिगणेशपूजन,,Puranas,,,,Puranas,Q27588
Namovadakāpa,नमोवदकाप,,Tantras,,,,Tantras,Q27776
Rām rakṣa,राम रक्ष,,,,,,,
Mudrālakṣaṇāni,मुद्रालक्षणानि,,,,,,,
Dharmmaśāstrasmṛti,धर्म्मशास्त्रस्मृति,,Āṅgirasasmr̥ti,,,,Āṅgirasasmr̥ti,Q27726
Sarasvatīstotra,सरस्वतीस्तोत्र+,,,,Stotras,Q76780,,
Bhaviṣyottarapurāṇa,,,Puranas,,,,Puranas,Q27588
Prātipadikasaṃjñāvāda,प्रातिपदिकसंज्ञावाद,,,,,,,
Sthālīpāka,स्थालीपाक,,,,,,,
Rāgadhanyāśī,रागधन्याशी,,,,,,,
Haraharatalikāpūjā,हरहरतलिकापूजा,,,,,,,
Tīrthavidhi,तीर्थविधि,,,,,,,
Vāmanapurāṇa,वामनपुराण,,Puranas,,,,Puranas,Q27588
Merutantra,मेरुतन्त्र,,,,,,,
Trailokyamaṅgalasūryakavaca,,,Tantras,,,,Tantras,Q27776
Kālajñāna,कालज्ञान,,,,,,,
Kṣoravidhi,क्षोरविधि,,,,,,,
Śivasahasranāma,शिवसहस्रनाम,,Śivasahasranāma,शिवसहस्रनाम,,,Śivasahasranāma,Q27746
Agniṣṭome brāhmaṇāchaṃsī prayoga,अग्निष्टोमे ब्राह्मणाछंसीप्रयोग,,,,Hindu ritual text,Q76765,,
Dr̥gdr̥śyaviveka ṭīkā,दृग्दृश्यविवेक टीका,,,,,,,
Smṛtikaustubha,स्मृतिकौस्तुभ,,,,,,,
Yajñopavītavidhi,यज्ञोपवीतविधि,,,,,,,
Saptaślokīgītā,सप्तश्लोकीगीता,,,,,,,
Kavikalpadruma,कविकल्पद्रुम,,,,,,,
Vāstuśāntiprayoga,वास्तुशान्तिप्रयोग,Q27709,,,Āśvalāyanagr̥hyasūtra,Q27709,,
Adhānaprayoga,आधानपद्धतिप्रयोग,,,,Hindu ritual text,Q76765,,
Carapaṭamañjurigastotra,चरपटमञ्जुरिगस्तोत्र,,,,Stotras,Q76780,,
Gāyatrībhāṣya,गायत्रीभाष्य,,,,,,,
Muṇḍakopaniṣadbhāṣya,मुण्डकोपनिषद्भाष्य,,,,Upanishads,Q27188,,
Camatkāracintāmaṇi,चमत्कारचिन्तामणि,,,,,,,
Prāyaścittaviveka,प्रायश्चित्तविवेक,,,,,,,
Jābālopaniṣad,जाबालोपनिषद्,,,,Upanishads,Q27188,,
Dakṣiṇāmūrtipañjara,दक्षिणामूर्तिपञ्जर,,Puranas,,,,Puranas,Q27588
Smārtavyavasthārṇava,স্মার্তৱ্যৱস্থার্ণৱ,,,,,,,
Naiṣadhaṭīkā sarga 5,नैषधटीका सर्ग ५,,,,,,,
Ekādaśīmahātmya,एकादशीमहात्म्य,,,,,,,
Ajñānavicāra,अज्ञानविचार,,,,,,,
Prasiddha,प्रसिद्ध,,Puranas,,,,Puranas,Q27588
Daśāharāgaṅgāstotra,दशाहरागङ्गास्तोत्र,,Puranas,,Puranas,Q27588,,
Nirghaṭi,निर्घटि,,Dhanvantarīnighaṇṭu,,,,Dhanvantarīnighaṇṭu,Q27585
Ajapāstotra,अजपास्तोत्र,,,,Stotras,Q76780,,
Vidyānanda,ब्विद्यानन्द,,Pañcadaśī,,,,Pañcadaśī,Q27684
Mahākālīmāna,महाकालीमान,,,,,,,
Āgamaśāstravivaraṇa,आगमशास्त्रविवरण,,Māṇḍūkyopaniṣadbhāṣya,,,,Māṇḍūkyopaniṣadbhāṣya,Q27844
Śakticakravibhavaprabhava,शक्तिचक्रविभवप्रभव,,,,,,,
Pārthiveśvaracintāmaṇi,,,Tantras,,,,Tantras,Q27776
R̥gvedasamhitā aṣṭaka 3,,,Vedas,,,,Vedas,Q27715
Aparādhastotra,अपराधस्तोत्र,,,,Stotras,Q76780,,
Aṣṭasāhasrikā prajñāpāramitā,अष्टसाहस्रिका प्रज्ञापारमिता,,Tripiṭaka,,,,Tripitaka,Q12750
Gītagovinda,गीतगोविन्द,,Gītagovinda,,,,Gītagovinda,Q27554
Mṛtyuñjayastotra,मृत्युञ्जयस्तोत्र,,,,Stotras,Q76780,,
Liṅgānuśāsana,लिङ्गानुशासन,,Siddhāntakaumudī,,,,Siddhāntakaumudī,Q27632
Maltimadu,मल्तिमदु,,,,,,,
Ravīndunāmanakṣatra,रवीन्दुनामनक्षत्र,,,,,,,
Samkṣepasārīrakaṭīkā,सम्क्षेपसारीरकटीका,,,,,,,
Kuvalayānanda,कुवलयानन्द,,,,,,,
Text on animal omens,,,,,Text on animal omens,Q76799,,
Bhāva,भाव,,Jātakālaṅkāra,,,,Jātakālaṅkāra,Q27828
Nārāyaṇastotra,नारायणस्तोत्र,,,,Stotras,Q76780,,
Śuddhiviveka,शुद्धिविवेक,,,,,,,
Viṣṇustotra,विष्णुस्तोत्र,,,,Stotras,Q76780,,
Naighaṇṭuka,नैघण्टुक,,Nirukta,,,,Nirukta,Q27771
Avacchedakalakṣaṇa ṭippaṇī,अवच्छेदकलक्षण टिप्पणी,,,,,,,
Siddhāntalakṣaṇa,सिद्धान्तलक्षण,,Gādādharī,,,,Gādādharī,Q27605
Anumānakhaṇḍa,अनुमानखण्ड,,,,Anumānakhaṇḍa,Q27622,,
Hastarekhāvicāraṇa,हस्तरेखाविचारण,,,,,,,
Gaṇapatipratiṣṭhāpanapaddhati,गणपतिप्रतिष्ठापनपद्धति,,,,,,,
Śivājñā,शिवाज्ञा,,,,,,,
Rasendracūḍāmaṇi,रसेन्द्रचूडामणि,,,,,,,
Yugalakiśorasahasrastotra,युगलकिशोरसहस्रस्तोत्र,,Puranas,,,,Puranas,Q27588
Naṭeśasahasranāman,नटेशसहस्रनामन्,,,,,,,
Śārīrakabhāṣyavibhāga,शारीरकभाष्यविभाग,,,,,,,
Sthālīpākamantra,स्थालीपाकमन्त्र,,,,,,,
Sarvatobhadramaṇḍaladevatā,सर्वतोभद्रमण्डलदेवता,,,,,,,
Viṣṇupaṅjarastotra,विष्णुपञ्जर,,Puranas,,,,Puranas,Q27588
Śatapakṣaprātaranuvāka,शतपक्षप्रातरनुवाक,,,,,,,
SarvānnigūḍhamaṇidIdhita,सर्वान्निगूढमणिदीधित,,,,,,,
Pauṣākṛṣṇasaphalaikādaśīmahātmya,पौषाकृष्णसफलैकादशीमहात्म्य,,Puranas,,,,Puranas,Q27588
Dānavidhi,दानविधि,,Puranas,,,,Puranas,Q27588
Śravaṇadvādaśīvrata,श्रवणद्वादशीव्रत,,Puranas,,,,Puranas,Q27588
Dvāvadhikaśataślokīrāmāyaṇa,द्वावधिकशतश्लोकीरामायण,,,,,,,
Vastubhāsinī,वस्तुभासिनी,,,,,,,
Pakṣatāgrantha,पक्षताग्रन्थ,,,,,,,
Hanumatadurga,हनुमतदुर्ग,,,,,,,
Rasamañjarīṭīkā,रसमञ्जरीटीका,,,,,,,
Praśnopaniṣadbhāṣyavivaraṇa,प्रश्नोपनिषद्भाष्यविवरण,,,,Hindu commentary;Philosophical text,Q76789;Q5996,,
Cāṇakyarājanīti,चाणक्यराजनीति,,Cāṇakyanīti,,,,Cāṇakyanīti,Q27757
Pārvaṇaśrāddhavidhi,पार्वणश्राद्धविधि,,,,,,,
Viśvādarśa,विश्वादर्श,,,,,,,
Baudhāyanadarśapūrṇamāsacāturmāsyavihāra,बौधायनचरकसौत्रामणीव्याख्या,,,,,,,
Mīmāṅsārthasaṃgraha,मीमाङ्सार्थसंग्रह,,,,,,,
Kūpaśāntividhi,कूपशान्तिविधि,,,,,,,
Aṣṭādhyāyī,अष्टाध्यायी,,Aṣṭādhyāyī,,,,Aṣṭādhyāyī,Q27789
Śāntipaddhati,शान्तिपद्धति,,,,,,,
Sāmudrika,सामुद्रिक,,,,,,,
Ātmopaniṣad,आत्मोपनिषद्,,Vedas,,,,Vedas,Q27715
Ārṣamahārāmāyaṇa,आर्षमहारामायण,,Yogavāsiṣṭha,,,,Yogavāsiṣṭha,Q27810
Navatattvaprakaraṇa,नवतत्त्वप्रकरण,,Navatattvaprakaraṇa,,,,Navatattvaprakaraṇa,Q27694
Bhuśuddhibhūtaśuddhiprāṇapratiṣṭhā Antaramātṛkābahimātṛkā,,,Bhūtaśuddhiprāṇapratiṣṭhā,,,,Bhūtaśuddhiprāṇapratiṣṭhā,Q27583
Śāstradīpikāvyākhyā,शास्त्रदीपिकाव्याख्या,,,,,,,
Mīmāṃsānyāyaprakāśa,मीमांसान्यायप्रकाश,,,,,,,
Tattvacintāmaṇi,तत्त्वचिन्तामणि,,,,Tattvacintāmaṇi,Q27786,,
Nirṇayatattva,निर्णयतत्त्व,,,,,,,
Āgrayaṇaman̄jūṣā,आग्रयणमञ्जूषा,,,,,,,
Nāṭakadīpa,नाटकदीप,,Pañcadaśī,,,,Pañcadaśī,Q27684
Śravaṇadvādaṣīvratakathā,श्रवणद्वादशीव्रतकथा,,Puranas,,,,Puranas,Q27588
Utsarjanopākarmaprayoga,उत्सर्जनोपाकर्मप्रयोग,,,,Vedic text,Q76773,,
Vadhūvaraguṇamelanacarka,वधूवरगुणमेलनचर्क,,,,,,,
Śarabhamahāmantra,,,,,,,,
Śrībhāgavatabhāvārthadīpikāyāṃ Śrīdharasvāmiviracitāyāṃ navamaskandhe caturviṃśo'dhyāyaḥ,श्रीभागतभावार्थदीपिकायां श्रीधरस्वामीविरचितायां नवमस्कन्धे चतुर्विंशो'ध्यायः,,Puranas,पुराण,,,Puranas,Q27588
Adbhutaśānti,अद्भुतशान्ति,,,,,,,
Śrāddhasaṃgraha,श्राद्धसंग्रह,,,,,,,
Yogeśvarīsahasranāmastotra,योगेश्वरीसहस्रनामस्तोत्र,,Tantras,,,,Tantras,Q27776
Bhūtaviveka,भूतविवेक,,Pañcadaśī,,,,Pañcadaśī,Q27684
Ārādhanaprayoga,आराधनप्रयोग,,,,Hindu text,Q76770,,
Śivarahasyasthavacanasaṃgraha,शिवपूजावचनसंग्रह,,Puranas,,,,Puranas,Q27588
Vasiṣṭha,वसिष्ठ,,,,Astrological text,Q20378,,
Horoscope roll,जन्मपत्त्रिका,,,,,,,
Baṭukabhairavastotra,बटुकभैरवस्तोत्र,,Tantras,,,,Tantras,Q27776
Haridrāguṇavicāra,हरिद्रागुणविचार,,,,,,,
Manyudevisāragrāhiṇi,मन्युदेविसारग्राहिणि,,,,,,,
Madhyasiddhāntakaumudī,मध्यसिद्धान्तकौमुदी,,Laghusiddhāntakaumudī,,,,Laghusiddhāntakaumudī,Q27582
Viśveśvarī,विश्वेश्वरी,,,,,,,
Adhikaraṇamālā,अधिकरणमाला,,Vaiyāsikanyāyamālā,,,,Vaiyāsikanyāyamālā,Q27850
Gāyatrī,गायत्री,,,,Vedas,Q27715,,
Viśveśvaradarśanādimahimā,विश्वेश्वरदर्शनादिमहिमा,,,,,,,
Bhavānandīvyākhyā,भवानन्दीव्याख्या,,,,,,,
Agnihotrahomaprāyaścita,अग्निहोत्रहोमप्रायश्चित्त,,,,Hindu ritual text,Q76765,,
"Nirukta, Pūrva and Uttara Ṣaṭka",,,,,,,,
Kāṭhavallībhāṣya,काठवल्लीभाष्य,,,,,,,
Adhyātmarāmāyaṇa ayodhyakāṇḍa,अध्यात्मरामायण अयोध्यकाण्ड,,Puranas,,,,Puranas,Q27588
Nyāsa,न्यास,,Vedas,,,,Vedas,Q27715
Rāmacandrastavarājastotra,रामचन्द्रस्तवराजस्तोत्र,,,,Stotras,Q76780,,
Haritālikāpūjā,हरितालिका,,,,Hindu text,Q76770,,
Devīmānasapūjāvidhi,देवीमानसपूजाविधि,,,,,,,
Pratyayānta,प्रत्ययान्त,,,,,,,
Tattvabodhinī kṛdanta,तत्त्वबोधिनीकृदन्त,,,,,,,
Śākalasmṛti,शाकलस्मृति,,,,,,,
Sthāvaraliṅgapūjā,स्थावरलिङ्गपूजा,,,,,,,
Kāvyapradīpaprabhā,काव्यप्रदीपप्रभा,,,,,,,
Viyogaśāntiprayoga,वियोगशान्तिप्रयोग,,,,Vedic text,Q76773,,
Nirṇayāmṛtākara,निर्णयामृताकर,,,,,,,
Gāyatrīsahasranāmastotra,गायत्रीसहस्रनामस्तोत्र,,,,Stotras,Q76780,,
Maṅgalavrata,मङ्गलव्रत,,,,,,,
Viṣayatāvāda,विषयतावाद,,,,Viṣayatāvāda,Q76800,,
Godānavidhi,गोदानविधि,,,,,,,
Śivārcanadīpikā,शिवार्चनदीपिका,,,,,,,
Advaitamakaranda,अद्वैतमकरन्द,,,,,,,
Laghucintāmaṇisāriṇī,लघुचिन्तामणिसारिणी,,,,,,,
Manoramā,मनोरमा,,Prauḍhamanoramā,,,,Prauḍhamanoramā,Q27572
Dinakaradyota,दिनकरद्योत,,,,,,,
Ajapāgāyatrīmantra,अजपागायत्रीमन्त्र,,,,,,,
Kaṭhakopaniṣad,कठकोपनिषद्,,Upanishads,,,,Upanishads,Q27718
Ādityahṛdaya,आदित्यहृदय,,Yogavāsiṣṭha,,,,Yogavāsiṣṭha,Q27810
Durjanamukhacapeṭikā,दुर्जनमुखचपेटिका,,,,Durjanamukhacapeṭikā,Q76801,,
Bṛhannāradīyapurāṇa,बृहन्नारदीयपुराण,,Puranas,,,,Puranas,Q27588
Sinhalese life of Jesus Christ,,,,,Life of Christ,Q19961,,
Aṣṭamaskandhacaturthādhyāya,अष्टमस्कन्धचतुर्थाध्याय,,Puranas,पुराण,,,Puranas,Q27588
Amṛtabiṇḍūpaniṣad,अमृतबिण्डूपनिषद्,,,,Upanishads,Q27188,,
Śarabhakavaca,,,Tantras,,,,Tantras,Q27776
Rudranāmāvalī,रुद्रनामावली,,,,,,,
Vedāntavibhāvanā,वेदान्तविभावना,,,,,,,
Gāyatrībhāṣya,गायत्रीभाष्य,,R̥gvedabhāṣyabhūmikā,,,,R̥gvedabhāṣyabhūmikā,Q27598
Śabdaratna,शब्दरत्न,,,,,,,
Śivasahasranāmāvalī,शिवसहस्रनामावली,Q27588,,,Puranas,Q27588,,
Viṣanidāna,विषनिदान,,Mādhavanidāna,,,,Mādhavanidāna,Q27749
Muhūrtamārtaṇḍa,मुहूर्तमार्तण्ड,,,,,,,
Kāśīrahasyaṭīka adhyāya 26,काशीरहस्यटीक अध्याय २६,,,,,,,
Yogaśikhopaniṣad,योगशिखोपनिषद्,,,,Upanishads,Q27718,,
Kārikāvalī,कारिकावली,,Bhāṣāpariccheda,,,,Bhāṣāpariccheda,Q27837
Ākāśabhairavakalpa,,,Tantras,,,,Tantras,Q27776
Anumānamaṇidīdhiti,अनुमानमणिदीधिति,,Tattvacintāmaṇidīdhiti,,,,Tattvacintāmaṇidīdhiti,Q27835
Gajendramokṣaṇastotra,गजेन्द्रमोक्षणस्तोत्र,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Pratikramaṇasūtra,प्रतिक्रमणसूत्र,,Jaina Āgama,,,,Jaina Āgama,Q27847
Kirātārjunīya,किरातार्जुनीय,,,,Kirātārjunīya,Q27768,,
Caṇḍipāṭhakrama,,,Tantras,,,,Tantras,Q27776
Kārtikāsāra,कार्तिकासार,,,,,,,
Rāmāṣṭaka,रामाष्टक,,,,,,,
Paramahaṃsopaniṣad,परमहंसोपनिषद्,,,,Upanishads,Q27188,,
Aśvatthapūjana,अश्वत्थपूजन,,,,,,,
Bhāṭṭabhāṣāprakāśa,भाट्टभाषाप्रकाश,,,,,,,
Aṣṭādhyāyī,अष्टाध्यायी,,,,Aṣṭādhyāyī,Q27789,,
Śivatāṇḍava,शिवताण्डव,,,,,,,
Pradhamakalpa,प्रधमकल्प,,,,,,,
Talavakāravidyākhya,तलवकारविद्याख्य,,Anubhūtiprakāśa,,,,Anubhūtiprakāśa,Q27594
Bhūśuddhibhutaśuddhi,,,Bhūśuddhibhūtaśuddhi,,,,Bhūśuddhibhūtaśuddhi,Q27766
Pāṇḍavagītā,पाण्डवगीता,,,,,,,
Tājakabhūṣana,ताजकभूषन,,,,,,,
Haritālikāpūjā,हरितालिकापूजा,,,,Hindu text,Q76770,,
Kāvyarākṣasa,काव्यराक्षस,,,,,,,
Itiśrībhagavadgītāprārambhaḥ,इतिश्रीभगवद्गीताप्रारंभः,,Bhagavadgītā,भगवद्गीता,,,Bhagavad Gita,Q27759
Pañcapādikāvivaraṇa,पञ्चपादिकाविवरण,,,,,,,
Bhagavadgītā,भगवद्गीता,,Bhagavadgītā,भगवद्गीता,,,Bhagavad Gita,Q27759
Somasaṃsthāpaddhati,सोमसंस्थापद्धति,,,,,,,
Rāmakṛṣṇakāvya,रामकृष्णकाव्य,,,,,,,
Saṃdhyā,संध्या,,,,,,,
Svarūpaprakaraṇa,स्वरूपप्रकरण,,,,,,,
Samādhi abhyāsaprakaraṇa,समाधि अभ्यासप्रकरण,,,,,,,
Ṣaṭpañcāśikā,षट्पञ्चाशिक,,,,,,,
Śrībhāgavate bhāvārthadīpikāyāṃ Śrīdharasvāmiviracitāyāṃ aṣṭamaskandhe caturviṃśo'dhyāyaḥ,श्रीभागवते भावार्थदीपिकायां श्रीधरस्वामिविरचितायां अष्टमस्कन्धे चतुर्विंशो'ध्यायः,,Puranas,पुराण,,,Puranas,Q27588
Homapaddhati,होमपद्धति,,Puranas,,,,Puranas,Q27588
Bhīṣmastavarāja,भीष्मस्तवराज,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Vṛttaratnāvalī,वृत्तरत्नावली,,,,,,,
Mukundāṣṭaka,मुकुन्दाष्टक,,,,,,,
Praśnopaniṣadbhāṣya,प्रश्नोपनिषद्भाष्य,,,,Commentary on Upanishads,Q76788,,
Ācārātprāpyate svarga,आचारात्प्राप्यते स्वर्ग,,,,,,,
Kāṭhopaniṣad,कठोपनिषद्,,Upanishads,,,,Upanishads,Q27718
Udu tyaṃ jātavedasaṃ devaṃ,उदुत्यंजातवेदसंदेवं,,Vedas,,,,Vedas,Q27715
Indiraikādaśī,इन्दिरैकादशी,,,,,,,
Kālanirṇaya,कालनिर्णय,,,,,,,
Laghu ṛgvidhāna,लघु ऋग्विधान,,,,,,,
Kāśīkhaṇḍa,काशीखण्ड,,Puranas,,,,Puranas,Q27588
Grahagocara,ग्रहगोचर,,,,,,,
Śivasahasranāmakathana,शिवसहस्रनामकथन,,,,,,,
Utsarjanaprayoga,उत्सर्जनप्रयोग,,,,Hindu ritual text,Q76765,,
Satyanārāyaṇapūjāvidhi,सत्यनारायणपूजाविधि,,,,,,,
Śrīviṣṇordivyasahasranāmāstotrasaṃpūrṇaṃ,श्रीविष्णोर्दिव्यसहस्रनामस्तोत्रसंपूर्णं,,Mahābhārata,महाभारत,,,Mahabharata,Q27688
Agnisūkta,अग्निसूक्त,,Vedas,,,,Vedas,Q27715
Dhūrtasvāmibhāṣyatīkā,धूर्तस्वामिभाष्यतीका,,,,,,,
Saṃkaṭāstotra,संकटस्तोत्र,,Puranas,,,,Puranas,Q27588
Bhavānandī,भवानन्दी,,,,,,,
Kenopaniṣadbhāṣya,प्रश्नोपनिषद्भाष्य,,,,Commentary on Upanishads,Q76788,,
Vaiyākaraṇabhūṣaṇasāra,वैयाकरयभूषणसार,,,,,,,
