name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
Laksmana Bhatta (Son of Nārāyaṇa Bhaṭṭa),author,,,,,,,,,,,
"Rāmakaṇṭha, Bhaṭṭa, active 1125",author,,http://id.loc.gov/authorities/names/no90001539,,,,,,human,Bhaṭṭa Rāmakaṇṭha,Q124252931,Q28071
"Bhiḍe, Padyākara",scribe,,,,,,,,,,,
Dīna-Nātha,scribe,,http://id.loc.gov/authorities/names/n93107735,,,,,,human,Dīna-Nātha,Q124252842,Q28077
"Abhinavagupta, Rājānaka",author,,http://id.loc.gov/authorities/names/n50034836,,,,,,human,Abhinavagupta,Q320619,Q28076
Tryaṃbaka (Son of Nārāyaṇa),author,,,,,,,,,,,
"Gaṇeśadaivajña, active 1520-1554",author,,http://id.loc.gov/authorities/names/n89102184,,,,,,human,Gaṇeśadaivajña,Q31314971,Q28223
Patañjali,author,,http://id.loc.gov/authorities/names/n80044780,,,,,,human,Patanjali,Q231680,Q28149
Dhoṇḍabhaṭṭa Joglekara (Son of Raghunāthabhaṭṭa Joglekara),scribe,,,,,,,,,,,
Timaṇabhaṭa ( son of Aināpurakara Rāmabhaṭa),scribe,,,,,,,,,,,
"Gāḍagiḷa, Bālambhaṭṭa",scribe,,,,,,,,,,,
"Vāmana, Paṇḍita, active 17th century",author,,http://id.loc.gov/authorities/names/n85097110,,,,,,human,Vāmanapaṇḍita,Q113796181,Q28361
Sadāśiva (Son of Nārāyaṇa),scribe,,,,,,,,,,,
"Tulasīdāsa, 1532-1623",author,,,,,,,,human,Tulsidas,Q312976,Q28108
"Lolimbarāja, active 18th century",author,,http://id.loc.gov/authorities/names/n85014115,,,,,,human,Lolimbarāja,Q124252884,Q28241
Kapila,author,,http://id.loc.gov/authorities/names/n50059441,,,,,,human,Kapila,Q574355,Q28146
Kamalākara,author,,http://id.loc.gov/authorities/names/n2005035182,,,,,,human,Kamalakara,Q3036590,Q28132
"Gadādharabhaṭṭācārya, active 17th century-18th century",author,,http://id.loc.gov/authorities/names/n88005243,,,,,,human,Gadādharabhaṭṭācārya,Q124252844,Q28212
"Sahasrabuddhi, Vyaṅkaṭeśa",scribe,,,,,,,,,,,
Anantakavi,author,,http://id.loc.gov/authorities/names/n83053767,,,,,,human,Anantakavi,Q124252807,Q28299
Kāśīnātha (Son of Ananta),author,काशीनाथ अनन्तोपाध्यायसूनु,,,,,,,,,,
Nārāyaṇa,scribe,,http://id.loc.gov/authorities/names/n2007017835,,,,,,human,Narayan Pandit,Q606019,Q28083
Vāsudeva,author,,http://id.loc.gov/authorities/names/n89265378,,,,,,human,Vāsudeva,Q124252971,Q28287
"Mādhava, -1386",author,,,,,,,,human,Vidyaranya,Q2726403,Q28156
Raṅganātha Marāṭhe (Son of Mayūreśvara),former owner,,,,,,,,,,,
Śaṅkarācārya,author,,,,,,,,human,Ādi Shankara,Q180967,Q28107
"Bhāskararāya, active 1675-1751",author,,http://id.loc.gov/authorities/names/n84143102,,,,,,human,Bhaskararaya,Q4901368,Q28072
"Brown, W. Norman 1892-1975",former owner,,,,,,,,human,W. Norman Brown,Q7945849,Q28139
Kālidāsa,author,,,,,,,,human,Kalidasa,Q7011,Q28168
Mallinātha,author,,http://id.loc.gov/authorities/names/n84048655,,,,,,human,Mallinātha,Q124252889,Q28177
"Bālambhaṭa, Babar",scribe,,,,,,,,,,,
"Śrīharṣa, active 12th century",author,,http://id.loc.gov/authorities/names/n80056943,,,,,,human,Sriharsha,Q4526632,Q28193
Kāśīnātha Bhaṭṭācārya,author,,http://id.loc.gov/authorities/names/n91014355,,,,,,human,Kāśīnātha Bhaṭṭācārya,Q124252878,Q28225
"Bhanu, Swami",scribe,,http://id.loc.gov/authorities/names/no00074372,,,,,,human,Swami Bhanu,Q4100800,Q28281
Nārāyaṇa Bhaṭ Rāna,scribe,,,,,,,,,,,
Sadānanda Yogīndra,author,,http://id.loc.gov/authorities/names/n84109447,,,,,,human,Sadānanda Yogīndra,Q3461210,Q28199
Vināyaka (Son of Kṛṣṇa),scribe,,,,,,,,,,,
"Dāḍekara, Kṛṣṇa",scribe,,,,,,,,,,,
"Varāhamihira, 505-587",author,,http://id.loc.gov/authorities/names/n50053304,,,,,,human,Varāhamihira,Q858348,Q28336
Vyāsa Gaurīśa,former owner,,,,,,,,,,,
Sakhārāma,former owner,,,,,,,,,,,
"Rāmacandra, active 16th century",author,,http://id.loc.gov/authorities/names/n89283164,,,,,,human,Rāmacandra,Q3943262,Q28161
Prabhākaraśīghra (Son of Sadāśiva),scribe,,,,,,,,,,,
"Śrī 3 Bīr Mardana, Mahārāja",former owner,,,,,,,,,,,
"Sāyaṇa, -1387",author,,,,,,,,human,Sayana,Q737932,Q28254
Bhaṭṭojī Dīkṣita,author,,http://id.loc.gov/authorities/names/n82017875,,,,,,human,Bhaṭṭoji Dīkṣita,Q2900675,Q28105
Madhusūdana Sarasvatī,author,,http://id.loc.gov/authorities/names/n82151513,,,,,,human,Madhusūdana Sarasvatī,Q2666444,Q28198
Śrīharṣa,author,,,,,,,,human,Sriharsha,Q4526632,Q28193
"Vaḷe, Mādhava",scribe,,,,,,,,,,,
"Prabhākara, Viśvanāthaśāstrī",author,,http://id.loc.gov/authorities/names/no2003041427,,,,,,human,Viśvanāthaśāstrī Prabhākara,Q124252917,Q28110
"Śrīnivāsācārya, active 13th century",author,,,,,,,,,,,
Muñjāditya,author,,,,,,,,,,,
Rājaśrī Āpādikṣita Dātye,scribe,,,,,,,,,,,
"Kr̥ṣṇānanda Āgamavāgīśa Bhaṭṭācārya, active 16th century",author,,http://id.loc.gov/authorities/names/n82083856,,,,,,human,Kṛṣṇānanda Āgamavāgīśa Bhaṭṭācārya,Q113777815,Q28079
Mūrāri Devaśarmmaṇā,scribe,,,,,,,,,,,
Rāma Śarmmaṇ,former owner,,,,,,,,,,,
Janārdana Tāhmaṇakara,scribe,,,,,,,,,,,
Āśvalāyana,author,,http://id.loc.gov/authorities/names/n82126570,,,,,,human,Āśvalāyana,Q9635652,Q28171
Viṭhalabhaṭṭa,scribe,,,,,,,,,,,
"Makarandācārya, active 1438-1478",author,,http://id.loc.gov/authorities/names/n84102499,,,,,,human,Makaranda,Q115723168,Q28337
"Daṇḍin, active 7th century",author,,http://id.loc.gov/authorities/names/n50044343,,,,,,human,Daṇḍin,Q1190757,Q28180
Puruṣottama (Son of Rāmacandra),scribe,,,,,,,,,,,
Baudhāyana,author,,,,,,,,human,Baudhayana,Q3384944,Q28096
Daivajña,author,,,,,,,,,,,
Jagadīśatarkālaṅkāra,author,,http://id.loc.gov/authorities/names/n80080344,,,,,,human,Jagadīśatarkālaṅkāra,Q124252858,Q28208
Anandanatha Yogipravara,author,,,,,,,,,,,
Vālmīki,author,,http://id.loc.gov/authorities/names/n80036601,,,,,,human,Valmiki,Q715607,Q28106
Bhādrapanta,scribe,,,,,,,,,,,
"Nārāyaṇa Bhaṭṭa, active 16th century",author,,http://id.loc.gov/authorities/names/n84206790,,,,,,human,Bhatta Narayana,Q12443344,Q28065
Puṇyānanda,author,,http://id.loc.gov/authorities/names/no99011630,,,,,,human,Puṇyānanda,Q113796858,Q28066
Kaṭarāva Mahājana,scribe,,,,,,,,,,,
Vināyaka Āḍibrekara (Son of Bālakṛṣṇa Āḍibrekara),scribe,,,,,,,,,,,
Kaṇāda,author,,http://id.loc.gov/authorities/names/n84021695,,,,,,human,Kanada,Q29049,Q28144
"Vācaspatimiśra, 1420-1490",author,,http://id.loc.gov/authorities/names/n85337533,,,,,,human,Vācaspatimiśra,Q113399956,Q28243
Śrīdevayājñika,author,,,,,,,,,,,
Nīlakaṇṭhatanūja,scribe,,,,,,,,,,,
"Śrīkaṇṭhayya, En",author,,http://id.loc.gov/authorities/names/nb2013024194,,,,,,human,En Śrīkaṇṭhayya,Q124252985,Q28215
Keśavasvāmin,author,,,,,,,,,,,
"Govardhanamiśra, active 17th century",author,,http://id.loc.gov/authorities/names/n84109592,,,,,,human,Govardhanamiśra,Q124252853,Q28242
Rṣiśarman,author,,,,,,,,,,,
Bāpirājā,author,,,,,,,,,,,
Pāṇini,author,,http://id.loc.gov/authorities/names/n80062965,,,,,,human,Panini,Q189725,Q28147
Rāmadāra,author,,,,,,,,,,,
Keśava Bhaṭṭa (Son of Ananta Bhaṭṭa),scribe,,,,,,,,,,,
"Kāśīnātha Upādhyāya, -1805",author,,http://id.loc.gov/authorities/names/n88110526,,,,,,human,Kāśīnātha Upādhyāya,Q124252879,Q28160
Sakhārāma (Son of Cuḍāmaṇa),scribe,,,,,,,,,,,
Gopāla,author,,http://id.loc.gov/authorities/names/n89286611,,,,,,human,Gopāla,Q124252849,Q28290
Sadāśiva (Son of Kāśinātha),scribe,,,,,,,,,,,
"Ānandagiri, active 13th century",author,,http://id.loc.gov/authorities/names/n82009583,,,,,,human,Anandagiri,Q2845312,Q28256
"Gāḍagīla, Janārdana Koṇḍadeva",former owner,,,,,,,,human,Janārdana Koṇḍadeva Gāḍagīla,Q113857033,Q28114
Trivikramapaṇḍita,author,,http://id.loc.gov/authorities/names/n79100731,,,,,,human,Trivikramapaṇḍita,Q124252951,Q28159
Jayalakṣmī,author,,,,,,,,,,,
"Gaṅgeśa, active 13th century",author,,http://id.loc.gov/authorities/names/n80138709,,,,,,human,Gangesha Upadhyaya,Q3635187,Q28119
"Karva, Lakṣmaṇabhaṭṭa",former owner,,,,,,,,,,,
"Pārthasārathimiśra, active 11th century",author,,http://id.loc.gov/authorities/names/n83131983,,,,,,human,Parthasarathi Mishra,Q112080969,Q28230
Raghudeva Nyāyālaṅkāra,author,,http://id.loc.gov/authorities/names/n89265298,,,,,,human,Raghudeva Nyāyālaṅkāra,Q124252920,Q28207
Keśava (Son of Hastākṣaragaṇeśa),scribe,,,,,,,,,,,
"Khare, Viṣṇubhaṭa",scribe,,,,,,,,,,,
Raghunātha Śiromaṇi,author,,http://id.loc.gov/authorities/names/n82001606,,,,,,human,Raghunatha Siromani,Q4387084,Q28163
"Mahadevabhaṭṭa, active 18th century",former owner,,http://id.loc.gov/authorities/names/n2018243956,,,,,,human,Mahadevabhaṭṭa,Q124252886,Q28123
Gaṇeśabhaṭṭa,former owner,,,,,,,,,,,
Viṣṇudatta Lohatīka,former owner,,,,,,,,,,,
"Citala, Lakṣmadītta",scribe,,,,,,,,,,,
Śaṅkarabhaṭṭa (Son of Nīlakaṇṭha),author,,http://id.loc.gov/authorities/names/n89129160,,,,,,human,Shankar Bhatta,Q124252978,Q28142
