place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Aleppo,,,,Aleppo,http://vocab.getty.edu/tgn/7002252,Q3095
"Iṣfahān?, Iran",,,,Isfahan;Iran,http://vocab.getty.edu/tgn/7017459;http://vocab.getty.edu/tgn/7000231,Q18350;Q2822
Avignon?,Avignon,http://vocab.getty.edu/tgn/7008799,Q4328,,,
A.H. 869 (1464),,,,,,
Germany or Italy and Prague or Austria,,,,Germany;Italy;Prague;Austria,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7006464;http://vocab.getty.edu/tgn/1000062,Q131;Q134;Q135;Q132
Prague,,,,Prague,http://vocab.getty.edu/tgn/7006464,Q135
Northern Italy,,,,Northern Italy,http://vocab.getty.edu/tgn/4005363,Q7507
Mexico,,,,Mexico,http://vocab.getty.edu/tgn/7005560,Q1312
"France, ca. 1490",,,,France,http://vocab.getty.edu/tgn/1000070,Q122
Bohemia,,,,Bohemia,http://vocab.getty.edu/tgn/7006470,Q7503
Piacenza,,,,Piacenza,http://vocab.getty.edu/tgn/7004939,Q4999
Bordeaux,,,,Bordeaux,http://vocab.getty.edu/tgn/7008161,Q7508
"Siena, Italy",,,,Siena;Italy,http://vocab.getty.edu/tgn/7011179;http://vocab.getty.edu/tgn/1000080,Q3651;Q134
"Gravesend?, England",,,,Gravesend;England,http://vocab.getty.edu/tgn/7011614;http://vocab.getty.edu/tgn/7002445,Q26526;Q133
France[?,France,http://vocab.getty.edu/tgn/1000070,Q122,,,
Cyprus or Venice?,Cyprus;Venice,http://vocab.getty.edu/tgn/1000112;http://vocab.getty.edu/tgn/7018159,Q7209;Q2823,,,
Rouen,,,,Rouen,http://vocab.getty.edu/tgn/7008929,Q1244
Paris,,,,Paris,http://vocab.getty.edu/tgn/7008038,Q136
Montalboddo?,,,,,,
"Berat, Albania?",Berat;Albania,http://vocab.getty.edu/tgn/7006419;http://vocab.getty.edu/tgn/7006417,Q8380;Q8378,,,
Saint-Geoire-en-Valdaine (France),,,,Saint-Geoire-en-Valdaine;France,http://vocab.getty.edu/tgn/1035337;http://vocab.getty.edu/tgn/1000070,Q8030;Q122
Wittenberg,,,,Wittenberg,http://vocab.getty.edu/tgn/7012349,Q3094
Valdenoceda (Spain),,,,Valdenoceda;Spain,http://vocab.getty.edu/tgn/7299846;http://vocab.getty.edu/tgn/1000095,Q6978;Q129
France or Germany,,,,France;Germany,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7000084,Q122;Q131
"London?, England",,,,London;England,http://vocab.getty.edu/tgn/7011781;http://vocab.getty.edu/tgn/7002445,Q3660;Q133
"Granada, 1589",,,,Granada,http://vocab.getty.edu/tgn/7007703,Q3081
Piran,,,,Piran,http://vocab.getty.edu/tgn/7012980,Q3656
Syria?,,,,Syria,http://vocab.getty.edu/tgn/1000140,Q3096
"Modena?, Italy",,,,Modena;Italy,http://vocab.getty.edu/tgn/7009565;http://vocab.getty.edu/tgn/1000080,Q4327;Q134
Germany or Bohemia,,,,Germany;Bohemia,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/7006470,Q131;Q7503
Friuli,,,,Friuli,http://vocab.getty.edu/tgn/7008895,Q5009
"Liège, Belgium",,,,Liege;Belgium,http://vocab.getty.edu/tgn/7007945;http://vocab.getty.edu/tgn/1000063,Q4992;Q1243
Terranuova Bracciolini,,,,Terranuova Bracciolini,http://vocab.getty.edu/tgn/1047093,Q6990
Ameglia,,,,Ameglia,http://vocab.getty.edu/tgn/7005369,Q5005
Madrid,,,,Madrid,http://vocab.getty.edu/tgn/7010413,Q7212
Brescia,,,,Brescia,http://vocab.getty.edu/tgn/7005764,Q7214
"Venice?, Italy",,,,Venice;Italy,http://vocab.getty.edu/tgn/7018159;http://vocab.getty.edu/tgn/1000080,Q2823;Q134
Iran,,,,Iran,http://vocab.getty.edu/tgn/7000231,Q2822
Paris?,,,,Paris,http://vocab.getty.edu/tgn/7008038,Q136
Avignon,,,,Avignon,http://vocab.getty.edu/tgn/7008799,Q4328
Provence or Spain,,,,Provence;Spain,http://vocab.getty.edu/tgn/7012209;http://vocab.getty.edu/tgn/1000095,Q128;Q129
Mantua,,,,Mantua,http://vocab.getty.edu/tgn/7005879,Q2824
Nola,,,,Nola,http://vocab.getty.edu/tgn/7004644,Q38261
Syria or Iraq,,,,Syria;Iraq,http://vocab.getty.edu/tgn/1000140;http://vocab.getty.edu/tgn/1000118,Q3096;Q3090
Germany or Austria,,,,Germany;Austria,http://vocab.getty.edu/tgn/7000084;http://vocab.getty.edu/tgn/1000062,Q131;Q132
Écija (Andalusia),,,,Écija;Andalusia,http://vocab.getty.edu/tgn/7007091;http://vocab.getty.edu/tgn/7024275,Q6991;Q3097
Lombardy,,,,Lombardy,http://vocab.getty.edu/tgn/7003237,Q809
Munich,,,,Munich,http://vocab.getty.edu/tgn/7004333,Q5010
Città di Castello (Italy),,,,Città di Castello;Italy,http://vocab.getty.edu/tgn/7005039;http://vocab.getty.edu/tgn/1000080,Q7796;Q134
Spain or France,,,,Spain;France,http://vocab.getty.edu/tgn/1000095;http://vocab.getty.edu/tgn/1000070,Q129;Q122
Milan,,,,Milan,http://vocab.getty.edu/tgn/7005903,Q7499
Spain?,,,,Spain,http://vocab.getty.edu/tgn/1000095,Q129
England?,,,,England,http://vocab.getty.edu/tgn/7002445,Q133
England and Spain,,,,England;Spain,http://vocab.getty.edu/tgn/7002445;http://vocab.getty.edu/tgn/1000095,Q133;Q129
"Mainz?, Germany",,,,Mainz;Germany,http://vocab.getty.edu/tgn/7004449;http://vocab.getty.edu/tgn/7000084,Q3082;Q131
"Egypt, Iraq, or Syria",,,,Egypt;Iraq;Syria,http://vocab.getty.edu/tgn/7016833;http://vocab.getty.edu/tgn/1000118;http://vocab.getty.edu/tgn/1000140,Q3086;Q3090;Q3096
Naples and Mirabella,,,,Naples;Mirabella,http://vocab.getty.edu/tgn/7004474;http://vocab.getty.edu/tgn/7055648,Q3099;Q7211
Bologna,,,,Bologna,http://vocab.getty.edu/tgn/7004847,Q3087
Cremona,,,,Cremona,http://vocab.getty.edu/tgn/7005868,Q3088
Vicenza,,,,Vicenza,http://vocab.getty.edu/tgn/7003204,Q7215
"Arras, France",,,,Arras;France,http://vocab.getty.edu/tgn/7008468;http://vocab.getty.edu/tgn/1000070,Q7504;Q122
Metz?,Metz,http://vocab.getty.edu/tgn/7008418,Q6981,,,
Burgundy (France),,,,Burgundy;France,http://vocab.getty.edu/tgn/7029372;http://vocab.getty.edu/tgn/1000070,Q7797;Q122
Italy or France,,,,Italy;France,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/1000070,Q134;Q122
Netherlands,,,,Netherlands,http://vocab.getty.edu/tgn/7016845,Q651
"Buchau, Germany",,,,Buchau;Germany,http://vocab.getty.edu/tgn/7201751;http://vocab.getty.edu/tgn/7000084,Q3089;Q131
Belgium,,,,Belgium,http://vocab.getty.edu/tgn/1000063,Q1243
Tuscany,,,,Tuscany,http://vocab.getty.edu/tgn/7009760,Q860
"Herat, Afghanistan",,,,Herat;Afghanistan,http://vocab.getty.edu/tgn/7002243;http://vocab.getty.edu/tgn/7016612,Q3092;Q3101
Reims,,,,Rheims,http://vocab.getty.edu/tgn/7011060,Q8376
Pinerolo,,,,Pinerolo,http://vocab.getty.edu/tgn/7005728,Q4988
Luxembourg,,,,Luxembourg,http://vocab.getty.edu/tgn/7003514,Q4332
Ferrara,,,,Ferrara,http://vocab.getty.edu/tgn/7004264,Q1299
Valencia,,,,Valencia,http://vocab.getty.edu/tgn/7008769,Q1298
Zaragoza,,,,Zaragoza,http://vocab.getty.edu/tgn/7008813,Q4330
"Pieve de Cadore, Italy",,,,Pieve di Cadore;Italy,http://vocab.getty.edu/tgn/7003332;http://vocab.getty.edu/tgn/1000080,Q5011;Q134
Benelux countries?,,,,Low Countries,http://vocab.getty.edu/tgn/7029439,Q1115
Leipzig?,Leipzig,http://vocab.getty.edu/tgn/7017167,Q6988,,,
Padua,,,,Padua,http://vocab.getty.edu/tgn/7003085,Q3091
Baghdād,,,,Baghdad,http://vocab.getty.edu/tgn/7002482,Q11612
Samarqand,,,,Samarkand,http://vocab.getty.edu/tgn/7012290,Q3098
Pisa?,Pisa,http://vocab.getty.edu/tgn/7006082,Q7207,,,
Ethiopia,,,,Ethiopia,http://vocab.getty.edu/tgn/7000489,Q3655
"St. Dié, France",,,,Saint-Dié;France,http://vocab.getty.edu/tgn/7009618;http://vocab.getty.edu/tgn/1000070,Q4998;Q122
"Lorraine?, France",,,,Lorraine;France,http://vocab.getty.edu/tgn/7024272;http://vocab.getty.edu/tgn/1000070,Q1289;Q122
Naples?,,,,Naples,http://vocab.getty.edu/tgn/7004474,Q3099
Prague?,Prague,http://vocab.getty.edu/tgn/7006464,Q135,,,
"Bamberg?, Germany",,,,Bamberg;Germany,http://vocab.getty.edu/tgn/7004325;http://vocab.getty.edu/tgn/7000084,Q6976;Q131
Catania,,,,Catania,http://vocab.getty.edu/tgn/7003947,Q6984
Rothenburg ob der Tauber,,,,Rothenburg ober der Tauber,http://vocab.getty.edu/tgn/7005188,Q5003
Naples,,,,Naples,http://vocab.getty.edu/tgn/7004474,Q3099
A.H. 804 (1402),,,,,,
Trento (Italy),,,,Trento;Italy,http://vocab.getty.edu/tgn/7005128;http://vocab.getty.edu/tgn/1000080,Q4326;Q134
North Africa,,,,North Africa,http://vocab.getty.edu/tgn/7016886,Q3652
Genoa,,,,Genoa,http://vocab.getty.edu/tgn/7008546,Q7800
France or Flanders,,,,France;Flanders,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/7024097,Q122;Q126
Monterubbiano,,,,Monterubbiano,http://vocab.getty.edu/tgn/1045558,Q7502
"Verona?, Italy",,,,Verona;Italy,http://vocab.getty.edu/tgn/7003262;http://vocab.getty.edu/tgn/1000080,Q124;Q134
Cairo,,,,Cairo,http://vocab.getty.edu/tgn/7001215,Q3093
"Vigliano, Italy",,,,Vigliano;Italy,http://vocab.getty.edu/tgn/7037093;http://vocab.getty.edu/tgn/1000080,Q7506;Q134
Belgium?,,,,Belgium,http://vocab.getty.edu/tgn/1000063,Q1243
Tarn-et-Garonne,,,,Département de Tarn-et-Garonne,http://vocab.getty.edu/tgn/7003218,Q8031
Drayton or Chacombe,,,,Drayton;Chacombe,http://vocab.getty.edu/tgn/7031272;http://vocab.getty.edu/tgn/7030792,Q8379;Q8377
Eichstätt,,,,Landkreis Eichstätt,http://vocab.getty.edu/tgn/7077299,Q4993
Tarn,,,,Département du Tarn,http://vocab.getty.edu/tgn/7003217,Q5483
Austria or Germany,,,,Austria;Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7000084,Q132;Q131
Armenia,,,,Armenia,http://vocab.getty.edu/tgn/7006651,Q791
Morocco?,,,,Morocco,http://vocab.getty.edu/tgn/1000179,Q3657
Pontigny,,,,Pontigny,http://vocab.getty.edu/tgn/7008254,Q7505
"Città di Castello, Italy",,,,Città di Castello;Italy,http://vocab.getty.edu/tgn/7005039;http://vocab.getty.edu/tgn/1000080,Q7796;Q134
Valdenoceda,,,,Valdenoceda,http://vocab.getty.edu/tgn/7299846,Q6978
"Florence?, Italy",,,,Florence;Italy,http://vocab.getty.edu/tgn/7000457;http://vocab.getty.edu/tgn/1000080,Q3084;Q134
Siena?,Siena,http://vocab.getty.edu/tgn/7011179,Q3651,,,
Ṿenetsiʾa,,,,Venice,http://vocab.getty.edu/tgn/7018159,Q2823
"Italy, 1502-ca. 1599",,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
Rome?,Rome,http://vocab.getty.edu/tgn/7000874,Q123,,,
"Venice or Ferrara?, Italy",,,,Venice;Ferrara;Italy,http://vocab.getty.edu/tgn/7018159;http://vocab.getty.edu/tgn/7004264;http://vocab.getty.edu/tgn/1000080,Q2823;Q1299;Q134
"Avignon?, France",,,,Avignon;France,http://vocab.getty.edu/tgn/7008799;http://vocab.getty.edu/tgn/1000070,Q4328;Q122
Lombardy?,Lombardy,http://vocab.getty.edu/tgn/7003237,Q809,,,
Palencia,,,,Palencia,http://vocab.getty.edu/tgn/7008231,Q7792
Bavaria or Austria?,Bavaria;Austria,http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/1000062,Q1303;Q132,,,
Augsburg,,,,Augsburg,http://vocab.getty.edu/tgn/7004324,Q4997
Ancona (Italy),,,,Ancona;Italy,http://vocab.getty.edu/tgn/7003980;http://vocab.getty.edu/tgn/1000080,Q7511;Q134
Granada?,Granada,http://vocab.getty.edu/tgn/7007703,Q3081,,,
Andalusia?,Andalusia,http://vocab.getty.edu/tgn/7024275,Q3097,,,
Saluzzo?,Saluzzo,http://vocab.getty.edu/tgn/7005648,Q7210,,,
"Šibenik, Croatia",,,,Šibenik;Croatia,http://vocab.getty.edu/tgn/7015447;http://vocab.getty.edu/tgn/7006663,Q130;Q137
France or Spain,,,,France;Spain,http://vocab.getty.edu/tgn/1000070;http://vocab.getty.edu/tgn/1000095,Q122;Q129
Turkey?,,,,Turkey,http://vocab.getty.edu/tgn/1000144,Q3079
Elchingen,,,,Elchingen,http://vocab.getty.edu/tgn/4003589,Q6989
"Ingolstadt (Bavaria, Germany)",,,,Ingolstadt;Bavaria;Germany,http://vocab.getty.edu/tgn/7017035;http://vocab.getty.edu/tgn/7003669;http://vocab.getty.edu/tgn/7000084,Q3653;Q1303;Q131
Stagno,,,,Stagno,http://vocab.getty.edu/tgn/7038830,Q7206
Egypt or Syria?,,,,Egypt;Syria,http://vocab.getty.edu/tgn/7016833;http://vocab.getty.edu/tgn/1000140,Q3086;Q3096
"Valladolid?, Spain",,,,Valladolid;Spain,http://vocab.getty.edu/tgn/7008771;http://vocab.getty.edu/tgn/1000095,Q6979;Q129
Eastern Mediterranean,,,,Eastern Mediterranean,http://vocab.getty.edu/tgn/7593196,Q3658
Leipzig or Erfurt?,Leipzig;Erfurt,http://vocab.getty.edu/tgn/7017167;http://vocab.getty.edu/tgn/7024031,Q6988;Q6983,,,
"Lyon?, France",,,,Lyon;France,http://vocab.getty.edu/tgn/7008772;http://vocab.getty.edu/tgn/1000070,Q6985;Q122
Sicily,,,,Sicily,http://vocab.getty.edu/tgn/7003122,Q6993
Neustadt an der Orla (Germany),,,,Neustadt;Germany,http://vocab.getty.edu/tgn/1037375;http://vocab.getty.edu/tgn/7000084,Q5008;Q131
Passau?,Passau,http://vocab.getty.edu/tgn/7004407,Q5007,,,
Rheinhessen-Pfalz?,Rheinhessen-Pfalz,http://vocab.getty.edu/tgn/7004453,Q4994,,,
"Teruel, Spain",,,,Teruel;Spain,http://vocab.getty.edu/tgn/7008717;http://vocab.getty.edu/tgn/1000095,Q6982;Q129
"Cologne?, Germany",,,,Cologne;Germany,http://vocab.getty.edu/tgn/7004446;http://vocab.getty.edu/tgn/7000084,Q4329;Q131
Parma,,,,Parma,http://vocab.getty.edu/tgn/7004942,Q4331
Ancona?,Ancona,http://vocab.getty.edu/tgn/7003980,Q7511,,,
"Nuremberg?, Germany",,,,Nuremberg;Germany,http://vocab.getty.edu/tgn/7004334;http://vocab.getty.edu/tgn/7000084,Q3080;Q131
Arles,,,,Arles,http://vocab.getty.edu/tgn/7008775,Q8029
Austria or Southern Germany,,,,Austria;Southern Germany,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/4004316,Q132;Q4333
Italy and England,,,,Italy;England,http://vocab.getty.edu/tgn/1000080;http://vocab.getty.edu/tgn/7002445,Q134;Q133
Yemen,,,,Yemen,http://vocab.getty.edu/tgn/7000261,Q2825
"Basel-Landschaft?, Switzerland",,,,Basle-Country;Switzerland,http://vocab.getty.edu/tgn/7003740;http://vocab.getty.edu/tgn/7011731,Q5002;Q652
Cancon,,,,Cancon,http://vocab.getty.edu/tgn/1032406,Q7794
Castello di Romena,,,,Pratovecchio,http://vocab.getty.edu/tgn/5002845,Q7208
Reggio Emilia,,,,Reggio nell'Emilia,http://vocab.getty.edu/tgn/7005020,Q6986
Regensburg,,,,Regensburg,http://vocab.getty.edu/tgn/7013496,Q5000
"London, ca. 1407, 1427",,,,London,http://vocab.getty.edu/tgn/7011781,Q3660
Austria,,,,Austria,http://vocab.getty.edu/tgn/1000062,Q132
Perugia,,,,Perugia,http://vocab.getty.edu/tgn/7000526,Q3083
Austria or Hungary,,,,Austria;Hungary,http://vocab.getty.edu/tgn/1000062;http://vocab.getty.edu/tgn/7006278,Q132;Q19897
Nuremberg,,,,Nuremberg,http://vocab.getty.edu/tgn/7004334,Q3080
