File,subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
20250313-subjects-penn-marcxml-combined.csv,Banks and banking--Italy,0,a--z,http://id.loc.gov/authorities/subjects/sh2008117466,,,,Banks and banking;Italy,http://id.worldcat.org/fast/826867;http://id.worldcat.org/fast/1204565,Q2801;Q249
20250313-subjects-penn-marcxml-combined.csv,Civil procedure--Italy,0,a--z,http://id.loc.gov/authorities/subjects/sh2008100932,,,,Civil procedure;Italy,http://id.worldcat.org/fast/862585;http://id.worldcat.org/fast/1204565,Q4980;Q249
20250313-subjects-penn-marcxml-combined.csv,Civil procedure,fast,a,http://id.worldcat.org/fast/862585,,,,Civil procedure,http://id.worldcat.org/fast/862585,Q4980
20250313-subjects-penn-marcxml-combined.csv,Genealogy,fast,a,http://id.worldcat.org/fast/939652,,,,Genealogy,http://id.worldcat.org/fast/939652,Q38912
20250313-subjects-penn-marcxml-combined.csv,France--Kings and rulers--Genealogy--Early works to 1800,0,a--x--v--v,,,,,France;Kings and rulers;Genealogy;Early works,http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/987694;http://id.worldcat.org/fast/1423818;http://id.worldcat.org/fast/1411636,Q152;Q305;Q183;Q300
20250313-subjects-penn-marcxml-combined.csv,Great Britain--Kings and rulers--Genealogy--Early works to 1800,0,a--x--x--v,,,,,Great Britain;Kings and rulers--Genealogy;Early works,http://id.worldcat.org/fast/1204623;http://id.worldcat.org/fast/1199517;http://id.worldcat.org/fast/1411636,Q179;Q8333;Q300
20250313-subjects-penn-marcxml-combined.csv,Judgment Day--Early works to 1800,0,a--v,,,,,Judgment Day;Early works,http://id.worldcat.org/fast/984594;http://id.worldcat.org/fast/1411636,Q7418;Q300
20250313-subjects-penn-marcxml-combined.csv,"Latin poetry, Medieval and modern--Italy--Early works to 1800",0,a--z--v,,,,,"Latin poetry, Medieval and modern;Italy;Early works",http://id.worldcat.org/fast/993385;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1411636,Q4942;Q249;Q300
20250313-subjects-penn-marcxml-combined.csv,Judgment Day,fast,a,http://id.worldcat.org/fast/984594,,,,Judgment Day,http://id.worldcat.org/fast/984594,Q7418
20250313-subjects-penn-marcxml-combined.csv,Astronomy--Early works to 1800,0,a--v,,,,,Astronomy;Early works,http://id.worldcat.org/fast/819673;http://id.worldcat.org/fast/1411636,Q166;Q300
20250313-subjects-penn-marcxml-combined.csv,Arabic language--Syntax,0,a--x,http://id.loc.gov/authorities/subjects/sh2007101235,,,,Arabic language--Syntax,http://id.worldcat.org/fast/812441,Q3542
20250313-subjects-penn-marcxml-combined.csv,Arabic language--Syntax,fast,a--x,http://id.worldcat.org/fast/812441,,,,Arabic language--Syntax,http://id.worldcat.org/fast/812441,Q3542
20250313-subjects-penn-marcxml-combined.csv,Arabic language--Grammar,0,a--x,http://id.loc.gov/authorities/subjects/sh86000279,,,,Arabic language--Grammar,http://id.worldcat.org/fast/812341,Q3523
20250313-subjects-penn-marcxml-combined.csv,Arabic language--Grammar,fast,a--x,http://id.worldcat.org/fast/812341,,,,Arabic language--Grammar,http://id.worldcat.org/fast/812341,Q3523
20250313-subjects-penn-marcxml-combined.csv,Weather forecasting,fast,a,http://id.worldcat.org/fast/1173142,,,,Weather forecasting,http://id.worldcat.org/fast/1173142,Q3517
20250313-subjects-penn-marcxml-combined.csv,Weather forecasting--Early works to 1800,0,a--v,,,,,Weather forecasting;Early works,http://id.worldcat.org/fast/1173142;http://id.worldcat.org/fast/1411636,Q3517;Q300
