File,subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
20250313-named-subjects-penn-marcxml-combined.csv,"Zati, Matteo di Bernardo",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Pieri, Agostino",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Pieri, Matteo",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Rucellai, Donato",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Filippo, Apollonia di",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Piglis, Girolamo de",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Amedei, Bartolomeo",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Requesens, Giuseppe de'",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Requesens, Berengario de'",0,a,,,,,,,
20250313-named-subjects-penn-marcxml-combined.csv,"Alfonso V, King of Aragon, 1396-1458",0,a;b;c;d,http://id.loc.gov/authorities/names/n83234911,,,,"Alfonso V, King of Aragon, 1396-1458",http://id.worldcat.org/fast/122728,Q6906
20250313-named-subjects-penn-marcxml-combined.csv,"Alfonso V, King of Aragon, 1396-1458",fast,a;b;c;d,http://id.worldcat.org/fast/122728,,,,"Alfonso V, King of Aragon, 1396-1458",http://id.worldcat.org/fast/122728,Q6906
20250313-named-subjects-penn-marcxml-combined.csv,"Philip III, King of Spain, 1578-1621",0,a;b;c;d,http://id.loc.gov/authorities/names/n85049399,,,,"Philip III, King of Spain, 1578-1621",http://id.worldcat.org/fast/166735,Q6859
20250313-named-subjects-penn-marcxml-combined.csv,"Philip III, King of Spain, 1578-1621",fast,a;b;c;d,http://id.worldcat.org/fast/166735,,,,"Philip III, King of Spain, 1578-1621",http://id.worldcat.org/fast/166735,Q6859
20250313-named-subjects-penn-marcxml-combined.csv,"Philip IV, King of Spain, 1605-1665",0,a;b;c;d,http://id.loc.gov/authorities/names/n81139456,,,,"Philip IV, King of Spain, 1605-1665",http://id.worldcat.org/fast/83126,Q6846
20250313-named-subjects-penn-marcxml-combined.csv,"Philip IV, King of Spain, 1605-1665",fast,a;b;c;d,http://id.worldcat.org/fast/83126,,,,"Philip IV, King of Spain, 1605-1665",http://id.worldcat.org/fast/83126,Q6846
