language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
In Sanskrit,,,,,Sanskrit,Q11059,Q27494
In Sanskrit (Devanāgarī),,,,,Sanskrit,Q11059,Q27494
In Marathi and Sanskrit,,,,,Marathi;Sanskrit,Q1571;Q11059,Q27508;Q27494
In Awadhi,,,,,Awadhi,Q29579,Q27502
In Marwari,,,,,Marwari,Q56312,Q27504
In Pali,,,,,Pali,Q36727,Q27511
In Braj,,,,,Braj Bhasha,Q35243,Q27513
In Sanskrit and Hindi,,,,,Sanskrit;Hindi,Q11059;Q1568,Q27494;Q18354
In Sanskrit and Marathi,,,,,Sanskrit;Marathi,Q11059;Q1571,Q27494;Q27508
In Panjabi,,,,,Punjabi,Q58635,Q27505
In Sanskrit and Nepali,,,,,Sanskrit;Nepali,Q11059;Q33823,Q27494;Q27514
In Sanskrit (Devanāgari),,,,,Sanskrit,Q11059,Q27494
In Hindi and Sanskrit,,,,,Hindi;Sanskrit,Q1568;Q11059,Q18354;Q27494
In Hindi,,,,,Hindi,Q1568,Q18354
In Sanskrit with a closing prayer in Marathi,,,,,Sanskrit;Marathi,Q11059;Q1571,Q27494;Q27508
Persian,,,,,Persian,Q9168,Q120
In Nepali,,,,,Nepali,Q33823,Q27514
In Prakrit,,,,,Prakrit,Q192170,Q27516
In Pali and Khmer,,,,,Pali;Khmer,Q36727;Q9205,Q27511;Q27499
In Mahārāṣṭrī Prakrit (?),,,,,Maharashtri,Q2586773,Q27497
"In Sanskrit, Tamil, and Telugu",,,,,Sanskrit;Tamil;Telugu,Q11059;Q5885;Q8097,Q27494;Q27498;Q27503
In Prakrit and Gujarati,,,,,Prakrit;Gujarati,Q192170;Q5137,Q27516;Q27495
In Sinhalese,,,,,Sinhala,Q13267,Q27509
In Hindi and Urdu,,,,,Hindi;Urdu,Q1568;Q1617,Q18354;Q27496
san,,,,,Sanskrit,Q11059,Q27494
In Sanskrit and Urdu,,,,,Sanskrit;Urdu,Q11059;Q1617,Q27494;Q27496
In Braj and Sanskrit,,,,,Braj Bhasha;Sanskrit,Q35243;Q11059,Q27513;Q27494
In Pali and Thai,,Pali;Thai,Q36727;Q9217,Q27511;Q27515,,,
In Thai and Pali,,,,,Thai;Pali,Q9217;Q36727,Q27515;Q27511
In Persian with colophon in Arabic,,,,,Persian;Arabic,Q9168;Q13955,Q120;Q118
In Sanskrit (Newari),,,,,Sanskrit,Q11059,Q27494
In Marathi,,,,,Marathi,Q1571,Q27508
In Sanskrit and Prakrit,,,,,Sanskrit;Prakrit,Q11059;Q192170,Q27494;Q27516
In Sanskrit and Gujurati,,,,,Sanskrit;Gujarati,Q11059;Q5137,Q27494;Q27495
In Sanskrit and Gujarati,,,,,Sanskrit;Gujarati,Q11059;Q5137,Q27494;Q27495
In Hindi and Bengali,,,,,Hindi;Bangla,Q1568;Q9610,Q18354;Q27506
In Awadhi and Braj,,,,,Awadhi;Braj Bhasha,Q29579;Q35243,Q27502;Q27513
"In Sinhalese, Jaffna Tamil, and Malayalam",,,,,Sinhala;Jaffna Tamil dialect;Malayalam,Q13267;Q12988285;Q36236,Q27509;Q27518;Q27500
"In Jaina Prakrit, Sanskrit, and Apabhramsa",,,,,Prakrit;Sanskrit;Apabhraṃśa,Q192170;Q11059;Q616419,Q27516;Q27494;Q27507
In Rajasthani,,,,,Rajasthani,Q13196,Q27510
