title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
Arabic and Hebrew writing,כתיבת-ערבית עם עברית,,,Hebrew text;Arabic text,Q75984;Q38349,,
Court document (draft),,,,Document,Q8301,,
"Laudatory poem for Śimḥah and Netanʹel, sons of Mesabar",,,,Poetry,Q1330,,
Lists of beneficiaries for the poll tax,,,,List of names,Q7419,,
"Mishneh Torah, Sefer ha-madaʹ, Hilkhot Talmud Torah, parts IV, 7-V, 3",,Hilkhot Talmud Torah,,Mishneh Torah,Q39762,,
Marriage contract of Esther,,,,Ketubah,Q76000,,
Business letter to (Yaḥiye) Nahray ben Nissim,,,,Letter,Q1454,,
Yesod ʻolam,,,,,,Yesod ʻolam,Q3710
Ḳetubah,,,,Ketubah,Q76000,,
"Haftarot for Minḥah of Yom Kippur, First day of Sukkoth, with Targum Pseudo-Jonathan",,Bible,,Haftarah,Q44119,,
Mikhtav bo sheʾelot,מכתב בו שאלות,,,Hebrew text,Q75984,,
"Maḥazor for Yom Kippur, Neʻilah",,,,Hebrew text,Q75984,,
"Letter, 8 May 1768, Leipzig to David Berlin","מכתב, כ""א אייר תקכ""ח, לייפציג אל דוד בערלין",,,Letter,Q1454,,
Judeo-Arabic essay on biblical homonyms,,,,Lexicographical text,Q75986,,
Ethical sermon for the weekly portion Emor,,,,Sermons,Q1400,,
Marriage contract of Ḳarimah daughter of R. Natsr (Elʻazar),,,,Ketubah,Q76000,,
Responsum on Talmudic passages on usury,,,,Responsa,Q75989,,
Mahzor for Rosh ha-Shanah; rite of Carpentras,מחזור לראש השנה,Maḥzor (Carpentras),מחזור מנהג קרפינטרץ,Maḥzor,Q3712,,
"Prayer book with instructions in Judeo-Arabic, parts of Evening Service and Morning Service, Sabbath",,Arvit (Sabbath),,Prayer book,Q1486,,
Seliḥot for the Tenth of Tevet,,Seliḥot,,Seliḥot,Q76013,,
Matsdar for the Sabbath of the reading Aḥare mot,,,,Hebrew text,Q75984,,
Baraita di-melekhet ha-mishkan 6-10,,"Baraita de-melekhet ha-mishkan, VI-X.",,Hebrew text,Q75984,,
Hebrew bookseller's catalog,רשימת-ספרים של מוכר ספרים,,,Bookseller's catalog,Q76596,,
"Commentary on Shulḥan ʹarukh, Oraḥ ḥayim",,,,Commentary on Shulḥan ʻarukh,Q76016,,
Pesiḳta rabata,פסיקתא רבתא,Pesikta rabbati,פסיקתא רבתי,,,Pesikta rabbati,Q3675
Decreto di banco feneratitio,,,,,,Decree,Q8177
"Solomon Adret's novellae on the aggadot of the Talmud, Berakhot 35b-44b",,Perushe ha-hagadot (Berakhot 35b-45b),,Novellas,Q38386,,
Part of a collection of Seliḥot for Yom Kippur,,Seliḥot,,Seliḥot,Q76013,,
