subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Prayer,0,a,http://id.loc.gov/authorities/subjects/sh85106113,Prayer,http://id.worldcat.org/fast/1074680,Q39047,,,
Revelation on Sinai,fast,a,http://id.worldcat.org/fast/1096474,Revelation on Sinai,http://id.worldcat.org/fast/1096474,Q76486,,,
Revelation on Sinai--Poetry,0,a--v,,Revelation on Sinai;Poetry,http://id.worldcat.org/fast/1096474;http://id.worldcat.org/fast/1423828,Q76486;Q247,,,
Piyutim--Texts,0,a--v,,Piyutim;Texts,http://id.worldcat.org/fast/1064963;http://id.worldcat.org/fast/1423705,Q3529;Q3066,,,
Slaughtering and slaughter-houses,0,a,http://id.loc.gov/authorities/subjects/sh85123301,Slaughtering and slaughter-houses,http://id.worldcat.org/fast/1120361,Q76488,,,
Slaughtering and slaughter-houses,fast,a,http://id.worldcat.org/fast/1120361,Slaughtering and slaughter-houses,http://id.worldcat.org/fast/1120361,Q76488,,,
Judaism--Customs and practices,0,a--x,,,,,Judaism--Customs and practices,http://id.worldcat.org/fast/984294,Q55290
Berit milah,0,a,,Berit milah,http://id.worldcat.org/fast/830733,Q74952,,,
Judaïsme--Coutumes et pratiques,6,a--x,(CaQQLa)201-0030740,Judaism--Customs and practices,http://id.worldcat.org/fast/984294,Q55290,,,
Berit milah,6,a,(CaQQLa)201-0330532,Berit milah,http://id.worldcat.org/fast/830733,Q74952,,,
Berit milah,fast,a,(OCoLC)fst00830733,Berit milah,http://id.worldcat.org/fast/830733,Q74952,,,
"Manuscripts, Hebrew--Italy--19th century--Specimens",0,a--z--y--v,,"Manuscripts, Hebrew;Italy;Nineteenth century;Specimens",http://id.worldcat.org/fast/1008360;http://id.worldcat.org/fast/1204565;http://id.worldcat.org/fast/1037841;http://id.worldcat.org/fast/1423861,Q150;Q249;Q3538;Q239,,,
Benediction--Judaism,0,a--x,http://id.loc.gov/authorities/subjects/sh2007101937,Benediction--Judaism,http://id.worldcat.org/fast/1766654,Q75483,,,
Benediction--Judaism,fast,a--x,http://id.worldcat.org/fast/1766654,Benediction--Judaism,http://id.worldcat.org/fast/1766654,Q75483,,,
Ketubah--Italy--Ancona--Specimens,0,a--z--z--v,,Ketubah;Italy--Ancona;Specimens,http://id.worldcat.org/fast/986963;http://id.worldcat.org/fast/1207342;http://id.worldcat.org/fast/1423861,Q74962;Q6970;Q239,,,
Ancona (Italy),0,a,http://id.loc.gov/authorities/names/n80001338,Italy--Ancona,http://id.worldcat.org/fast/1207342,Q6970,,,
Promissory notes,0,a,http://id.loc.gov/authorities/subjects/sh85107416,Promissory notes,http://id.worldcat.org/fast/1078907,Q76490,,,
Promissory notes,fast,a,http://id.worldcat.org/fast/1078907,Promissory notes,http://id.worldcat.org/fast/1078907,Q76490,,,
