subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
"ʻArus ben Yosef, 11th/12th century--Correspondence",0,a;d--v,,Correspondence,http://id.worldcat.org/fast/2003288,Q5829,,,
Salamah ben Musa ben Yitsḥaḳ--Correspondence,0,a--v,,Correspondence,http://id.worldcat.org/fast/2003288,Q5829,,,
Abu Zekharyah Yehudah ben Mosheh--Correspondence,0,a--v,,Correspondence,http://id.worldcat.org/fast/2003288,Q5829,,,
"Segel, Aharon Mosheh Zalman, Ortsrabbiner (Friedrichstadt), active 1730?-1770?.--Knowledge and learning",4,a;c;d--x,,,,,,,
"Tsevi-Hirsch ben Elḥanan, (Altona), active 1770.--Trials, litigation, etc",4,a;c;d--x,,"Trials, litigation, etc.",http://id.worldcat.org/fast/1423712,Q38749,,,
"Mosheh b. Barukh ha-levi, (Altona), active 1770.--Trials, litigation, etc",4,a;c;d--x,,"Trials, litigation, etc.",http://id.worldcat.org/fast/1423712,Q38749,,,
"Bible. Leviticus, XXI, 17",0,a;p,,Bible. Leviticus,http://id.worldcat.org/fast/1892925,Q38603,,,
Blessing of the moon,0,a,http://id.loc.gov/authorities/names/n90710512,Blessing of the moon,http://id.worldcat.org/fast/1376708,Q76222,,,
Blessing of the moon,fast,a,http://id.worldcat.org/fast/1376708,Blessing of the moon,http://id.worldcat.org/fast/1376708,Q76222,,,
Galen,0,a,http://id.loc.gov/authorities/names/n79059644,,,,Galen,http://id.worldcat.org/fast/36414,Q38659
Galen,fast,a,http://id.worldcat.org/fast/36414,,,,Galen,http://id.worldcat.org/fast/36414,Q38659
Avraham ben Tsedaḳah--Marriage,0,a--x,,Marriage,http://id.worldcat.org/fast/1010443,Q3553,,,
"ʹAli ben Yeḥezḳel, ha-Kohen, 11th century--Correspondence",0,a;c;d--v,,Correspondence,http://id.worldcat.org/fast/2003288,Q5829,,,
"ʹAli ben Ḥayim, ha-Kohen, 11th century--Correspondence",0,a;c;d--v,,Correspondence,http://id.worldcat.org/fast/2003288,Q5829,,,
Yehudah ben Seʹadyah. 11th century,0,a;d,,,,,,,
"Yehudah ben Sigmar, 11th century",0,a;d,,,,,,,
"Turfa bat ʹAmram--Trials, litigation, etc",0,a--v,,"Trials, litigation, etc.",http://id.worldcat.org/fast/1423712,Q38749,,,
