language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
In Latin,,,,,Latin,Q397,Q113
Latin,,,,,Latin,Q397,Q113
"Middle High German, Rhenish (Middle Franconian) dialect",,,,,Middle High German;Rhine Franconian,Q837985;Q707007,Q115;Q7802
Italian,,,,,Italian,Q652,Q116
"Latin, with a few documents in Italian",,,,,Latin;Italian,Q397;Q652,Q113;Q116
Hebrew,,,,,Hebrew,Q9288,Q117
In Italian and Latin,,,,,Italian;Latin,Q652;Q397,Q116;Q113
Latin and Italian,,,,,Latin;Italian,Q397;Q652,Q113;Q116
"Latin, with one leaf in Italian (f. 2r)",,,,,Latin;Italian,Q397;Q652,Q113;Q116
German,,,,,German,Q188,Q112
Italian and Latin,,,,,Italian;Latin,Q652;Q397,Q116;Q113
Latin and Low German,,,,,Latin;Low German,Q397;Q25433,Q113;Q5013
Hebrew (vocalized),,,,,Hebrew,Q9288,Q117
"Latin, with some words in German (f. 54r, 55r, 89r)",,,,,Latin;German,Q397;Q188,Q113;Q112
In Dutch,,,,,Dutch,Q7411,Q793
"In Latin, with a few words in Italian",,,,,Latin;Italian,Q397;Q652,Q113;Q116
German; liturgical text on covers in Latin,,,,,German;Latin,Q188;Q397,Q112;Q113
Arabic,,,,,Arabic,Q13955,Q118
"Latin, with short passages in German",,,,,Latin;German,Q397;Q188,Q113;Q112
lat,,,,,Latin,Q397,Q113
"In Latin, with later summaries in French (verso)",,,,,Latin;French,Q397;Q150,Q113;Q111
In Middle French,,,,,Middle French,Q1473289,Q110
Middle French,,,,,Middle French,Q1473289,Q110
In Latin and Italian,,,,,Latin;Italian,Q397;Q652,Q113;Q116
"Italian, in Tuscan dialect",,,,,Italian;Tuscan,Q652;Q1990745,Q116;Q3661
"In Coptic, with a few marginal notations of later date in Arabic and German",,,,,Coptic;Arabic;German,Q36155;Q13955;Q188,Q4335;Q118;Q112
"Some items in Latin, some in Italian",,,,,Latin;Italian,Q397;Q652,Q113;Q116
"In Latin, with German words (f. 2r-51r)",,,,,Latin;German,Q397;Q188,Q113;Q112
"Italian, probably Tuscan, with some prayers in Latin",,,,,Italian;Tuscan;Latin,Q652;Q1990745;Q397,Q116;Q3661;Q113
Spanish,,,,,Spanish,Q1321,Q114
"Latin, with a few headings in French",,,,,Latin;French,Q397;Q150,Q113;Q111
"Latin, with some French translations in the first conjugation table (f. 8r-9r)",,,,,Latin;French,Q397;Q150,Q113;Q111
"Latin, with a few notes in Italian",,,,,Latin;Italian,Q397;Q652,Q113;Q116
Latin and French,,,,,Latin;French,Q397;Q150,Q113;Q111
"German, with some French on two leaves (f. 153-154)",,,,,German;French,Q188;Q150,Q112;Q111
"Latin, with one section (f. 267r-272r) and some recipes, notes, and names in Italian",,,,,Latin;Italian,Q397;Q652,Q113;Q116
Persian,,,,,Persian,Q9168,Q120
"Latin, with calendar and accessory texts in French",,,,,Latin;French,Q397;Q150,Q113;Q111
"In Italian, with a few words in Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
"In Italian, with notarial signatures in Latin",,,,,Italian;Latin,Q652;Q397,Q116;Q113
Written in Latin with a small amount of Italian (f. 91r-94v),,,,,Latin;Italian,Q397;Q652,Q113;Q116
"Latin, with occasional paragraphs in Italian",,,,,Latin;Italian,Q397;Q652,Q113;Q116
"Middle High German, with some Latin",,,,,Middle High German;Latin,Q837985;Q397,Q115;Q113
"Italian, in the Venetian dialect",,,,,Italian;Venetian,Q652;Q32724,Q116;Q3662
