File,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
20250415-titles-fordham-mets-legacy-enriched.csv,Metamorphoses,,,,,,Metamorphoses,Q17583
20250415-titles-fordham-mets-legacy-enriched.csv,Epistulae Morales ad Lucilium,,,,,,Epistulae morales ad Lucilium,Q6025
20250415-titles-fordham-mets-legacy-enriched.csv,Institutiones,,,,Institutiones,Q100389,,
20250415-titles-fordham-mets-legacy-enriched.csv,Modus Confitendi,,,,Modus confitendi,Q100388,,
20250415-titles-fordham-mets-legacy-enriched.csv,Modus confitendi optimus et compendiosus sive generalis confessio edita per reverendum in christo patrem et dominum andream hispanum,,,,Modus confitendi,Q100388,,
20250415-titles-fordham-mets-legacy-enriched.csv,Sequuntur de confessione specialia quedam et primo de penitencia,,,,Penitential text,Q39673,,
20250415-titles-fordham-mets-legacy-enriched.csv,Confessional Manual,,,,Confessional,Q39927,,
20250415-titles-fordham-mets-legacy-enriched.csv,Verses,,,,Verses,Q18551,,
20250415-titles-fordham-mets-legacy-enriched.csv,Book of Hours,,,,,,Book of hours,Q795
20250415-titles-fordham-mets-legacy-enriched.csv,Aeneid,,,,,,Aeneid,Q5978
20250415-titles-fordham-mets-legacy-enriched.csv,Pharsalia,,,,,,Pharsalia,Q39930
20250415-titles-fordham-mets-legacy-enriched.csv,Philosophia Naturalis,,,,Natural philosophy,Q20382,,
20250415-titles-fordham-mets-legacy-enriched.csv,Sententiarum libri IV commentary,,,,Commentary on Sentences,Q7516,,
20250415-titles-fordham-mets-legacy-enriched.csv,Iliad,,,,Iliad,Q67268,,
20250415-titles-fordham-mets-legacy-enriched.csv,"Digest, commentary on",,,,Commentary on Digest,Q100390,,
20250415-titles-fordham-mets-legacy-enriched.csv,"Bible, O. T., Genesis",,,,Bible|Book of Genesis,Q661|Q7274,,
20250415-titles-fordham-mets-legacy-enriched.csv,Postillae in Ezekiel,,,,Commentary on Ezekiel,Q39135,,
20250415-titles-fordham-mets-legacy-enriched.csv,Epistles,,,,,,Epistles,Q1466
20250415-titles-fordham-mets-legacy-enriched.csv,Visio mirabilis Isaiae prophete,,,,,,,
20250415-titles-fordham-mets-legacy-enriched.csv,"Book of Hours, use of Rome",,,,,,Book of hours,Q795
20250415-titles-fordham-mets-legacy-enriched.csv,Sermons,,,,,,Sermons,Q1400
20250415-titles-fordham-mets-legacy-enriched.csv,Prayer,,,,,,Prayers,Q798
20250415-titles-fordham-mets-legacy-enriched.csv,Fatti di Cesare,,,,,,,
20250415-titles-fordham-mets-legacy-enriched.csv,Deed,,,,,,Deed,Q1319
20250415-titles-fordham-mets-legacy-enriched.csv,De Officiis,,,,,,De officiis,Q10836
20250415-titles-fordham-mets-legacy-enriched.csv,Gradual,,,,,,Gradual,Q1121
20250415-titles-fordham-mets-legacy-enriched.csv,In Johannis Evangelium Tractatus CXXIV,,,,Commentary on John,Q20515,,
20250415-titles-fordham-mets-legacy-enriched.csv,Fabulae,,,,Fabulae,Q100391,,
20250415-titles-fordham-mets-legacy-enriched.csv,Marci Tulii ciceronis arpinatis consulisque romani ac oratoris maximi ad M.T.C. filium suum officiorum liber incipit.,,,,De officiis,Q10836,,
20250415-titles-fordham-mets-legacy-enriched.csv,Formula honestae vitae,,,,,,,
20250415-titles-fordham-mets-legacy-enriched.csv,Document?,,,,Document,Q8301,,
20250415-titles-fordham-mets-legacy-enriched.csv,Permission to build a chapel,,,,,,,
20250415-titles-fordham-mets-legacy-enriched.csv,Tax Proclamation,,,,Taxes,Q3705,,
20250415-titles-fordham-mets-legacy-enriched.csv,Will,,,,,,Will,Q1422
20250415-titles-fordham-mets-legacy-enriched.csv,Historia Scholastica,,,,,,Historia scholastica,Q1372
20250415-titles-fordham-mets-legacy-enriched.csv,Incipit prologus epystolaris in hystorias magistri petri,,,,Epistles,Q1466,,
20250415-titles-fordham-mets-legacy-enriched.csv,Commentary on the Qur'an,,,,Qurʼan commentary,Q39258,,
20250415-titles-fordham-mets-legacy-enriched.csv,Universis Sancte Matris Ecclesie Filiis ad quos presentes littere pervenerint. Nos miseracione divina Guilelmus Antibarensis . . . archiepiscopus,,,,,,,
20250415-titles-fordham-mets-legacy-enriched.csv,Indulgence,,,,,,Indulgence,Q8174
20250415-titles-fordham-mets-legacy-enriched.csv,Choirbook,,,,,,Choir book,Q1449
20250415-titles-fordham-mets-legacy-enriched.csv,Laelius de Amicitia,,,,,,Laelius de amicitia,Q20003
20250415-titles-fordham-mets-legacy-enriched.csv,Troades,,,,Troades,Q100392,,
20250415-titles-fordham-mets-legacy-enriched.csv,Commentary on a Classical text,,,,Commentary,Q1376,,
20250415-titles-fordham-mets-legacy-enriched.csv,Pontifical,,,,,,Pontifical,Q1375
20250415-titles-fordham-mets-legacy-enriched.csv,Missal,,,,,,Missal,Q662
20250415-titles-fordham-mets-legacy-enriched.csv,Sale of land,,,,Sale,Q6029,,
