subject_as_recorded,vocab,subfield_codes,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
Corpus juris civilis,0,a,,Corpus juris civilis,http://id.worldcat.org/fast/1358135,Q100379,,,
Bible. Matthew.--Selections--Manuscripts,0,a;p--k--x,,Bible. Matthew;Excerpts;Manuscripts,http://id.worldcat.org/fast/1808086;http://id.worldcat.org/fast/1692837;http://id.worldcat.org/fast/1008230,Q5898;Q3547;Q38609,,,
Bible. Mark.--Selections--Manuscripts,0,a;p--k--x,,Bible. Mark;Excerpts;Manuscripts,http://id.worldcat.org/fast/1892928;http://id.worldcat.org/fast/1692837;http://id.worldcat.org/fast/1008230,Q38605;Q3547;Q38609,,,
Cistercians--Liturgy--Texts--Manuscripts,0,a--x--v--v,,Cistercians;Liturgics;Texts;Manuscripts,http://id.worldcat.org/fast/554661;http://id.worldcat.org/fast/1000579;http://id.worldcat.org/fast/1423705;http://id.worldcat.org/fast/1424060,Q2799;Q207;Q3066;Q331,,,
Catholic Church--Liturgy,0,a--x,,,,,Catholic Church;Liturgics,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1000579,Q310;Q207
Bible. Galatians.--Latin--Commentaries--Early works to 1800,0,a;p--l--v--v,,Bible. Galatians;Latin language;Commentaries;Early works,http://id.worldcat.org/fast/1892906;http://id.worldcat.org/fast/993125;http://id.worldcat.org/fast/1423723;http://id.worldcat.org/fast/1411636,Q67990;Q4170;Q2812;Q300,,,
Bible. Luke--Manuscripts,0,a;p--x,,Bible. Luke;Manuscripts,http://id.worldcat.org/fast/1892926;http://id.worldcat.org/fast/1008230,Q38604;Q38609,,,
Bible. Ephesians--Manuscripts,0,a;p--x,,Bible. Ephesians;Manuscripts,http://id.worldcat.org/fast/1892895;http://id.worldcat.org/fast/1008230,Q67893;Q38609,,,
"Anthony, of Padua, Saint, 1195-1231--Prayers and devotions",0,a;c;d--x,,"Anthony, of Padua, Saint, 1195-1231;Prayers and devotions",http://id.worldcat.org/fast/17594;http://id.worldcat.org/fast/1935484,Q10798;Q48394,,,
"Demarbaix, Claire Joseph, 1740-1820",4,a;d,,,,,,,
Abbaye d'Aywiers,viaf,a,,,,,,,
Cistercians--Manuscripts,0,a--x,,Cistercians;Manuscripts,http://id.worldcat.org/fast/554661;http://id.worldcat.org/fast/1008230,Q2799;Q38609,,,
Catholic Church--Prayers and devotions--Latin--Early works to 1800,0,a--v--x--v,,,,,Catholic Church;Prayers and devotions;Latin language;Early works,http://id.worldcat.org/fast/531720;http://id.worldcat.org/fast/1423909;http://id.worldcat.org/fast/993125;http://id.worldcat.org/fast/1411636,Q310;Q3052;Q4170;Q300
Bible. Epistles of John--Manuscripts,0,a;p--x,,Bible. Epistles of John;Manuscripts,http://id.worldcat.org/fast/1892900;http://id.worldcat.org/fast/1008230,Q38593;Q38609,,,
"John, the Apostle, Saint--Illustrations",0,a;c--v,,"John, the Apostle, Saint;Illustrated works",http://id.worldcat.org/fast/36704;http://id.worldcat.org/fast/1423873,Q7193;Q294,,,
Bible. John--Manuscripts,0,a;p--x,,Bible. John;Manuscripts,http://id.worldcat.org/fast/1696638;http://id.worldcat.org/fast/1008230,Q4214;Q38609,,,
"Agnes, Saint, Martyr",0,a;c,,"Agnes, Saint, Martyr",http://id.worldcat.org/fast/109463,Q100380,,,
