File,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
20250417-titles-wmu-csv-enriched.csv,Koran manuscript leaf,,Qurʼan,,Qur’an,Q3697,,
20250417-titles-wmu-csv-enriched.csv,Leaf from the book of Jeremiah,,,,Book of Jeremiah,Q20500,,
20250417-titles-wmu-csv-enriched.csv,Flemish Book of Hours manuscript leaf,,,,Book of hours,Q795,,
20250417-titles-wmu-csv-enriched.csv,Leaf from early legal manuscript,,,,Legal text,Q8041,,
20250417-titles-wmu-csv-enriched.csv,Manuscript leaf from Sermones of Simon de Cremona,,,,Sermons,Q1400,,
20250417-titles-wmu-csv-enriched.csv,Manuscript leaf from Los Virtuosos Varones,,,,Los Virtuosos Varones,Q100393,,
20250417-titles-wmu-csv-enriched.csv,Manuscript leaf from a 15th century breviary,,,,Breviary,Q657,,
20250417-titles-wmu-csv-enriched.csv,Koran manuscript leaf,,,,Qur’an,Q3697,,
20250417-titles-wmu-csv-enriched.csv,Manuscript leaf,,,,,,Manuscript,Q7262
20250417-titles-wmu-csv-enriched.csv,Binding Fragment of Hugh of St. Victor (1 of 2),,,,De sacramentis,Q7820,,
20250417-titles-wmu-csv-enriched.csv,Binding Fragment of Hugh of St. Victor (2 of 2),,,,De sacramentis,Q7820,,
20250417-titles-wmu-csv-enriched.csv,Genealogical Roll of the Everingham Family,,,,Genealogical roll,Q100394,,
20250417-titles-wmu-csv-enriched.csv,Arabic papyrus leaf,,,,Arabic text,Q38349,,
20250417-titles-wmu-csv-enriched.csv,Dictionary leaf,,,,Dictionary,Q7823,,
20250417-titles-wmu-csv-enriched.csv,Illuminated Persian manuscript leaf,,,,Persian manuscript,Q20453,,
20250417-titles-wmu-csv-enriched.csv,Manuscript leaf from a Persian manuscript,,,,Persian text,Q20451,,
20250417-titles-wmu-csv-enriched.csv,"Palm Leaf Manuscript 1, illustrations",,,,Palm leaf manuscript,Q48551,,
20250417-titles-wmu-csv-enriched.csv,Palm Leaf Manuscript 2,,,,Palm leaf manuscript,Q48551,,
