ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,"","",marc-xml,amremm,Q17745,Vassar College,991019347760707396,Leaves 1-2,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991019347760707396,"",England?,Q133,between 1250? and 1275?,1250^1275,13,http://vocab.getty.edu/aat/300404505,false,Two leaves from a decorated pocket Bible,"","","",Q661,Bibles|Gothic scripts|Manuscripts|Annotations,Q3561|Q16360|Q331|Q2982,"Manuscripts, Latin (Medieval and modern)--England--13th century",Q10783;Q320;Q245,"","","","","","","","","","","","","","","",Latin,Q113,parchment,Q33,Extent: 2 leaves : parchment ; 148 x 109 (97 x 66) mm,"Ms. leaves.|Title from Kidd.|Layout: Written in 49 lines; ruled in plummet.|Script: Written in gothic script.|Decoration: 6- and 7-line puzzle initials in red and blue with pen flourishing in same colors; 3-line initials in blue with pen flourishing mainly in red; chapter number and running titles in blue or red.|Origin: Written in England, or possibly France, during probably the third quarter of the 13th century.|Parent volume perhaps made for a Dominican monk and owned by a later Dominican, as suggested by presence of 'ordinis nostri' in feast of St. Dominic in calendar; parent volume broken up by Bruce P. Ferrini, manuscripts dealer of Akron, OH (1984); present leaves held by unidentified 20th- century American(?) bookseller, who added in pencil stock numbers '8302-135' and '8302-146' and prices '265--' and '750--' (date of acquisition unknown)","",2026-04-13 09:08:57 -0400,20251210,20260327-vassar-marcxml-leaves.xml
,"","",marc-xml,amremm,Q17745,Vassar College,991019347760607396,Leaf 3,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991019347760607396,"",France?,Q122,between 1180 and 1220,1180^1220,12;13,http://vocab.getty.edu/aat/300404504;http://vocab.getty.edu/aat/300404505,false,Fragment of a glossed Psalms,"","","",Q5972,Commentaries|Manuscripts,Q2812|Q331,"Bible. Psalms.--Latin--Commentaries--Early works to 1800|Manuscripts, Latin (Medieval and modern)--England--12th century|Manuscripts, Latin (Medieval and modern)--England--13th century|Manuscripts, Latin (Medieval and modern)--France--12th century|Manuscripts, Latin (Medieval and modern)--France--13th century",Q4257;Q4170;Q2812;Q300|Q10783;Q320;Q304|Q10783;Q320;Q245|Q10783;Q152;Q304|Q10783;Q152;Q245,"","","","","","","","","","","","","","","",Latin,Q113,parchment,Q33,Extent: 1 item : parchment ; 177 x 130 (? x 90) mm,"Ms. fragment.|Title from Kidd.|Layout: Written in two columns; ruled; prickings in outer margin.|Script: Written in two sizes of script.|Decoration: One 2-line initial in red with blue pen-work; 1-line initials alternately blue with red ornament or plain red.|Origin: Written in France or England during the late 12th or early 13th century.|Erik von Scherling, bookseller of Leiden; formerly mounted on sheet of gray card with number '2413' in pencil, adhesive label with number 'R11"" in ink, and brief typescript description (1952)","",2026-04-13 09:08:57 -0400,20260324,20260327-vassar-marcxml-leaves.xml
,"","",marc-xml,amremm,Q17745,Vassar College,991019347759707396,Leaf 4,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991019347759707396,"",Germany,Q131,10--,1000,11,http://vocab.getty.edu/aat/300404503,false,"A fragmentary leaf, apparently a list of aphorisms set to music","","","",Q44049,aphorisms|Caroline minuscule|Manuscripts|Inscriptions,Q7680|Q10803|Q331|Q5875,"Aphorisms and apothegms--Early works to 1800|Manuscripts, Latin (Medieval and modern)--Germany",Q11404;Q300|Q10783;Q3032,"","","","","","","","","","","","","","","",Latin,Q113,"parchment, music",Q33,"Extent: 1 leaf : parchment, music ; 208 x 147 (159 x 107) mm","Ms. leaf.|Title from Kidd.|Layout: Written in 22 lines; unruled.|Script: Written in Caroline minuscule.|Music: Contains musical notation.|Origin: Written in Germany during the 11th century.|Apparently recovered from use as pastedown, with one side very damaged; large German fraktur letter 'V' inscribed on lower margin of recto; Otto Haas, bookseller of Berlin and London (date of acquisition unknown); Vassar College Music Library (1940)","",2026-04-13 09:08:57 -0400,20251211,20260327-vassar-marcxml-leaves.xml
,"","",marc-xml,amremm,Q17745,Vassar College,991019347859407396,Leaf 5,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991019347859407396,"",Paris?,Q136,1240-1300,1240^1300,13,http://vocab.getty.edu/aat/300404505,false,"A leaf from Philp the Chancellor (d. 1236), Sermons","",Sermons,"",Q1400,Gothic scripts|sermons|Commentaries|Manuscripts|Sermons|Inscriptions,Q16360|Q3590|Q2812|Q331|Q180|Q5875,"Bible. Psalms.--Latin--Commentaries--Early works to 1800|Manuscripts, Latin (Medieval and modern)--France",Q4257;Q4170;Q2812;Q300|Q10783;Q152,"Philip, the Chancellor, -1236","",Q42280,"","","","","","","","","",Servites,"",Q114143,Latin,Q113,parchment,Q33,Extent: 1 leaf : parchment ; 217 x 158 (160 x 125) mm,"Ms. leaf.|Title from Kidd.|Layout: Written in 33 lines; ruled in plummet, with prickings at fore-edge.|Script: Written in gothic script.|Origin: Written in France, probably Paris, during the middle or second half of the 13th century.|Parent volume likely produced in Paris, where the author was born, studied, and served as chancellor of the cathedral; erased 14th-century ownership inscription of Servite Friars at San Marcello al Corso, Rome (visible under UV light); Erik von Scherling, bookseller of Leiden (in Winter 1937 catalog); Otto F. Ege (1937?); inscription at foot of recto by Vassar College librarian describing item and purchase from Ege with price.","",2026-04-13 09:08:57 -0400,20260324,20260327-vassar-marcxml-leaves.xml
,"","",marc-xml,amremm,Q17745,Vassar College,991019350160707396,Leaf 6,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991019350160707396,"",Italy,Q134,1450-1500,1450^1500,15,http://vocab.getty.edu/aat/300404465,false,"A leaf from Thomas Aquinas, Commentary on the Sentences of Peter Lombard","","","",Q7516,humanistic scripts|Commentaries|Manuscripts,Q10824|Q2812|Q331,"Peter Lombard, Bishop of Paris, approximately 1100-1160. Sententiarum libri IV.--Book 1--Commentaries--Early works to 1800|Manuscripts, Latin (Medieval and modern)--Italy",Q4783;Q2812;Q300|Q10783;Q249,"Thomas, Aquinas, Saint, 1225?-1274","",Q1919,"","","","","","","","","","","","",Latin,Q113,parchment,Q33,Extent: 1 leaf : parchment ; 290 x 214 (185 x 135) mm,"Ms. leaf.|Title from Kidd.|Layout: Written in 2 columns of 37 lines; unruled.|Script: Written in humanistic script.|Decoration: One 3-line initial in blue.|Origin: Written in Italy, probably Florence or Sienna, during the second half of the 15th century.|Parent volume produced for unknown patron, probably Sienese or Florentine, perhaps a member of the Lorenzi, Vanicini Pillotti, or Bonfigli families, as suggested by armorial motto; erased ownership(?) inscription below patron's arms; Tammaro de Marinis, bookseller of Florence (1908 catalog); Davis & Orli, booksellers of Florence and London (1925, 1926 catalogs); Dawson's Bookshop, Los Angeles (1938 catalog); Philip C. Duschnes (1940/1941 catalog); broken up approximately 1941; present leaf: Otto F. Ege (1944?); Beinecke Library (2016)","",2026-04-13 09:08:57 -0400,20251216,20260327-vassar-marcxml-leaves.xml
,"","",marc-xml,amremm,Q17745,Vassar College,991019350060507396,Leaf 7,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991019350060507396,"",France,Q122,between 1475-1485,1475^1485,15,http://vocab.getty.edu/aat/300404465,false,"A leaf from a book of hours, in Latin with French rubrics, with miniatures or St. Francis and St. Laurence","","","",Q795,Gothic scripts|illuminated manuscripts|miniatures (paintings)|Manuscripts|Books of hours,Q16360|Q4268|Q262|Q331|Q38439,"Laurence, Saint, of Rome, -258--Early works to 1800|Stephen, Saint, -approximately 36--Early works to 1800|Catholic Church--Prayers and devotions--Early works to 1800|Illumination of books and manuscripts, Gothic--France--15th century|Manuscripts, Latin (Medieval and modern)--France--15th century|Manuscripts, Medieval--France--15th century",Q114139;Q300|Q66873;Q300|Q310;Q3052;Q300|Q8371;Q152;Q154|Q10783;Q152;Q154|Q325;Q152;Q154,"","","","","","","","","","","","","","","",Latin,Q113,"parchment, ill., illuminations",Q33,"Extent: 1 leaf : parchment, ill., illuminations ; 183 x 127 (121 x 85) mm","Ms. leaf.|Title from Kidd.|Layout: Written in 20 lines; unruled.|Script: Written in gothic bâtarde script.|Decoration: Two miniatures--one of St. Francis receiving the stigmata, and one of the martyrdom of St. Laurence--both in 3-sided gold frames; panel borders with foliate designs on gold ground; two 2-line initials, one in white and purple on gold ground enclosing a fly, the other in blue with white ornament on a red ground with gold ornament; 1-line initials in red and gold at upper right corner of each miniatures.|Origin: Written in France during the late 15th century, approximately 1475-1485.|Foliated '120' in 20th-century pencil.|Perhaps held by Otto F. Ege, as suggested by adhesive tape like that which he used.","",2026-04-13 09:08:57 -0400,20260326,20260327-vassar-marcxml-leaves.xml
,"","",marc-xml,amremm,Q17745,Vassar College,991019350560607396,Leaf 8,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991019350560607396,"",France,Q122,14--,1400,15,http://vocab.getty.edu/aat/300404465,false,A leaf from a Processional,"","","",Q1336,textura (Gothic script)|illuminated manuscripts|processionals|Manuscripts|Processionals (Service books),Q10787|Q4268|Q38530|Q331|Q16327,"Catholic Church--Liturgy--Texts--Early works to 1800|Illumination of books and manuscripts--France|Manuscripts, Latin (Medieval and modern)--France|Manuscripts, Medieval--France",Q310;Q207;Q3066;Q300|Q272;Q152|Q10783;Q152|Q325;Q152,"","","","","","","","","","","","","","","",Latin,Q113,"parchment, ill., 1 illumination, music",Q33,"Extent: 1 leaf : parchment, ill., 1 illumination, music ; 192 x 155 (150 x 100) mm","Ms. leaf.|Title from Kidd.|Layout: Written in 20 lines; ruled.|Script: Written in gothic textura script.|Decoration: Two 2-line initials to psalms, one in gold with blue penwork, the other in blue with red penwork; two 2-line cadel initials to musical parts with pale yellow wash and human heads in profile; 1-line verse initials, alternately in blue and red; line fillers in blue and red.|Music: Contains musical notation.|Origin: Written in France, perhaps in Caen, Normandy, during the 15th century.|Foliated '83' in 18th(?)-century ink.|Parent volume: ms. notation indicates that in 1472 it belonged to the Benedictine Abbey of St. Stephen, referring perhaps to Saint-Étienne at Caen; Rev. Acton Griscom, Of High Point, NJ, his item number MS. E.11; present leaf: Dawson's Bookshop, Los Angeles, with their typescript description (December 1946 and April 1947 catalogs)","",2026-04-13 09:08:57 -0400,20260323,20260327-vassar-marcxml-leaves.xml
,"","",marc-xml,amremm,Q17745,Vassar College,991019350560507396,Leaf 9,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991019350560507396,"",France,Q122,15--,1500,16,http://vocab.getty.edu/aat/300404510,false,A leaf from a gradual,"","","",Q1121,textura (Gothic script)|illuminated manuscripts|Graduals (Service books)|Manuscripts|Inscriptions,Q10787|Q4268|Q16317|Q331|Q5875,"Catholic Church--Liturgy--Early works to 1800|Illumination of books and manuscripts--France|Manuscripts, Latin (Medieval and modern)--France|Manuscripts, Medieval--France",Q310;Q207;Q300|Q272;Q152|Q10783;Q152|Q325;Q152,"","","","","","","","","","","","","","","",Latin,Q113,"parchment, ill., illuminations, music",Q33,"Extent: 1 leaf : parchment, ill., illuminations, music ; 249 x 173 (186 x 122) mm","Ms. leaf.|Title from Kidd.|Layout: Written in 8 lines of music and text; ruled in plummet.|Script: Written in gothic textura script.|Decoration: One 3-line initial with blue letter enclosing a strawberry plant on gold ground; 1-line initials in blue or red on gold ground.|Music: Contains musical notation.|Origin: Written in France during the 16th century.|Foliated in original red ink 'vi[superscript]xx xv' (i.e. 135), with cross-references in text to other folio numbers.|Dawson's Bookshop, Los Angeles (1941)","",2026-04-13 09:08:57 -0400,20260119,20260327-vassar-marcxml-leaves.xml
,"","",marc-xml,amremm,Q17745,Vassar College,991019350158507396,Leaf 10,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991019350158507396,"",Italy,Q134,1464,1464,15,http://vocab.getty.edu/aat/300404465,false,Leaf from a breviary,"","","",Q657,Gothic scripts|Breviaries|Manuscripts,Q16360|Q38440|Q331,"Catholic Church--Liturgy--Texts--Early works to 1800|Manuscripts, Latin (Medieval and modern)--Italy--15th century|Manuscripts, Medieval--Italy--15th century",Q310;Q207;Q3066;Q300|Q10783;Q249;Q154|Q325;Q249;Q154,"","","","","","","Carlo de Blanchis, de Bardano, active 1464","","","","","","","","",Latin,Q113,parchment,Q33,Extent: 1 leaf : parchment ; 112 x 90 (72 x 62) mm,"Ms. leaf.|Title from Kidd.|Layout: Written in two columns of 23 lines; ruled.|Script: Written in rounded gothic script.|Decoration: 2-line initials in red or blue with red pen flourishing.|Origin: Written in Italy, probably in the province of Perugia, by Carlo de Blanchis de Bardano.|Parent volume: William Ardene Shoults, of London (date of acquisition unknown); Selwyn College, Dunedin, New Zealand (deaccessioned and sold July 1, 1938); Marks & Co., London (1938); Dawson's Bookshop, Los Angeles (in February 1940 catalog); broken up (present leaf and others in April and May 1940 catalogs); from same volume as Leaf 37 in the Vassar College collection.","",2026-04-13 09:08:57 -0400,20260129,20260327-vassar-marcxml-leaves.xml
,"","",marc-xml,amremm,Q17745,Vassar College,991019355855907396,Leaf 11,https://vassar.primo.exlibrisgroup.com/permalink/01VAC_INST/349upj/alma991019355855907396,"",Iran,Q2822,1400-1599,1400^1599,15;16,http://vocab.getty.edu/aat/300404465;http://vocab.getty.edu/aat/300404510,false,"Leaf from a Praxapostolos, in Armenian","","","",Q54353,Armenian alphabet|lectionaries|Manuscripts,Q108686|Q4274|Q331,"Manuscripts, Armenian--Iran",Q2964;Q16384,"","","","","","","","","","","","","","","",Armenian,Q792,parchment,Q33,Extent: 1 leaf : parchment ; 141 x 104 (100 x 74) mm,"Ms. Leaf.|Title from Kidd.|Layout: Written in 2 columns of 25 lines; unruled.|Script: Written in bolorgir script.|Origin: Written in Iran during the fifteen or sixteenth century.|From parent volume likely broken up in 1941; typescript description with '#55' in pencil, referring to listing in Dawson's Bookshop catalog no. 158 (October 1941); 'Armenian 15th century' in pencil on verso of leaf.","",2026-04-13 09:08:57 -0400,20260112,20260327-vassar-marcxml-leaves.xml
