material_as_recorded,authorized_label,structured_value,ds_qid_uri
"""paper and parchment""",paper;parchment,http://vocab.getty.edu/aat/300014109;http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q31;https://catalog.digital-scriptorium.org/entity/Q33
"""paper illustrations""",paper,http://vocab.getty.edu/aat/300014109,https://catalog.digital-scriptorium.org/entity/Q31
"""papyrus""",papyrus,http://vocab.getty.edu/aat/300014127,https://catalog.digital-scriptorium.org/entity/Q32
"""parchment, coats of arms""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, color""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, colored illustration""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, color illustrations, coats of arms""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, color illustrations, maps""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, color illustrations, music""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, color illustrations""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, decorated initials, music (neumes)""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, decorated initials""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, ill., music""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, ill. ; 550 x 382 (365 x 270) mm""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, ill""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, illuminated, miniatures""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, illuminated""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, illuminations, frontispiece, coat of arms""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, illuminations, genealogical tables""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, illuminations, portraits, coat of arms""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, illuminations, portraits, genealogical tables""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, illuminations""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, illustration""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, illustrations, maps""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, illustrations, music""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, illustrations""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, illustrations (miniatures)""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, initials""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
"""parchment, miniatures""",parchment,http://vocab.getty.edu/aat/300011851,https://catalog.digital-scriptorium.org/entity/Q33
