title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,ds_qid,authorized_label_add,ds_qid_add
Dīvān,دىوان,,,Dīwān,Q11912,,
Ẓafarnāmah-i Tīmūr,ظفرنامه تىمور,,,,,Zafarnamah,Q39772
Dīvān,دىوان,Poems,,Dīwān,Q11912,,
Collection of Persian poetry,,,,Persian poetry,Q18530,,
Pandnāmah,پندنامه,,,,,Pandnāmah,Q51689
Lubb-i lubāb-i Maʻnavī,لب لباب معنوى,Mas̲navī,مثنوى,,,Masnavi,Q27606
Collection of Persian letters,,,,,,Letters,Q5068
Fragment from the Sharafnāmah,,Sharafnāmah,شرفنامه,,,Sharafnāmah,Q18605
Inshā-i Abū al-Faz̤l,انشا ابو الفضل,,,,,Inshā-i Abū al-Faz̤l,Q51690
Ṭibb-i Akbar,طب اکبر,,,,,Ṭibb-i Akbar,Q51691
ʻIlm-i ṭibb,علم طب,,,,,Medical texts,Q817
Tuḥfat al-muʼminīn,تحفة المؤمنين,,,,,Tuḥfat al-muʼminīn,Q51692
Tuḥfat al-mulūk,تحفة الملوك,,,Tuḥfat al-mulūk,Q27775,,
ʻIlāj al-amrāz̤,علاج الامراض,,,,,Medical texts,Q817
Mujarrabāt-i Akbarī,مجربات اکبرى,,,,,Mujarrabāt-i Akbarī,Q51693
Kifāyah-i Mujāhidīyah,کفاىه مجاهدية,,,,,Kifāyah-i Mujāhidīyah,Q51694
Mufarriḥ al-qulūb,مفرح القلوب,,,,,Mufarriḥ al-Qulūb,Q51695
Collection of Persian medical texts,,,,,,Medical texts,Q817
Persian treatise on astronomy,,,,,,Astronomical text,Q38381
Persian treatise on astrology,,,,,,Astrological text,Q20378
Collection of religious anecdotes,,,,,,Religious texts,Q5037
Persian treatise on arithmetic,,,,,,Mathematical text,Q12185
Persian treatise on logic,,,,,,Treatise on logic,Q20506
Jamʻ-i mukhtaṣar ... [etc.,جمع مختصر,,,,,Jamʻ-i mukhtaṣar,Q51696
Niṣāb al-ṣibyān,نصاب الصبىان,,,,,Niṣāb al-ṣibyān,Q48578
Nahr al-faṣāḥah; Chār sharbat,نهر الفصاحه,Works,,,,Works,Q5989
ʻIqd-i gawhar ... [etc.,عقد گوهر,,,,,ʻIqd-i gawhar,Q51697
Fragments from Qavāʻid al-Qurʼān] ... [etc,,,,,,Qavāʻid al-Qurʼān,Q51698
"Arabic, Persian, and Turkish miscellany",,,,,,Miscellany,Q3673
"Fragments of Persian, Arabic, and Turkish prose and poetry",,,,,,Persian texts;Arabic texts;Turkish texts,Q7568;Q12258;Q20402
Khulāṣat al-Islām,خلاصة الاسلام,,,,,Khulāṣat al-Islām,Q51699
Persian theological treatise,,,,,,Theological text,Q5950
Second volume of a treatise on Islamic law,,,,,,Legal texts,Q6030
Abvāb al-jinān,ابواب الجنان,,,,,Abvāb al-jinān,Q39178
Collection of moral precepts,,,,,,Morality texts,Q39260
Rawz̤at al-shuhadāʼ,روضة الشهداء,,,,,Rawzat al-Shuhada,Q51700
Riyāz̤ al-shahādah,رىاض الشهاده,,,,,Riyāz̤ al-shahādah,Q51701
Jalāʼ al-ʻuyūn,جلاء العىون,,,,,Jalāʼ al-ʻuyūn,Q51702
Rashaḥāt-i ʻayn al-ḥayāt,رشحات عىن الحىات,,,,,Rashaḥāt-i ʻayn al-ḥayāt,Q51703
Tārīkh-i Vaṣṣāf,تارىخ وصاف,,,,,Tārīkh-i Vaṣṣāf,Q51704
Rawz̤at al-ṣafā,روضة الصفا,,,,,Rawz̤at al-ṣafāʼ,Q48522
Tārīkh-i Hindī,تارىخ هندى,,,,,Tārīkh-i Hindī,Q51705
Anvār-i Suhaylī,انوار سهىلى,Kalīlah wa-Dimnah,كليلة ودمنة,Anvār-i Suhaylī,Q18469,,
Collection of Arabic texts on grammar and other topics,,,,,,Grammatical texts,Q38407
Collection of Persian and Arabic texts on astronomy,,,,,,Astronomical texts,Q3129
Akhlāq-i Nāṣirī,اخلاق ناصرى,,,,,Akhlaq-i Nasiri,Q12212
Collection of Sufi poems,,,,,,Sufi texts;Poetry,Q27797;Q1330
Tuḥfat al-ʻIrāqayn; al-maqālah al-ūlá wa-hiya al-musammá bi-ʻArāʼis al-fikr wa-majālis al-dhikr,تحفة العراقين,Tuḥfat al-ʻIrāqayn,تحفة العراقين,,,Tuhfat al-Iraqayn,Q51706
ʻAsl-i muṣaffá; bā risālah-i Farsīyah [va] Risālah-i ʻamalīyah,عسل مصفى,,,,,ʻAsl-i muṣaffá,Q51707
Kullīyāt-i Saʻdī,کليات سعدى,Works,,,,Works of Saadi,Q18399
Three texts on Qurʼān recitation,,,,,,Texts on Qurʼān recitation,Q51708
Daftar-i munshaʾāt,دفتر منشئات,,,,,Notebook,Q5488
Kitāb-i ʻIlm-i nujūm,کتاب عالم نجوم,Risālah dar hayʾat,رساله در هيئت,,,Risālah dar hayʾat,Q51709
Jung dar nujūm va sharʻīyāt,جنگ در نجوم و شرعيات,,,,,Jung dar nujūm va sharʻīyāt,Q51710
Ghazalīyāt va tarkīb band,غزليات و ترکىب بند,Dīvān,دىوان,,,Diwan,Q11912
"Commonplace book of poetry, prose, and prayers",,,,,,Commonplace book,Q7822
First volume of the Mas̲navī,,Mas̲navī,مثنوى,,,Masnavi,Q27606
al-Kitāb al-Fārsī,الکتاب الفارسى,,,,,al-Kitāb al-Fārsī,Q17609
Sharḥ-i ḥall-i Ḥāfiẓ va baʻz̤ī adʻiyah va Yikṣad kalimah /,شرح حل حافظ و بعضى ادعيه و يکصد کلمه /,,,,,Sharḥ-i ḥall-i Ḥāfiẓ va baʻz̤ī adʻiyah va Yikṣad kalimah,Q51711
Sharḥ-i Makhzan al-asrār,شرح مخزن الاسرار,,,,,Sharḥ-i Makhzan al-asrār,Q51712
Maqālāt-i ʻAbd Allāh Anṣārī,مقالات عبد الله انصارى,Munājāt,مناجات,,,Munājāt,Q48516
Mas̲navī-i maʻnavī-i Mawlavī,مثنوى معنوى مولوى,,,,,Masnavi,Q27606
Kitāb-i Matlaʻ-i saʻdayn va majmaʻ-i baḥrayn,کتاب متلع سعدىن و مجمع بحرىن,Matlaʻ-i saʻdayn va majmaʻ-i baḥrayn,متلع سعدىن و مجمع بحرىن,,,Matlaʻ-i saʻdayn va majmaʻ-i baḥrayn,Q51713
Kitāb-i muʻammā az taʼlīfāt-i Muḥammad ibn ʻAlī al-Navandākī va jild-i dīgar-i māl-i Jāmī,کتاب معما از تألىفات محمد بن على النونداکى و جلد دىگر مال جامى,,,,,Persian miscellany,Q51714
Zubdat al-alvāḥ,زبدة الالواح,,,,,Zubdat al-alvāḥ,Q51715
Tanbīhāt al-munajjimīn,تنبيهات المنجمين,,,,,Tanbīhāt al-munajjimīn,Q51716
Khulāṣah-i kalām /,خلاصه کلام /,,,,,Khulāṣah-i kalām,Q51717
Tuḥfah-i Ḥātimī ... [etc.,تحفه حاتمى,,,,,Tuḥfah-i Ḥātimī,Q51718
Faṣl al-khiṭāb li-waṣl al-aḥbāb ... [etc.,فصل الخطاب لوصل الاحباب,Faṣl al-khiṭāb,فصل الخطاب,,,Fasl al-Khitab,Q18383
Kitāb-i Nuzhat al-qulūb,کتاب نزهة القلوب,Nuzhat al-qulūb,نزهة القلوب,,,Nuzhat al-Qulub,Q11633
Sarmāyah-i īmān /,سرماىه ايمان /,,,,,Sarmāyah-i īmān,Q51719
Māʾidah-i samāvīyah,مائدة سماوية,,,,,Māʾidah-i samāvīyah,Q51720
Collection of four Ṣūfī texts,,,,,,Sufi texts,Q27797
Ṣaḥīfah-i Shāhī,,,,,,Ṣaḥīfah-i Shāhī,Q51721
Kitāb-i Sharḥ-i Bīst bāb dar maʻrifat-i qavāʻid-i fann-i asṭurlāb ... [etc.,کتاب شرح بىست باب در معرفت قواعد فن اسطرلاب,Sharḥ-i Bīst bāb dar maʻrifat-i asṭurlāb,شرح بىست باب در معرفت اسطرلاب,,,Sharḥ-i Bīst bāb dar maʻrifat-i asṭurlāb,Q27596
Mursalāt va makātīb-i Yaghmā Jandaqī ... [etc.,مرسلات و مکاتىب ىغما جندقى,,,,,Mursalāt va makātīb-i Yaghmā Jandaqī,Q51722
Ḥadīdah-i muḥammmāt /,حدىده محمات /,Ḥadīdah-i muḥammmāt fī ajvibah baʻz̤ al-maqālāt,حدىده محماة في اجوبة بعض المقالات,,,Ḥadīdah-i muḥammmāt fī ajvibah baʻz̤ al-maqālāt,Q39907
Dīvān-i Naẓīrī ... [etc.,دىوان نظىرى,Poems,,,,Diwan;Poetry,Q11912;Q1330
Ḥayāt al-nufūs,حيوة النفوس,,,,,Ḥayāt al-nufūs,Q51723
Madārij al-nubūvah va darajāt al-futūvah,مدارج النبوة ودرجات الفتوة,,,,,Madārij al-nubūvah va darajāt al-futūvah,Q51724
ʻAqāyid al-muttaqīn,عقايد المتقين,,,,,ʻAqāyid al-muttaqīn,Q51725
Shāhanshāhʹnāmah,شاهنشاه‌نامه,,,,,Shāhanshāhʹnāmah,Q51726
Ṭūṭīʹnāmah /,طوطى‌نامه /,,,,,Ṭūṭīʹnāmah,Q48573
Burhān-i qāṭiʻ,برهان قاطع,,,,,Burhan-i Qati,Q27539
Farhang-i Surūrī Kāshī,فرهنگ سرورى کاشى,,,,,Farhang-i Surūrī Kāshī,Q18370
Jūg Bāshist,جوگ باشست,Yogavāsiṣṭha,,,,Yogavāsiṣṭha,Q27810
ʻArūz̤-i Mawlānā Vaḥīd Tabrīzī,عروض مولانا وحىد تبرىزى,,,,,ʻArūz̤-i Mawlānā Vaḥīd Tabrīzī,Q51727
Tarjamah-i Mishkāt,ترجمه مشکات,,,,,Tarjamah-i Mishkāt,Q51728
Kitāb-i Ḥaqq al-yaqīn /,کتاب حق الىقىن /,Ḥaqq al-yaqīn,حق الىقىن,,,Ḥaqq al-yaqīn,Q51729
Sharḥ-i Dīvān-i Anvarī /,شرح دىوان انورى /,,,,,Sharḥ-i Dīvān-i Anvarī,Q51730
Z̲ākhirah-i Khvārazm-shāhī,ذاخره خوارزم شاهى,Z̲ākhirah-i Khvārazmshāhī,ذاخره خوارزمشاهى,,,Zakhireye Khwarazmshahi,Q40055
Kitāb-i Zubdat al-taṣānīf,کتاب زبدة التصانىف,Zubdat al-taṣānīf,زبدة التصانيف,,,Zubdat al-taṣānīf,Q51731
Kitāb-i Khulāṣat al-akhbār /,کتاب خلاصة الاخبار /,Khulāṣat al-akhbār,خلاصة الاخبار,,,Khulāṣat al-akhbār,Q51732
al-Tuḥfah al-Shāhīyah,التحفه الشاهيه,,,,,al-Tuḥfah al-Shāhīyah,Q39856
Silsilah-ʾi nāmah-ʾi khvājagān-i Naqshabandīyah,سلسلۀ نامۀ خواجگان نقشبنديه,,,,,Letters,Q5068
Nafāyis al-funūn fī ʻarāyis al-ʻuyūn,نفاىس الفنون فى عراىس العىون,,,,,Nafāyis al-funūn fī ʻarāyis al-ʻuyūn,Q51733
Dīvān-i Shāhī maʻa Dīvān-i Āṣafī,دىوان شاهى مع دىوان آصفى,Poems,,,,Diwan;Poetry,Q11912;Q1330
Bāb-i panjum dar ḥajj,باب پنجم در حج,,,,,Bāb-i panjum dar ḥajj,Q18538
Kitāb-i Yūsuf Zulaykhā,کتاب ىوسف و زلىخا,Yūsuf va Zulaykhā,ىوسف و زلىخا,,,Yūsuf va Zulaykhā,Q3708
Daqāyiq al-ṭibb /,دقايق الطب /,,,,,Medical text,Q20372
Dīvān-i ashʻār-i Mawlānā Sayf al-Dīn,دىوان اشعار مولانا سىف الدىن,Poems,,,,Diwan;Poetry,Q11912;Q1330
Ḥadīqah-ʾi Ḥakīm Sanāʾī,حدىقۀ حکىم سنائي,Ḥadīqat al-ḥaqīqah wa-sharīʻat al-ṭarīqah,حديقة الحقيقة وشريعة الطريقة,,,Hadiqat al Haqiqa,Q39306
Suʾāl dar maʻād va ʻawd-i arvāḥ bi-ajsād va ʻālam-i barzakh va baʻz̤ī mutaʻalliqāt-i ū,سؤال در معاد و عود ارواح باجساد و عالم برزخ و بعضى متعلقات او,,,,,Suʾāl dar maʻād va ʻawd-i arvāḥ bi-ajsād va ʻālam-i barzakh va baʻz̤ī mutaʻalliqāt-i ū,Q51734
Tarjamah-ʼi Tārīkh-i Qum /,ترجمۀ تارىخ قم /,Tārīkh Qum,تارىخ قم,,,Tarikh-i Qum,Q51735
Jāmiʻ al-qavānīn /,جامع القوانىن /,Correspondence,,,,Correspondence,Q38385
Sharḥ-i Khāqānī,شرح خاقانى,,,,,Sharḥ-i Khāqānī,Q51736
Gulshan-i adab /,گلشن ادب /,,,,,Gulshan-i adab,Q39984
ʻAbbāsnāmah,عباسنامه,,,,,ʻAbbāsnāmah,Q51737
Faṣl al-khiṭāb,فصل الخطاب,,,,,Fasl al-Khitab,Q18383
Part of a Qurʼān commentary,,,,,,Qur'an commentary,Q39258
Mavāhib-i ʻalīyah,مواهب علية,,,,,Mavāhib-i ʻalīyah,Q51687
Volume 3 of the Ashiʻʻat al-lamaʻāt,,Ashiʻʻat al-lamaʻāt,اشعة اللمعات,,,Ashiʻʻat al-lamaʻāt,Q27602
Kīmiyā-i saʻādat,کىمىا سعادت,Kīmiyā-yi saʻādat,کىمىاى سعادت,,,Alchemy of Happiness,Q27836
Taysīr al-qārī dar sharḥ-i Ṣaḥīḥ al-Bukhārī,تىسىر القارى در شرح صحىح البخارى,,,,,Taysīr al-qārī dar sharḥ-i Ṣaḥīḥ al-Bukhārī,Q51738
Sharḥ-i Dīvān-i Amīr al-Muʼminīn,شرح دىوان امىر المؤمنىن,,,,,Sharḥ-i Dīvān-i Amīr al-Muʼminīn,Q51739
Majālis-i abrār,مجالس ابرار,,,,,Majālis-i abrār,Q51740
Mulakhkhaṣ,ملخص,,,,,Mulakhkhaṣ,Q51741
Laylá Majnūn ... [etc.,لىلى مجنون,,,,,Layla and Majnun,Q18445
Silsalat al-z̲ahab,سلسلت الذهب,,,,,Silsalat al-z̲ahab,Q51742
Makātīb,مکاتىب,Correspondence,,,,Correspondence,Q38385
Muṣṭalaḥāt al-shuʻarāʼ,مصطلحات الشعراء,Farhang-i muṣṭalaḥāt al-shuʻarāʼ,فرهنگ مصطلحات الشعراء,,,Farhang-i muṣṭalaḥāt al-shuʻarāʼ,Q18464
Nuskhah-i Qiṣaṣ al-anbiyāʾ,نسخه قصص الانبىاء,Qiṣaṣ al-anbiyāʾ,قصص الانبىاء,,,Qisas al-anbiya,Q27745
Mujarrabāt-i Akbarī ... [etc.,مجربات اکبرى,,,,,Mujarrabāt-i Akbarī,Q51693
Mukhtār al-ikhtiyār ʻalá al-maz̲hab al-mukhtār,مختار الاختىار على المذهب المختار,,,,,Mukhtār al-ikhtiyār ʻalá al-maz̲hab al-mukhtār,Q51743
Treatise on prayers for various times and days,,,,,,Treatise on prayer,Q51744
Jild-i chahārum-i Hidāyah,جلد چهارم هداىه,Hidāyah,هداية,,,Hidayah,Q39473
Īz̤āḥ al-ḥaqq al-ṣarīḥ fī aḥkām al-mayyit va al-farīḥ ... [etc.,ايضاح الحق الصريح فى احکام الميت و الفريح ... الخ,,,,,Īz̤āḥ al-ḥaqq al-ṣarīḥ fī aḥkām al-mayyit va al-farīḥ,Q51745
Daftar al-s̲ālis̲ min Sharḥ-i Shaykh Ḥusayn Khvārazmī,دفتر الثالث من شرح شىخ حسىن خوارزمى,Javāhir al-asrār va zavāhir al-anvār,جواهر الاسرار و زواهر الانوار,,,Javāhir al-asrār va zavāhir al-anvār,Q51746
Sih nas̲r] ... [etc.,سه نثر,,,,,Sih nas̲r,Q51747
Sharḥ-i Sikandarnāmah,شرح سکندرنامه,,,,,Sharḥ-i Sikandarnāmah,Q51748
Dīvān-i Shāhidī ... [etc,دىوان شاهدى ... الخ,Works,,,,Diwan;Works,Q11912;Q5989
Three treatises on logic,,,,,,Treatise on logic,Q20506
