title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,ds_qid,authorized_label_add,ds_qid_add
Hāz̲ā kitāb Risālah-i Quṭb al-muḥaqqiqīn va ʻumdat al-mudaqqiqīn ... [etc.,هذا کتاب رساله قطب المحققىن و عمدة المدققىن,Quṭb al-muḥaqqiqīn va ʻumdat al-mudaqqiqīn,قطب المحققين و عمدة المدققين,,,Quṭb al-muḥaqqiqīn va ʻumdat al-mudaqqiqīn,Q51771
Selections from the Mas̲navī,,Mas̲navī,مثنوى,,,Masnavi,Q27606
Javāhir al-tafsīr,جواهر التفسىر,,,,,Javāhir al-tafsīr,Q51772
Dīvān-i Ḥakīm Sūzanī Samarqandī,دىوان حکىم سوزنى سمرقندى,Poems,,,,Diwan;Poetry,Q11912;Q1330
Dīvān-i Shams-i Tabrīzī,دىوان شمس تبرىزى,,,,,Diwan,Q11912
Rabīʻ al-asābīʻ,ربيع الاسابيع,,,,,Rabīʻ al-asābīʻ,Q51773
Selections of Persian poetry,,,,,,Persian poetry,Q18530
Rajʻat,رجعت,,,,,Rajʻat,Q51774
Kitāb-i Nūr al-ʻuyūn,کتاب نور العىون,Nūr al-ʻuyūn,نور العيون,,,Nūr al-ʻuyūn,Q51775
Akhlāq-i Muḥsinī,اخلاق محسنى,,,,,Akhlāq-i Muḥsinī,Q11746
Surūr al-muʼminīn,سرور المؤمنين,,,,,Surūr al-muʼminīn,Q51776
Section from a Shiʻite tafsīr,,,,,,Shiʻite tafsīr,Q51777
Volume 1 of Tārīkh-i ʻĀlamʹārā-yi ʻAbbāsī] ... etc,,Tārīkh-i ʻĀlamʹārā-yi ʻAbbāsī,تارىخ عالم‌آراى عباسى,,,Tarikh-e Alam-ara-ye Abbasi,Q51778
ʻAyn al-ḥayāt,عين الحياة,,,,,Essence of Life,Q27845
Jild-i siyum-i Rawz̤at al-ṣafā,جلد سيم روضت الصفا,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Khamsah /,خمسه /,,,,,Khamsah,Q18558
Favāyid al-ḥikmah ... [etc.,فواىد الحکمه,,,,,Favāyid al-ḥikmah,Q18373
Jild-i shishum-i Rawz̤at al-ṣafā,جلد ششم روضة الصفا,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Tārīkh-i Tīmūrī,تارىخ تىمورى,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Kitāb-i Ḥāfiẓ,کتاب حافظ,Dīvān,,,,Diwan,Q11912
Jāmiʻ al-ḥikāyāt,جامع الحکاىات,Faraj baʻda al-shiddah,فرج بعد الشدة,,,Faraj baʻda al-shiddah,Q18412
Jild-i avval az Tārīkh-i Mīr Khand,جلد اول از تارىخ مىر خند,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Z̲ikr va bayān-i shammah az faz̤āyil va manāqib-i maʻṣūmīn ... [etc.,ذکر و بيان شمه از فضايل و مناقب معصومين,Shīrāznāmah,شىرازنامه,,,Shīrāznāmah,Q51779
Volume 1 of Rawz̤at al-ṣafā,,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Tārīkh-i Qājārīyah; vaqāyiʻ-i bīst va shish sālah az hizār va divīst va chihil va yik tā shiṣt va shish musammá bi-Tārīkh-i naw /,تارىخ قاجاريه,Tārīkh-i naw,تارىخ نو,,,Tarikh-i Naw,Q51780
Dīvān] ... [etc.,دىوان,Poems,,,,Diwan;Poetry,Q11912;Q1330
Hāz̲ā Tārīkh dar z̲ikr-i mulūk-i ʻArab va ʻajam /,هذا تارىخ در ذکر ملوک عرب و عجم /,,,,,Historical texts,Q7021
Khulāṣat al-Najāt,خلاصة النجات,,,,,Khulāṣat al-Najāt,Q51781
Fīhi mā fīh /,فىه ما فىه /,,,,,Fihi Ma Fihi,Q18573
Jung-i ashʻār-i mutafarriqah,جنگ اشعار متفرقه,,,,,Jung-i ashʻār-i mutafarriqah,Q51782
Jung-i ashʻār,جنگ اشعار,,,,,Jung-i ashʻār,Q51783
Ḥikāyat-i Sulṭān Ibrāhīm va Nūshʹāfarīn Gawhartāj,حکاىت سلطان ابراهىم و نوش‌آفرىن گوهرتاج,,,,,Ḥikāyat-i Sulṭān Ibrāhīm va Nūshʹāfarīn Gawhartāj,Q39267
Hāz̲ā Risālah-i mukhtaṣar ... [etc.,هذا رساله مختصر,Muntakhab al-rasāʼil fī al-tafahhum wa-tafhīm al-masāʼil,منتخب الرسائل في التفهم وتفهيم المسائل,,,Muntakhab al-rasāʼil fī al-tafahhum wa-tafhīm al-masāʼil,Q51784
Ikhtiyārāt al-nujūm,اختىارات النجوم,Lubāb al-ikhtiyārāt fī taʻyīn al-awqāt,لباب الاختيارات في تعيين الاوقات,,,Lubāb al-ikhtiyārāt fī taʻyīn al-awqāt,Q51785
Sirāj al-munīr,سراج المنير,,,,,Sirāj al-munīr,Q51768
Murshid al-ʻavāmm,مرشد العوام,Murshid al-ʻavāmm,مرشد العوام,,,Murshid al-ʻavāmm,Q51786
Volume 2 of Abvāb al-jinān,,Abvāb al-jinān,ابواب الجنان,,,Abvāb al-jinān,Q39178
Sharḥ-i Gulshan-i rāz /,شرح گلشن راز /,Mafātīḥ al-iʻjāz fī sharḥ-i Gulshan-i rāz,مفاتىح الاعجاز فى شرح گلشن راز,,,Mafātīḥ al-iʻjāz fī sharḥ-i Gulshan-i rāz,Q51750
Ziyārat-i ʻĀshūrāʼ,زيارت عاشوراء,,,Ziyārat-i ʻĀshūrāʼ,Q27624,,
Collection of Persian Sufi poetry by an unknown author,,,,,,Sufi texts;Poetry,Q27797;Q1330
Kitāb-i Yūsuf va Zulaykhā /,کتاب ىوسف و زلىخا /,Yūsuf va Zulaykhā,ىوسف و زلىخا,,,Yūsuf va Zulaykhā,Q3708
Yādgār] ... [etc.,ىادگار,,,,,Yādgār,Q51787
Kullīyāt,کليات,Works,,Kullīyāt,Q18598,,
Anvār-i Suhaylī; maʻrūf bi-Kalīlah [va] Dimnah,انوار سهىلى,Kalīlah wa-Dimnah,كليلة ودمنة,,,Kalīlah wa-Dimnah,Q11970
Volume 2 of Rawz̤at al-ṣafā,,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Kitāb-i Rawz̤at al-ṣafā; jild-i siyyum va chahārum,کتاب روضة الصفا,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Hāz̲ā Kitāb-i Vasīlat al-najāt,هذا کتاب وسىلت النجاة,Vasīlat al-najāt,وسىلت النجاة,,,Vasīlat al-najāt,Q51788
al-Mujallad khāmis min Kitāb-i Rawz̤at a[l]-ṣafā,المجلد خامس من کتاب روضة الصفا,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Tafsīr-i Abū al-Futūḥ Rāzī az Sūrah-i Yāsīn ilá ākhir-i Qurʼān,تفسىر ابو الفتوح رازى از سوره يس الى آخر قرآن,Rawz̤ al-jinān va rawḥ al-janān fī tafsīr al-Qurʼān,روض الجنان و روح الجنان فى تفسىر القرآن,,,Rawd al-Jinan,Q51789
Tārīkh-i Nādirī,تارىخ نادرى,,,Tārīkh-i Nādirī,Q18592,,
al-Mufradāt min al-kitāb al-mawsūm bi-Ikhtiyārāt-i Badīʻī,المفردات من الکتاب الموسوم باختىارات بدىعى,Ikhtiyārāt-i Badīʻī,اختىارات بدىعى,,,Ikhtiyārāt-i Badīʻī,Q5058
Rawḍat al-aḥbāb fī sīrat al-nabī wa-al-āl wa-aṣḥāb,روضة الاحباب في سيرة النبي والآل واصحاب,Rawḍat al-aḥbāb fī sīrat al-nabī wa-al-āl wa-aṣḥāb,روضة الاحباب في سيرة النبي والآل واصحاب,,,Rawḍat al-aḥbāb fī sīrat al-nabī wa-al-āl wa-aṣḥāb,Q51790
Tārīkh-i ʻĀlamʹārā-yi ʻAbbāsī,تارىخ عالم‌آذراى عباسى,,,,,Tarikh-e Alam-ara-ye Abbasi,Q51778
Zād al-maʻād,زاد المعاد,,,Zād al-maʻād,Q27611,,
Chahār maqālah /,چهار مقاله /,,,,,Chahar Maqala,Q27737
Dīvān-i Salīm,دىوان سلىم,Poems,,,,Diwan;Poetry,Q11912;Q1330
Hāz̲ā Kitāb-i Kubrá,هذا کتاب کبرى,Kubrá,کبرى,,,Kubrá,Q51791
Hāz̲ā Kitāb-i Ṣarf-i Mīr ... [etc.,هذا کتاب صرف مىر,Ṣarf-i Mīr,صرف مىر,,,Ṣarf-i Mīr,Q51792
Munshaʼāt-i Qāʼim Maqām ... [etc.,منشآت قائم مقام,Works,,,,Works,Q5989
Tarjamah-i Kitāb-i Lumʻah-i nūrānī ... [etc.,ترجمه کتاب لمعه نورانى ... الخ,,,,,Tarjamah-i Kitāb-i Lumʻah-i nūrānī,Q51793
Hāz̲ā kitāb-i tajvīd mawsūm bi-Risālah-i Muḥammadīyah /,هذا کتاب تجوىد موسوم برساله محمديه /,,,,,Hāz̲ā kitāb-i tajvīd mawsūm bi-Risālah-i Muḥammadīyah,Q51794
Dāstān-i Ṣūfī kih maqarrī dar Shīrāz būdah ast,داستان صوفى که مقرى در شىراز بوده است,,,,,Dāstān-i Ṣūfī kih maqarrī dar Shīrāz būdah ast,Q18518
Tarjamah-i Miftāḥ al-falāḥ,ترجمه مفتاح الفلاح,Miftāḥ al-falāḥ,مفتاح الفلاح,,,Miftah al-falah,Q51757
Sharḥ al-Nibrās] ... [etc.,شرح النبراس ... الخ,,,,,Sharḥ al-Nibrās,Q51795
Hāz̲ā kitāb Murshid al-ʻavāmm,هذا کتاب مرشد العوام,Murshid al-ʻavāmm,مرشد العوام,,,Murshid al-ʻavāmm,Q51786
Safīnat al-najāh; maqāl-i siyyum,سفينة النجاة,Safīnat al-najāh,سفينة النجاة,,,Safīnat al-najāh,Q51796
Riyāz̤ al-shahādah fī maṣāyib al-sādah,رىاض الشهاده فى مصاىب الساده,Riyāz̤ al-shahādah,رىاض الشهاده,,,Riyāz̤ al-shahādah,Q51701
Kitāb-i Makārim al-akhlāq,کتاب مکارم الاخلاق,Makārim al-akhlāq,مکارم الاخلاق,,,Makārim al-Akhlāq,Q51797
Laylá va Majnūn,لىلى و مجنون,,,,,Layla and Majnun,Q18445
Abvāb al-jinān,ابواب الجنان,Abvāb al-jinān,ابواب الجنان,,,Abvāb al-jinān,Q39178
Jild-i chahārum-i Tārīkh-i Rawz̤at al-ṣafā,جلد چهارم تارىخ روضة الصفا,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Volume 4 of Rawz̤at al-ṣafā,,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Tārīkh-i ʻĀlamʹārā-yi ʻAbbāsī,تارىخ عالم‌آراى عباسى,,,,,Tarikh-e Alam-ara-ye Abbasi,Q51778
Farhād va Shīrīn ... [etc.,فرهاد و شىرىن,,,,,Farhad and Shirin,Q19920
Jāmiʻ al-anwār min al-kawākib wa-al-abṣār,جامع الانوار من الكواكب والابصار,,,,,Jāmiʻ al-anwār min al-kawākib wa-al-abṣār,Q51798
Risālah-i Tuḥfat al-mulūk ... [etc.,رساله تحفة الملوک,Tuḥfat al-mulūk,تحفة الملوك,,,Tuḥfat al-mulūk,Q27775
al-Tafsīr al-mubārakah fī maʻná al-tawḥīd va ḥaqīqat al-ḥaqāyiq va vaḥdat al-vujūd,التفسىر المبارکة فى معنى التوحىد و حقىقة الحقاىق و وحدة الوجود,,,,,al-Tafsīr al-mubārakah fī maʻná al-tawḥīd va ḥaqīqat al-ḥaqāyiq va vaḥdat al-vujūd,Q19924
Z̲akhīrat al-mulūk,ذخىرة الملوک,,,,,Z̲akhīrat al-mulūk,Q51799
Majmūʻah-i sulṭānī,مجموعه سلطانى,,,,,Majmūʻah,Q18453
Ījād-i Rangīn ... [etc.,ايجاد رنگىن ... الخ,,,,,Ījād-i Rangīn,Q51800
Sifr al-saʻādah,سفر السعادة,Sifr al-saʻādah,سفر السعادة,,,Sifr al-saʻādah,Q51801
Naẓm al-Shamāʼil ... [etc.,نظم الشمائل ... الخ,,,,,Naẓm al-Shamāʼil,Q51802
Irshād al-muʾminīn,ارشاد المؤمنين,,,,,Irshād al-muʼminīn,Q51760
Zubdat al-farāyiz̤,زبدة الفراىض,,,,,Zubdat al-farāyiz̤,Q51803
al-ʻUjālah al-daqīqah fī masāʾil al-ʻaqīqah,العجالة الدقيقة في مسائل العقيقة,,,,,al-ʻUjālah al-daqīqah fī masāʾil al-ʻaqīqah,Q19948
Shams al-aʻmāl,شمس الاعمال,,,,,Shams al-aʻmāl,Q51804
Māʾidah-ʾi pur s̲imār tarjamah-ʾi Nuzul al-abrār ... [etc.,مائدۀ پر ثمار ترجمۀ نزل الابرار,,,,,Māʾidah-ʾi pur s̲imār tarjamah-ʾi Nuzul al-abrār,Q51805
Shavāhid al-nubūvat li-taqvīyat yaqīn ahl al-futūvat,شواهد النبوة لتقوية ىقىن اهل الفتوة,,,,,Shavāhid al-nubūvat li-taqvīyat yaqīn ahl al-futūvat,Q51806
Surūr al-maḥzūn /,سرور المحزون /,,,,,Surūr al-maḥzūn,Q51807
Salamān va Absāl] ... [etc.,سلمان و ابسال,,,,,Salaman and Absal,Q51808
Dīvān-i ʻUrfī,دىوان عرفى,Poems,,,,Diwan;Poetry,Q11912;Q1330
Qaṣāʾid-i ʻUrfī,قصائد عرفى,Poems,,,,Poetry,Q1330
Dīvān-i ʻUnṣurī,دىوان عنصرى,,,,,Diwan,Q11912
Dīvān-i Sayyid Fatḥ ʻAlī Khān Ḥusaynī Dihlavī,دىوان سيد فتح على خان حسىنى دهلوى,,,,,Diwan,Q11912
"Dīvān-i Bīdil, va, Dīvān-i Shams",دىوان بىدل، و، دىوان شمس,,,,,Diwan,Q11912
Ṭibb-i Shihābī ... [etc.,طب شهابى,,,,,Ṭibb-i Shihābī,Q51809
Risālah dar bayān-i masāyilī kih mutaʻalliq ast bi-libās va zīnat ... [etc.,رساله در بىان مساىلى که متعلق است بلباس و زىنت,,,,,Sumptuary text,Q51810
"Mas̲navī-yi Ghanīmat, va, Miʻrākhʹnāmah [sic], va, Ḥilyah-i sharīf manẓūm",مثنوىى غنىمت، و، معراخ‌نامه، و، حلىه شرىف منظوم,,,,,Masnavi,Q27606
Risālah-i Taʻbīr-i khvāb nāmah,رساله تعبىر خواب نامه,Taʻbīr-i khvāb nāmah,تعبىر خواب نامه,,,Taʻbīr-i khvāb nāmah,Q51811
Nuzhat al-ʻāshiqīn,نزهة العاشقىن,,,,,Nuzhat al-ʻāshiqīn,Q51812
Niṣāb al-ṣibyān ... [etc.,نصاب الصبيان,,,,,Niṣāb al-ṣibyān,Q48578
Īn kitāb Ruqʻāt-i ʻĀlamgīrī ast faqaṭ,اين کتاب رقعات عالمگىرى است فقط,Correspondence,,,,Correspondence,Q38385
Ruqʻāt-i Jāmī,رقعات جامى,Correspondence,,,,Correspondence,Q38385
Miyat al-masāʾil fī taḥṣīl al-faz̤āyil bi-al-adillah al-sharʻīyah va tark al-umūr al-manhīyah,ماىة المسائل فى تحصىل الفضاىل بالادلة الشرعية و ترک الامور المنهية,,,,,Miyat al-masāʾil fī taḥṣīl al-faz̤āyil bi-al-adillah al-sharʻīyah va tark al-umūr al-manhīyah,Q51813
"Khuṭbah-i Nawras, va, Gulz̲ār-i Ibrāhīm, va, Dībāchah-i Khvān-i Khalīl, va, Mīnā Bāzār, va, Ruqʻāt-i Ẓuhūrī",خطبه نورس، و، گلذار ابراهىم، و، دىباچه خوان خلىل، و، مىنا بازار، و، رقعات ظهورى,Works,,,,Works,Q5989
Risālah dar ʻilm-i qavāfī,رساله در علم قوافى,,,,,Grammatical text,Q6010
ʻArūz̤-i Sayfī,عروض سىفى,,,,,ʻArūz̤-i Sayfī,Q51814
Makhzan al-Afghānī,مخزن الافغانى,,,,,Makhzan al-Afghānī,Q51815
Ḥabīb al-siyar fī akhbār afrād al-bashar,حبىب السىر فى اخبار افراد البشر,Ḥabīb al-siyar,حبىب السىر,,,Habib al-Siyar,Q39543
Mukātabāt-i ʻAllāmī,مکاتبات علامى,Correspondence,,,,Correspondence,Q38385
Tārīkh al-Madīnah /,تارىخ المدىنه /,Jaz̲b al-qulūb ilá diyār al-maḥbūb,جذب القلوب الى دىار المحبوب,,,Jaz̲b al-qulūb ilá diyār al-maḥbūb,Q51816
Risālah-i Savāniḥ ... [etc.,رساله سوانح ... الخ,,,,,Risālah-i Savāniḥ,Q51817
Mas̲navī poem,,Poems,,,,Masnavi;Poetry,Q27606;Q1330
Selection of poems,,Dīvān,دىوان,,,Diwan,Q11912
Dīvān-i Faghānī,دىوان فغانى,Poems,,,,Diwan;Poetry,Q11912;Q1330
Volume 6 of the Rawz̤at al-ṣafā,,Rawz̤at al-ṣafā,روضة الصفا,,,Rawz̤at al-ṣafāʼ,Q48522
Manāfiʻ al-muslimīn,منافع المسلمىن,,,,,Manāfiʻ al-muslimīn,Q51818
Bāqir al-anvār ... [etc.,باقر الانوار,,,,,Bāqir al-anvār,Q39822
Māʼidah-i samāvīyah ... [etc.,مائده سماوية ... الخ,,,,,Māʾidah-i samāvīyah,Q51720
al-Ṣiḥāḥ al-ʻajamīyah,الصحاح العجمية,,,,,al-Ṣiḥāḥ al-ʻajamīyah,Q39951
Fragments from a history of the Imāms,,,,,,History of the Imams,Q6012
Persian medical manual,,,,,,Medical texts,Q817
Select collection of letters /,,Correspondence,,,,Correspondence,Q38385
Jām-i jahānʹnumā-yi ʻAbbāsī,جام جهان‌نماى عباسى,,,,,Jām-i jahānʹnumā-yi ʻAbbāsī,Q51819
Shāhnāmah,شاهنامه,,,Shāhnāmah,Q18627,,
Kifāyat al-taʻlīm dar ṣināʻat-i tanjīm ... [etc.,كفاية التعليم در صناعت تنجيم ... الخ,Works,اعمال,,,Works,Q5989
Risālah fī al-ʻamal bi-asʹhal ālah min qibal al-nujūm,رسالة في العمل باسهل آلة من قبل النجوم,Risālah fī al-ʻamal bi-asʹhal ālah min qibal al-nujūm,رسالة في العمل باسهل آلة من قبل النجوم,,,Risālah fī al-ʻamal bi-asʹhal ālah min qibal al-nujūm,Q51820
Yūsuf va Zulaykhā,يوسف و زليخا,,,Yūsuf va Zulaykhā,Q3708,,
Dastūr al-asāmī,دستور الاسامي,,,,,Dastūr al-asāmī,Q39921
Kunh al-murād fī wafq al-aʻdād,كنه المراد في وفق الاعداد,,,,,Kunh al-murād fī wafq al-aʻdād,Q51821
Naqlast az Ḥaz̤rat-i Amīr al-Muʾminīn ʻalayhi al-salām kih harkih khvāhad kih fāl bigīrad,نقلست از حضرت امىر المؤمنىن علىه السلام که هرکه خواهد که فال بگىرد,,,,,Naqlast az Ḥaz̤rat-i Amīr al-Muʾminīn ʻalayhi al-salām kih harkih khvāhad kih fāl bigīrad,Q51822
Zubdat al-Islām,زبدة الاسلام,,,,,Zubdat al-Islām,Q51823
Tuḥfah-ʾi Is̲nā ʻAsharīyah /,تحفۀ اثنا عشرية /,,,,,Tuḥfah-ʼi Is̲nay ʻAsharīyah,Q11821
Tuḥfah-i Sām Mīrzā,تحفه سام مرزا,,,,,Tuḥfah-i Sām Mīrzā,Q51824
Khurrām nāmah /,خرام نامه,,,,,Khurrām nāmah,Q51825
Asrār-i siyāh-i maqtūlīn pāy-i talfan,اسرار سىاه مقتولىن پاي تلفن,,,,,Asrār-i siyāh-i maqtūlīn pāy-i talfan,Q39482
Bustān al-muḥaddis̲īn,بستان المحدثين,,,,,Bustān al-muḥaddis̲īn,Q18602
Mukhtaṣar dar maʻrifat-i baʻdī umūr kih ahl-i falāḥat-rā bi-kār āyad,مختصر در معرفت بعدي امور كه اهل فلاحت را بكار آيد,,,,,Mukhtaṣar dar maʻrifat-i baʻdī umūr kih ahl-i falāḥat-rā bi-kār āyad,Q51826
Musawwid-i awrāq-i īn aṭbāq va-muzayyin-i ẓurūf-i īn ḥurūf /,مسود اوراق اين اطباق ومزين ظروف اين حروف /,Nuzʹhat al-qulūb,نزهت القلوب,,,Nuzhat al-Qulub,Q11633
Mus̲allas̲āt dar ʻilm-i raml /,مثلثات در علم رمل/,,,,,Mus̲allas̲āt dar ʻilm-i raml,Q51827
Dīvān-i Ṣāʼib min al-davāvīn al-Fārisīyah,ديوان صائب من الدواوين الفارسيه,,,,,Diwan,Q11912
Tārīkh-i Hindustān,تاريخ هندستان,,,,,Tārīkh-i Hindustān,Q51828
Kitāb-i Shāhnāmah /,کتاب شاهنامه /,Shāhnāmah,شاهنامه,,,Shahnameh,Q18627
Kitāb-i Fārsī-i hayʾat,كتاب فارسى هيأت,Fārsī-i hayʾat,فارسى هيأت,,,Fārsī-i hayʾat,Q18483
Ikhtiyārāt al-aḥkām al-ʻalāʼīyah min al-aʻlām al-samāwīyah,اختيارات الاحكام العلائية من الاعلام السماوية,,,,,Ikhtiyārāt al-aḥkām al-ʻalāʼīyah min al-aʻlām al-samāwīyah,Q51829
Risālah-i aflākīyah dar tarkīb-i filizzāt-i sabʻah /,رساله افلاكية در تركيب فزلات سبعة /,,,,,Risālah-i aflākīyah dar tarkīb-i filizzāt-i sabʻah,Q51830
Kitāb-i Shabistān,كتاب شبستان,Shabistān-i khayāl,شبستان خيال,,,Shabistān-i khayāl,Q51831
Kitāb-i Shaykh Saʻdī,کتاب شىخ سعدى,Kullīyat-i Bīdil,کليت بىدل,,,Kullīyat-i Bīdil,Q51832
Riyāz̤ al-inshāʼ,رىاض الانشاء,,,,,Riyāz̤ al-inshāʼ,Q51833
Haylājʹnāmah /,هيلاج نامه /,,,,,Haylājʹnāmah,Q51834
Minhāj al-mustakhīr /,منهاج المستخير/,,,,,Minhāj al-mustakhīr,Q51835
Tārīkh-i ʻĀlamʹārā-yi ʻAbbāsī,تاريخ عالم ارائ عباسي,,,,,Tarikh-e Alam-ara-ye Abbasi,Q51778
Sharḥ mufīd taʼlīf al-ʻālim al-mudaqqiq ʻAbd al-ʻAlī ibn Muḥammad al-Birjandī ʻalá Risālah-yi Bīst bāb-i Khwājah Naṣīr al-Dīn Muḥammad al-Ṭūsī raḥimahu Allāh,شرح مفيد تاليف العالم المدقق عبد العلي بن محمد البرجندي على رساله بيست باب خواجه نصير الدين محمد الطوسي رحمه الله,Sharḥ-i Bīst bāb dar maʻrifat-i asṭurlāb,,,,Sharḥ-i Bīst bāb dar maʻrifat-i asṭurlāb,Q27596
Ātishkadah,آتشكده,,,Ātishkadah,Q27681,,
Dīvān-i Ḥāfiẓ,دىوان حافظ,Poems,,Divan of Hafez;Dīwān,Q18593;Q11912,,
Daftar,دفتر,,,,,Notebook,Q5488
Valāyatʹnāmah-i ḥaz̤rat Amīr al-Muʾminīn,ولاىة نامه حضرت امىر المؤمنىن,,,,,Valāyatʹnāmah-i ḥaz̤rat Amīr al-Muʾminīn,Q51836
Akhlāq-i Nāṣirī /,اخلاق ناصرى/,,,,,Akhlaq-i Nasiri,Q12212
Īn kitāb-i Tuḥfat al-aḥrār /,اين كتاب تحفة الاحرار,Tuḥfat al-aḥrār,تحفة الاحرار,,,Tuhfat al-Ahrar,Q51837
Pandnāmah-i /,پندنامه شيخ عطار,Pandnāmah,پندنامه,,,Pandnāmah,Q51689
Dīvān /,ديوان /,Poems,,,,Diwan;Poetry,Q11912;Q1330
Khamsah,خمسه,,,Khamsah,Q18558,,
Kitāb [al-]Tadhkirah /,كتاب التذكرة /,Tadhkirat al-shuʻarāʾ,تذكرة الشعراء,,,Tadhkirah al-Shuara,Q51838
Asrārʹnāmah-ʾi /,اسرار نامه,Jawhar al-z̲āt,جوهر الذات,,,Jawhar al-z̲āt,Q51839
Hadhā al-kitāb al-Mathnawī wa-huwa aṣl uṣūl al-dīn fī kashf asrār al-uṣūl,هذا الكتاب المثنوي وهو اصل اصول الدين في كشف اسرار الاصول,Mas̲navī,مثنوي,,,Masnavi,Q27606
Dīvān-i Khāqānī,دىوان خاقانى,Poems,,,,Diwan;Poetry,Q11912;Q1330
Yūsuf va Zulaykhā,ىوسف و زلىخا,,,Yūsuf va Zulaykhā,Q3708,,
Gulistān ... [etc.,گلستان,,,,,Gulistan,Q3702
Treatise on the the requirements for the Muslim ritual prayer,,,,,,Treatise on prayer,Q51744
Persian and Arabic miscellany,,,,,,Persian texts;Arabic texts,Q7568;Q12258
Persian and Turkish miscellany with tracts of the Ḥurūfī sect,,,,,,Tracts of the Ḥurūfī sect,Q51840
Collection of Bahāʾī texts,,,,,,Baháʼí texts,Q18490
Early pilgrimage manual to Mecca and Medina,,,,,,Pilgrimage manual,Q51841
Persian magic text,,,,,,Magical texts,Q38350
Letters and decrees of Farhād Mīrzā,,,,,,Letters;Decrees,Q5068;Q17558
Two miniatures from the Ilkhanid period,,,,,,Miniatures,Q20429
Journal,,,,,,Journals,Q17559
Dashama skanda az Bāgvat,دشمسکند از باگوت,Bhagavadgītā,,,,Bhagavad Gita,Q27759
Scene from the Ḥamzahʹnāmah,,Romance of Amīr Ḥamza,حمزه‌نامه,,,Hamzanama,Q3140
Collection of poetry and other texts,,,,,,Poetry,Q1330
"Collection of texts on doctrine, ritual, and ethics",,,,,,Doctrine;Ritual;Ethics,Q52081;Q17539;Q5031
Miscellany of magic texts,,,,,,Magical texts,Q38350
Panj risālah ast /,,Selections,,,,Selections,Q12769
Ghazalīyāt-i Bābā Faghānī,غزلياتا بابا فغاني,Poems,,,,Poetry,Q1330
Dastūr al-ʻamal-i ṭibbī ... [etc.,دستور العمل طبى,,,,,Medical text,Q20372
Miftāḥ al-maqāṣid,مفتاح المقاصد,,,,,Miftāḥ al-maqāṣid,Q51842
Taz̲kirah-ʾi shuʻarā-yi Hindūstān,تذکرۀ شعراى هندوستان,,,,,Taz̲kirah-ʾi shuʻarā-yi Hindūstān,Q51843
Tuffāḥīyah ... [etc.,تفاحيه,De pomo,,,,Book of the Apple,Q27532
Risālah-i ṣināʻat ... [etc.,رساله صناعت,,,,,Risālah-i ṣināʻat,Q51844
Kitāb-i Tanbīhāt /,کتاب تنبىهات /,,,,,Kitāb-i Tanbīhāt,Q51845
Laṭāyif al-lughāt,لطاىف اللغات,,,,,Laṭāyif al-lughāt,Q51846
Naqd al-nuṣūṣ fī sharḥ Naqsh al-Fuṣūṣ ... [etc.,نقد النصوص في شرح نقش الفصوص,,,,,Naqd al-nuṣūṣ fī sharḥ Naqsh al-Fuṣūṣ,Q51847
Rasāʾil al-raml fī ʻulūm al-nuqṭah,رسائل الرمل فى علوم النقطه,,,,,Scientific texts,Q7521
Ẓuhūr al-ḥaqq,ظهور الحق,,,,,Ẓuhūr al-ḥaqq,Q51848
Zād al-musāfirīn] ... [etc.,زاد المسافرين,,,,,Zād al-musāfirīn,Q51849
Tuḥfat al-zāyir,تحفة الزاير,,,,,Tuḥfat al-zāyir,Q51850
Dīvān-i ʻAbd al-Rasūl Zunūzī,دىوان عبد الرسول زنوزى,Poems,,,,Diwan;Poetry,Q11912;Q1330
Ijābat al-muz̤ṭarrīn fī bayān al-uṣūl va furūʻ al-dīn,اجابت المضطرىن فى بىان الصول و فروع الدىن,Ijābat al-muḍṭarrīn,اجابة المضطرين,,,Ijābat al-muḍṭarrīn,Q51851
Manhaj al-fāz̤ilīn,منهج الفاضلىن,,,,,Manhaj al-fāz̤ilīn,Q51852
Kitāb-i Muḥarriq al-qulūb /,کتاب محرق القلوب /,Muḥarriq al-qulūb,محرق القلوب,,,Muḥarriq al-qulūb,Q51853
