row_index,genre_as_recorded,vocab,source_authority_uri,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
1,illuminated manuscripts,aat,,,,,illuminated manuscripts,http://vocab.getty.edu/aat/300265483,Q4268
2,Illuminated initials (Layout features),aat,,,,,decorated initials,http://vocab.getty.edu/aat/300417548,Q10807
3,Commentaries,fast,(OCoLC)fst01423723,,,,Commentaries,http://id.worldcat.org/fast/1423723,Q2812
4,Early works,fast,(OCoLC)fst01411636,,,,Early works,http://id.worldcat.org/fast/1411636,Q300
5,Manuscripts--France--12th century,aat,,,,,manuscripts (documents);France;Twelfth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1159791,Q10789;Q152;Q304
6,Manuscripts,aat,,,,,manuscripts (documents),http://vocab.getty.edu/aat/300028569,Q10789
7,Specimens,fast,(OCoLC)fst01423861,,,,Specimens,http://id.worldcat.org/fast/1423861,Q239
8,Manuscripts--England--12th century,aat,,,,,manuscripts (documents);England;Twelfth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/1159791,Q10789;Q320;Q304
9,Texts,fast,(OCoLC)fst01423705,,,,Texts,http://id.worldcat.org/fast/1423705,Q3066
10,Hymnals,rbgenr,,Hymnals,http://id.loc.gov/vocabulary/rbmscv/cv01449,Q42529,,,
11,Velvet bindings (Binding),rbbin,,,,,Velvet bindings,http://id.loc.gov/vocabulary/rbmscv/cv00708,Q5833
12,History,fast,(OCoLC)fst01411628,,,,History,http://id.worldcat.org/fast/1411628,Q279
13,Contemporary bindings (Binding)--15th century,rbbin,,Contemporary bindings;Fifteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00480;http://id.worldcat.org/fast/923962,Q5930;Q154,,,
14,Manuscripts--Belgium--15th century,aat,,,,,manuscripts (documents);Belgium;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1210278;http://id.worldcat.org/fast/923962,Q10789;Q16301;Q154
15,Manuscripts--Netherlands--15th century,aat,,,,,manuscripts (documents);Netherlands;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204034;http://id.worldcat.org/fast/923962,Q10789;Q5863;Q154
16,Manuscripts--Benelux countries--15th century,aat,,manuscripts (documents);Benelux countries;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1242373;http://id.worldcat.org/fast/923962,Q10789;Q42530;Q154,,,
17,Manuscripts--Luxembourg--15th century,aat,,manuscripts (documents);Luxembourg;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1211813;http://id.worldcat.org/fast/923962,Q10789;Q42531;Q154,,,
18,Manuscripts--Germany--Mainz--15th century,aat,,manuscripts (documents);Germany--Mainz (Rhineland-Palatinate);Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1312353;http://id.worldcat.org/fast/923962,Q10789;Q7770;Q154,,,
19,Manuscript waste (Binding),rbbin,,,,,Manuscript waste,http://id.loc.gov/vocabulary/rbmscv/cv01568,Q5892
20,Contemporary bindings (Binding)--Germany--15th century,rbbin,,Contemporary bindings;Germany;Fifteenth century,http://id.loc.gov/vocabulary/rbmscv/cv00480;http://id.worldcat.org/fast/1210272;http://id.worldcat.org/fast/923962,Q5930;Q3032;Q154,,,
21,Psalters,rbgenr,,,,,Psalters,http://id.loc.gov/vocabulary/rbmscv/cv01544,Q38532
22,Manuscripts--France--15th century,aat,,,,,manuscripts (documents);France;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/923962,Q10789;Q152;Q154
23,Illuminated manuscripts--France--15th century,aat,,,,,illuminated manuscripts;France;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/923962,Q4268;Q152;Q154
24,Illuminated initials (Layout features)--France--15th century,aat,,decorated initials;France;Fifteenth century,http://vocab.getty.edu/aat/300417548;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/923962,Q10807;Q152;Q154,,,
25,Books of hours,rbgenr,,,,,Books of hours,http://id.loc.gov/vocabulary/rbmscv/cv01037,Q38439
26,Manuscripts--Belgium--Bruges--15th century,aat,,manuscripts (documents);Belgium--Bruges;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1204513;http://id.worldcat.org/fast/923962,Q10789;Q38496;Q154,,,
27,Illuminated manuscripts--Belgium--Bruges--15th century,aat,,illuminated manuscripts;Belgium--Bruges;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1204513;http://id.worldcat.org/fast/923962,Q4268;Q38496;Q154,,,
28,Illuminated initials (Layout features)--Belgium--15th century,aat,,decorated initials;Belgium;Fifteenth century,http://vocab.getty.edu/aat/300417548;http://id.worldcat.org/fast/1210278;http://id.worldcat.org/fast/923962,Q10807;Q16301;Q154,,,
29,Manuscripts--France--Paris--15th century,aat,,manuscripts (documents);France--Paris;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1205283;http://id.worldcat.org/fast/923962,Q10789;Q27297;Q154,,,
30,Illuminated manuscripts--France--Paris--15th century,aat,,illuminated manuscripts;France--Paris;Fifteenth century,http://vocab.getty.edu/aat/300265483;http://id.worldcat.org/fast/1205283;http://id.worldcat.org/fast/923962,Q4268;Q27297;Q154,,,
31,Prayers and devotions,fast,(OCoLC)fst01423909,,,,Prayers and devotions,http://id.worldcat.org/fast/1423909,Q3052
32,Manuscripts--Spain--Zafra (Badajoz),aat,,manuscripts (documents);Spain--Zafra (Badajoz),http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1316021,Q10789;Q42532,,,
33,Seals,gmgpc,,Seals (Numismatics),http://id.worldcat.org/fast/1110321,Q27407,,,
34,Legal instruments,rbgenr,,Legal instruments,http://id.loc.gov/vocabulary/rbmscv/cv00057,Q16322,,,
35,Sources,fast,(OCoLC)fst01423900,,,,Sources,http://id.worldcat.org/fast/1423900,Q2769
36,Biographies,fast,(OCoLC)fst01919896,,,,Biographies,http://id.worldcat.org/fast/1919896,Q3051
37,wills,aat,,,,,wills,http://vocab.getty.edu/aat/300027764,Q4900
38,Wills,fast,,Wills,http://id.worldcat.org/fast/1774321,Q38554,,,
39,Wills,lcgft,http://id.loc.gov/authorities/genreForms/gf2011026740,,,,Wills,http://id.worldcat.org/fast/1774321,Q38554
40,Testaments,rvmgf,,Wills,http://id.worldcat.org/fast/1774321,Q38554,,,
41,Manuscripts--Portugal--18th century,aat,,manuscripts (documents);Portugal;Eighteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1208476;http://id.worldcat.org/fast/904058,Q10789;Q7091;Q3024,,,
42,Palm leaf,aat,,palm leaf (material),http://vocab.getty.edu/aat/300011894,Q38515,,,
43,Manuscripts--Indonesia--Java--19th century,aat,,manuscripts (documents);Indonesia--Java;Nineteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1244461;http://id.worldcat.org/fast/1037841,Q10789;Q42533;Q3538,,,
44,Manuscripts--Indonesia--Java--20th century,aat,,manuscripts (documents);Indonesia--Java;Twentieth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1244461;http://id.worldcat.org/fast/1159810,Q10789;Q42533;Q5942,,,
45,Poetry,,,,,,Poetry,http://id.worldcat.org/fast/1423828,Q247
46,dialogues,aat,,,,,dialogues,http://vocab.getty.edu/aat/300026185,Q330
47,poetry,aat,,,,,poetry,http://vocab.getty.edu/aat/300055931,Q11358
48,Dialogues (Literature),fast,(OCoLC)fst01921627,Dialogues (Literature),http://id.worldcat.org/fast/1921627,Q42534,,,
49,Humor,fast,(OCoLC)fst01423696,Humor,http://id.worldcat.org/fast/1423696,Q42535,,,
50,Macaronic verse,fast,(OCoLC)fst01922458,Macaronic verse,http://id.worldcat.org/fast/1922458,Q42536,,,
51,Poetry,fast,(OCoLC)fst01423828,,,,Poetry,http://id.worldcat.org/fast/1423828,Q247
52,Dialogues (Literature),lcgft,,Dialogues (Literature),http://id.worldcat.org/fast/1921627,Q42534,,,
53,Poetry,lcgft,,,,,Poetry,http://id.worldcat.org/fast/1423828,Q247
54,Macaronic verse,lcgft,,Macaronic verse,http://id.worldcat.org/fast/1922458,Q42536,,,
55,Dialogues (Littérature),rvmgf,,Dialogues (Literature),http://id.worldcat.org/fast/1921627,Q42534,,,
56,Poésie,rvmgf,,,,,Poetry,http://id.worldcat.org/fast/1423828,Q247
57,Poésie macaronique,rvmgf,,Macaronic verse,http://id.worldcat.org/fast/1922458,Q42536,,,
58,Chronology,,,chronologies (lists),http://vocab.getty.edu/aat/300252008,Q6966,,,
59,chronologies (lists),aat,,,,,chronologies (lists),http://vocab.getty.edu/aat/300252008,Q6966
60,Chronologies,fast,(OCoLC)fst01423901,Chronologies,http://id.worldcat.org/fast/1423901,Q7990,,,
61,Chronologies,lcgft,,,,,Chronologies,http://id.worldcat.org/fast/1423901,Q7990
62,Chronologies,rvmgf,,Chronologies,http://id.worldcat.org/fast/1423901,Q7990,,,
63,Manuscripts--England--15th century,aat,,,,,manuscripts (documents);England;Fifteenth century,http://vocab.getty.edu/aat/300028569;http://id.worldcat.org/fast/1219920;http://id.worldcat.org/fast/923962,Q10789;Q320;Q154
