row_index,workflow_history,language_as_recorded,language_code,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
1,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T21:49:24.788534600Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-07-09T21:50:47.587354400Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-07-09T22:13:35.367331400Z",Latin,,,,,Latin,Q397,Q113
2,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T21:49:24.806532700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-07-09T21:50:47.588357500Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-07-09T22:13:35.370329100Z","German, Latin, and Greek",,German;Latin;Greek,Q188;Q397;Q9129,Q112;Q113;Q1318,,,
3,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T21:49:24.806532700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-07-09T21:50:47.589357900Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-07-09T22:13:35.370329100Z",Latin and Italian,,,,,Latin;Italian,Q397;Q652,Q113;Q116
4,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T21:49:24.806532700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-07-09T21:50:47.590358700Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-07-09T22:13:35.370329100Z",Italian,,,,,Italian,Q652,Q116
5,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T21:49:24.806532700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-07-09T21:50:47.590358700Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-07-09T22:13:35.370329100Z","Latin, with calender, titles, and some prayers in Old French",,Latin;Old French,Q397;Q35222,Q113;Q3106,,,
6,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T21:49:24.806532700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-07-09T21:50:47.590358700Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-07-09T22:13:35.370329100Z",spa,,,,,Spanish,Q1321,Q114
7,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T21:49:24.806532700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-07-09T21:50:47.590358700Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-07-09T22:13:35.370329100Z",lat,,,,,Latin,Q397,Q113
8,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T21:49:24.806532700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-07-09T21:50:47.590358700Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-07-09T22:13:35.370329100Z",English and Latin,,,,,English;Latin,Q1860;Q397,Q109;Q113
9,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T21:49:24.806532700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-07-09T21:50:47.590358700Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-07-09T22:13:35.370329100Z",Portuguese and Latin,,Portuguese;Latin,Q5146;Q397,Q38114;Q113,,,
10,"LANGUAGE RECON, STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T21:49:24.806532700Z | LANGUAGE RECON, STEP 3: START LANGUAGE RECON 2024-07-09T21:50:47.590358700Z | LANGUAGE RECON, STEP 6: FINALIZED 2024-07-09T22:13:35.370329100Z",Javanese script,,Javanese,Q33549,Q38105,,,
