row_index,workflow_history,place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid
1,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.018915600Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:11.995762800Z",Milan,,,,Milan,http://vocab.getty.edu/tgn/7005903,Q7499
2,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",France,,,,France,http://vocab.getty.edu/tgn/1000070,Q122
3,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",Germany,,,,Germany,http://vocab.getty.edu/tgn/7000084,Q131
4,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",Nurnberg,Nuremberg,http://vocab.getty.edu/tgn/7004334,Q3080,,,
5,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",England,,,,England,http://vocab.getty.edu/tgn/7002445,Q133
6,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",Italy,,,,Italy,http://vocab.getty.edu/tgn/1000080,Q134
7,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",Benelux countries,,,,Low Countries,http://vocab.getty.edu/tgn/7029439,Q1115
8,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",Mainz,Mainz,http://vocab.getty.edu/tgn/7004449,Q3082,,,
9,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",Ghent,,,,Ghent,http://vocab.getty.edu/tgn/7007887,Q16408
10,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",Bruges,,,,Bruges,http://vocab.getty.edu/tgn/7007867,Q16418
11,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",Paris,,,,Paris,http://vocab.getty.edu/tgn/7008038,Q136
12,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",Florence,,,,Florence,http://vocab.getty.edu/tgn/7000457,Q3084
13,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",Lisbon,,,,Lisbon,http://vocab.getty.edu/tgn/7010978,Q38230
14,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",Java,Java,http://vocab.getty.edu/tgn/7003695,Q42456,,,
15,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",Spain,,,,Spain,http://vocab.getty.edu/tgn/1000095,Q129
16,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z","Zaragoza, Spain",Zaragoza;Spain,http://vocab.getty.edu/tgn/7008813;http://vocab.getty.edu/tgn/1000095,Q4330;Q129,,,
17,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z","Medinaceli, Spain",Medinaceli;Spain,http://vocab.getty.edu/tgn/1062226;http://vocab.getty.edu/tgn/1000095,Q42457;Q129,,,
18,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",Place of publication not identified,,,,undetermined,http://vocab.getty.edu/tgn/7544559,Q650
19,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",India,,,,India,http://vocab.getty.edu/tgn/7000198,Q138
20,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",S.l,,,,,,
21,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",North Africa,,,,North Africa,http://vocab.getty.edu/tgn/7016886,Q3652
22,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",Iran?,,,,Iran,http://vocab.getty.edu/tgn/7000231,Q2822
23,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",Iran,,,,Iran,http://vocab.getty.edu/tgn/7000231,Q2822
24,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z","Lisbon, Portugal?",,,,Lisbon;Portugal,http://vocab.getty.edu/tgn/7010978;http://vocab.getty.edu/tgn/1000090,Q38230;Q19906
25,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z","Cadiz, Spain",Cádiz;Spain,http://vocab.getty.edu/tgn/7007512;http://vocab.getty.edu/tgn/1000095,Q42458;Q129,,,
26,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",Spain?,,,,Spain,http://vocab.getty.edu/tgn/1000095,Q129
27,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z","Seville, Spain",,,,Seville;Spain,http://vocab.getty.edu/tgn/7008676;http://vocab.getty.edu/tgn/1000095,Q3102;Q129
28,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",Madrid,,,,Madrid,http://vocab.getty.edu/tgn/7010413,Q7212
29,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z","Niederrhein, Germany",Lower Rhine;Germany,http://vocab.getty.edu/tgn/7013246;http://vocab.getty.edu/tgn/7000084,Q20359;Q131,,,
30,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z","Piacenza or Milan, Italy",Piacenza;Milan;Italy,http://vocab.getty.edu/tgn/7004939;http://vocab.getty.edu/tgn/7005903;http://vocab.getty.edu/tgn/1000080,Q4999;Q7499;Q134,,,
31,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z",Northern France,,,,Northern France,http://vocab.getty.edu/tgn/4004036,Q1114
32,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.047747800Z","Pamplona, Spain",Pamplona;Spain,http://vocab.getty.edu/tgn/7008233;http://vocab.getty.edu/tgn/1000095,Q42459;Q129,,,
33,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.048751200Z",Trier,Trier,http://vocab.getty.edu/tgn/7004447,Q38312,,,
34,"PLACE RECON STEP 2: ROWS INDEXED, WORKFLOW STARTED 2024-07-09T22:56:42.020254800Z | PLACE RECON, STEP 3: START RECON 2024-07-09T22:57:03.611802700Z | PLACE RECON, STEP 6: FINALIZED 2024-07-11T21:50:12.048751200Z",Bologna,,,,Bologna,http://vocab.getty.edu/tgn/7004847,Q3087
