name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,ds_id_add,structured_value_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
Josh. Miller,former owner,,,human,Josh Miller,DSNAME6106,Q128242471,Q48682,,,,
Moor of Ireton,former owner,,,human,Moor of Ireton,DSNAME6107,Q128242685,Q48683,,,,
Woodward-Ruth Collection,former owner,,,organization,Woodward-Ruth Collection,DSNAME6108,Q128242859,Q48684,,,,
Boniface VIII,author,,,,,,,,human,Boniface VIII,Q134646,Q40316
Luke the Evangelist,author,,,human,Luke the Evangelist,DSNAME4721,Q128538,Q41166,,,,
Thomas of Capua,author,,,,,,,,human,Thomas of Capua,Q2428445,Q7299
Thomas Aquinas,author,,,,,,,,human,Thomas Aquinas,Q9438,Q1919
Luke,author,,,,,,,,human,Luke the Evangelist,Q128538,Q41166
Edward Alexander Parsons,former owner,,,human,Edward Alexander Parsons,DSNAME2429,Q59631299,Q17638,,,,
Niccolò Tedeschi,author,,,human,Panormitanus,DSNAME2922,Q1370153,Q20238,,,,
Virgil,author,,http://id.loc.gov/authorities/names/n79014062,,,,,,human,Virgil,Q1398,Q6128
Avicenna,author,,,,,,,,human,Avicenna,Q8011,Q2845
Gregory IX,author,,,,,,,,human,Gregory IX,Q124831,Q1942
Bernardo Bottoni,author,,,human,Bernard of Botone,DSNAME2831,Q942419,Q20149,,,,
Giovanni d'Andrea,author,,,,,,,,human,Giovanni d'Andrea,Q920858,Q16496
Innocent V,author,,,human,Innocent V,DSNAME4502,Q170871,Q40947,,,,
Bonaventure,author,,,,,,,,human,Bonaventure,Q43746,Q1935
William Durand,author,,,human,Guillaume Durand,DSNAME1502,Q2329414,Q7868,,,,
Augustine,author,,,,,,,,human,Augustine of Hippo,Q8018,Q1515
