title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label,ds_qid
Duʿāʾmanuscript leaf,,,,Dua,Q48657
Arabic language manuscript leaf,,,,Arabic text,Q38349
Fiqh manuscript leaf,,,,Fiqh,Q48658
Psalis & Doxologies for the Coptic Year manuscript leaf,,Doxology,,Psalis;Doxologies,Q48656;Q48659
Ḥadīth manuscript leaves,,Ḥadīth,,Ḥadīth,Q3679
Al-Ḥajj 1-15,,Qurʼan,,Qurʼan,Q3697
Book of hours (orbi terre) manuscript leaf,,Book of hours,,Book of hours,Q795
Psalterium et hymnarium,,Psalter (Dominican),,Psalter,Q660
