name_as_recorded,role,name_agr,source_authority_uri,instance_of_add,authorized_label_add,structured_value_add,ds_id_add,ds_qid_add,instance_of,authorized_label,structured_value,ds_qid
"Ibn Abī Jumhūr al-Aḥsāʼī, Muḥammad ibn ʻAlī, -approximately 1473",author,,,human,Ibn Abi Jumhur al-Ahsa'i,Q16119417,DSNAME8863,Q106641,,,,
"Suhrawardī, Yaḥyá ibn Ḥabash, 1152 or 1153-1191",author,,,human,Shihab al-Din Suhrawardi,Q282883,DSNAME8864,Q106642,,,,
"Dāmād, Muḥammad Bāqir ibn Muḥammad, -1631?",author,,,,,,,,human,Mir Damad,Q3315763,Q18708
"Qummī, Muḥammad ibn Mufīd",author,قمي، محمد بن مفيد,,,,,,,human,Muḥammad ibn Mufīd Qummī,Q131575265,Q67802
"Ṣadr al-Dīn Shīrāzī, Muḥammad ibn Ibrāhīm, -1641",author,صدر الدين شيرازي، محمد بن ابراهيم,,,,,,,human,Mulla Sadra,Q2010955,Q49200
"Narāqī, Muḥammad Mahdī ibn Abī Z̲arr, -1794 or 1795",author,نراقي، محمد مهدي بن ابي ذر,,,,,,,human,Mohammad Mahdi Naraqi,Q6400779,Q49107
"Quṭb al-Taḥtānī, Muḥammad ibn Muḥammad, 1294 or 1295-1364 or 1365",author,قطب التحتانى، محمد بن محمد,,,,,,,human,Qutb al-Din Razi,Q5934574,Q41551
"Dawwānī, Muḥammad ibn Asʻad, 1426 or 1427-1512 or 1513",author,دواني، محمد بن اسعد، 1426 or 1427-1512 or 1513,,,,,,,human,Jalal al-Din Davani,Q4116938,Q40510
"Avicenna, 980-1037",author,,,,,,,,human,Avicenna,Q8011,Q2845
"Kalanbawī, Ismāʻīl ibn Muṣṭafá, d. 1790 or 91",author,,,human,Gelenbevi Ismail Efendi,Q5530412,DSNAME8865,Q106643,,,,
"Banbānī, Muḥammad Yaʻqūb, active 17th century",author,,,human,Muḥammad Yaʻqūb Banbānī,Q135991806,DSNAME8866,Q106644,,,,
"Ṭūsī, Naṣīr al-Dīn Muḥammad ibn Muḥammad, 1201-1274",author,,http://id.loc.gov/authorities/names/n82136884,,,,,,human,Nasir al-Din al-Tusi,Q302835,Q2837
"Akhawayn, Muḥammad ibn Qāsim, -1498 or 1499",author,,,human,Muḥammad ibn Qāsim Akhawayn,Q135991816,DSNAME8867,Q106645,,,,
"Shāh Vajīhuddīn ʻAlavī Gujarātī, 1508-1589",author,,,,,,,,human,Shāh Vajīhuddīn ʻAlavī Gujarātī,Q94640957,Q54226
"Ilāhī Ardabīlī, Ḥusayn ibn ʻAbd al-Ḥaqq, active 15th century-16th century",author,,,,,,,,human,Ḥusayn ibn ʻAbd al-Ḥaqq Ilāhī Ardabīlī,Q135441901,Q103702
"Sulṭān al-ʻUlamāʼ, Ḥusayn ibn Rafīʻ, -1654?",author,,,,,,,,human,Ḥusayn ibn Rafīʻ Sulṭān al-ʻUlamāʼ,Q135441872,Q103651
"Khuwānsārī, Muḥammad ibn Ḥusayn, d. 1713",author,,,human,Ḥusayn ibn Muḥammad Khuwānsārī,Q135441891,DSNAME8842,Q103685,,,,
