File,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_as_recorded_agr,authorized_label_add,ds_qid_add,authorized_label,ds_qid
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Mujlī mirʼāt al-munjī,,,,Text on Islamic doctrine,Q55095,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,al-Muṭāraḥāt,,,,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,al-Qabasāt,,,,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Ḥāshiyah ʻalá Maṭāliʻ al-anẓār ... [etc,حاشية على مطالع الانظار ... الخ,,,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Unidentified Turkish text] ... [etc,,,,Mathematical text,Q12185,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Arbaʻīnīyāt /,اربعينيات /,Arbaʻīnīyāt,اربعينيات,Text on Islamic doctrine,Q55095,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Fuṣūl Abuqrāṭ. Faṣl fī qaḍāyā Buqrāṭ fī al-ʻalāmāt al-dāllah ʻalá al-mawt ... [etc.,فصول ابقراط. فصل في قضايا بقراط في العلامات الدالة على الموت ... الخ,,,Philosophical text;Medical text;Astronomical text,Q5996;Q20372;Q38381,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Kitāb al-Asfār,كتاب الاسفار,Asfār al-arbaʻah,اسفار الاربعة,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Qurrat al-ʻuyūn,قرة العيون,,,Metaphysical text,Q106718,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Hādhā Kitāb Taḥrīr al-qawāʻid al-manṭiqīyah fī sharḥ al-Risālah al-shamsīyah,هذا كتاب تحرير القواعد المنطقية في شرح الرسالة الشمسية,Sharḥ Shamsīyah,شرح شمسية,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Risālat al-Zawrāʼ; Ḥāshiyah ʻalá al-Zawrāʼ ... [etc.,رسالة الزوراء,Works,اعمال,Works,Q5989,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Kitāb al-Shifāʾ,كتاب الشفاء,Shifāʾ,شفاء،,Encyclopedia,Q103471,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Kitāb khulāṣat al-taʻbīr /,كتاب خلاصة التعبير /,,,Occult texts;Philosophical text,Q55147;Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Sharḥ al-ʻarshīyah ... [etc.,شرح العرشية ... الخ,,,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Miftāḥ bāb al-muwajjahāt,,,,Text on logic,Q20450,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Tahdhīb al-Tahdhīb,,,,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Tajrīd al-ʻaqāʼid,,,,,,Tajrīd al-ʻaqāʼid,Q11932
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Ḥāshiyah ʻalá Tajrīd al-ʻaqāʼid,,,,Text on Islamic doctrine,Q55095,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Taʻlīqāt ʻalá al-ḥāshiyah al-mansūbah ilá al-ʻAllāmah al-Khafrī /,,,,Text on Islamic doctrine,Q55095,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Taʻlīq ḥawāshī ʻalá mabāḥith jawāhir al-Sharḥ al-jadīd lil-Tajrīd,,,,Text on Islamic doctrine,Q55095,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Ḥāshiyah ʻalá ilāhīyāt Kitāb al-Tajrīd wa-sharḥihi al-jadīd,,,,Text on Islamic doctrine,Q55095,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Sharḥ Tajrīd al-ʻaqāʼid,,,,Text on Islamic doctrine,Q55095,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Sharḥ Ilāhīyāt Tajrīd al-ʻaqāʼid,,,,Text on Islamic doctrine,Q55095,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Taʻlīqāt ʻalá Ilāhīyāt Tajrīd al-ʻaqāʼid,,,,Text on Islamic doctrine,Q55095,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Taʻlīqāt ʻalá sharḥ Ilāhīyāt Tajrīd al-ʻaqāʼid,,,,Text on Islamic doctrine,Q55095,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Taʻlīqāt ʻalá Ilāhīyāt al-Sharḥ al-jadīd,,,,Text on Islamic doctrine,Q55095,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Taʻlīqāt ʻalá ilāhīyāt al-Sharḥ al-jadīd,,,,Text on Islamic doctrine,Q55095,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Collection of Arabic texts,,,,,,Arabic texts,Q12258
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Fragmentary commentary on a work of philosophy] ... [etc,,,,Text on Islamic doctrine,Q55095,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Kitāb Sharḥ al-Sullam al-murawnaq fī ʻilm al-manṭiq ... [etc,كتاب شرح السلم المرونق في علم المنطق ... الخ,,,Text on Islamic doctrine,Q55095,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Sawād al-ʻayn fī Ḥikmat al-ʻayn,,,,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,al-Shams al-bāzighah fī sharḥ al-Ḥikmah al-bālighah,,,,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Shawāriq al-ilhām fī sharḥ Tajrīd al-kalām,,,,Text on Islamic doctrine,Q55095,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,al-Shifāʼ,,,,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Sharḥ Ṭawāliʻ al-anwār /,شرح طوالع الانوار /,,,Text on Islamic doctrine,Q55095,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Kitāb al-Ḥaqāʾiq,كتاب الحقائق,Ḥaqāʾiq,حقائق,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Philosophical treatise on perception,,,,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Kitāb Ikhwān al-Ṣafāʼ,کتاب اخوان الصفا,Rasāʼil,رسائل,Rasāʼil,Q51973,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Ḥāshiyah ʻalá Sharḥ al-Maybudī] ... [etc.,حاشية على شرح الميبدي,,,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Taʻrīfāt /,تعريفات /,,,Philosophical text;Sufi texts;Dictionary,Q5996;Q27797;Q7823,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Hādhā Kitāb Ḥadīqat azhār al-maʻārif yukhtaṣṣu bi-al-tanazzuh bi-hā kull shakhṣ ʻārif,هذا كتاب حديقة ازهار المعارف يختص بالتنزه بها كل شخص عارف,Ḥadīqat azhār al-maʻārif yukhtaṣṣu bi-al-tanazzuh bi-hā kull shakhṣ ʻārif,حديقة ازهار المعارف يختص بالتنزه بها كل شخص عارف,Text on Islamic doctrine,Q55095,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,al-Maqāmāt al-falsafīyah wa-al-tarjamāt al-Ṣūfīyah,,,,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Ḥāshiyah ʻalá Sharḥ al-Mawāqif,,,,Text on Islamic doctrine,Q55095,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Sharḥ al-Mawāqif,,,,Text on Islamic doctrine,Q55095,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Miftāḥ al-ghayb,,,,Sufi texts;Philosophical text,Q27797;Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Miṣbāḥ al-uns bayna al-maʻqūl wa-al-mashhūd fī sharḥ Miftāḥ ghayb al-jamʻ wa-al-wujūd,,,,Sufi texts;Philosophical text,Q27797;Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Jild-i chaharum-i asfār az asfār-i nafs /,جلد چهرم اسفار از اسفار نفس,Asfār al-arbaʻah,اسفار الاربعة,Asfār al-arbaʻah,Q106723,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,al-Asfār al-arbaʻah,اسفار الاربعة,,,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Ḥāshiyah ʻalá Ḥikmat al-ʻayn,,,,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Sharḥ Ḥikmat al-ʻayn,,,,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Ḥāshiyah ʻalá al-Ishārāt wa-al-tanbīhāt,,,,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Sharḥ al-Ishārāt wa-al-tanbīhāt,,,,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Jawāb masāʼil Abī Rayḥān al-Bīrūnī,,,,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Ḥāshiyat Mīrzā Jān,,,,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Ḥāshiyat al-Kurdī,,,,Philosophical text,Q5996,,
20250801-titles-princeton-marcxml-islamic-philosophy-enriched.csv,Ṭawāliʻ al-anwār min maṭāliʻ al-anẓār,طوال الانوار من مطال الانظار,,,Text on Islamic doctrine,Q55095,,
