subject_as_recorded,subfield_codes,vocab,source_authority_uri,authorized_label,structured_value,authorized_label_add,structured_value_add
Ambassadors--France--16th century.,a--z--y,0,,Ambassadors;France;Sixteenth century,http://id.worldcat.org/fast/806713;http://id.worldcat.org/fast/1204289;http://id.worldcat.org/fast/1119851,,
Ambassadors--Italy--Florence--16th century.,a--z--z--y,0,,Ambassadors;Italy--Florence;Sixteenth century,http://id.worldcat.org/fast/806713;http://id.worldcat.org/fast/1204699;http://id.worldcat.org/fast/1119851,,
Ambassadors--Italy--Venice--16th century.,a--z--z--y,0,,Ambassadors;Italy--Venice;Sixteenth century,http://id.worldcat.org/fast/806713;http://id.worldcat.org/fast/1204473;http://id.worldcat.org/fast/1119851,,
Ameglia (Italy),a,0,http://id.loc.gov/authorities/names/nr94037511,Italy--Ameglia,http://id.worldcat.org/fast/1270599,,
America.,a,fast,http://id.worldcat.org/fast/1239786,America,http://id.worldcat.org/fast/1239786,,
Ancona (Italy : Province)--History.,a--x,0,,Italy--Ancona (Province);History,http://id.worldcat.org/fast/1334218;http://id.worldcat.org/fast/958235,,
Ancona (Italy)--Commerce--16th century.,a--x--y,0,,Italy--Ancona;Commerce;Sixteenth century,http://id.worldcat.org/fast/1207342;http://id.worldcat.org/fast/869279;http://id.worldcat.org/fast/1119851,,
"Ancona (Italy)--History, Military.",a--x,0,,"Italy--Ancona;History, Military",http://id.worldcat.org/fast/1207342;http://id.worldcat.org/fast/1353231,,
Ancona (Italy)--History--15th century.,a--x--y,0,,Italy--Ancona;History;Fifteenth century,http://id.worldcat.org/fast/1207342;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/923962,,
Ancona (Italy)--History--16th century.,a--x--y,0,,Italy--Ancona;History;Sixteenth century,http://id.worldcat.org/fast/1207342;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1119851,,
"Ancona (Italy)--History--Siege, 1174.",a--x--y,0,,Italy--Ancona;History,http://id.worldcat.org/fast/1207342;http://id.worldcat.org/fast/958235,,
"Ancona (Italy)--History--Siege, 1383.",a--x--y,0,,Italy--Ancona;History,http://id.worldcat.org/fast/1207342;http://id.worldcat.org/fast/958235,,
Andalusia (Spain)--History--13th century--Sources.,a--x--y--v,0,,Spain--Andalusia;History;Thirteenth century;Sources,http://id.worldcat.org/fast/1217626;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1150138;http://id.worldcat.org/fast/1423900,,
Andenne (Belgium)--Church history.,a--x,0,,Belgium--Andenne;Church history,http://id.worldcat.org/fast/1253903;http://id.worldcat.org/fast/1411629,,
Angels.,a,fast,http://id.worldcat.org/fast/808746,Angels,http://id.worldcat.org/fast/808746,,
Angels--Early works to 1800.,a--v,0,,Angels;Early works,http://id.worldcat.org/fast/808746;http://id.worldcat.org/fast/1411636,,
Animal culture.,a,fast,http://id.worldcat.org/fast/809131,Animal culture,http://id.worldcat.org/fast/809131,,
Animal culture--Early works to 1800.,a--v,0,,Animal culture;Early works,http://id.worldcat.org/fast/809131;http://id.worldcat.org/fast/1411636,,
Annecy (France)--History.,a--x,0,,France--Annecy;History,http://id.worldcat.org/fast/1208990;http://id.worldcat.org/fast/958235,,
Antichrist.,a,fast,http://id.worldcat.org/fast/810461,Antichrist,http://id.worldcat.org/fast/810461,,
Antichrist--Early works to 1800.,a--v,0,,Antichrist;Early works,http://id.worldcat.org/fast/810461;http://id.worldcat.org/fast/1411636,,
Antiphonaries.,a,fast,http://id.worldcat.org/fast/810657,Antiphonaries,http://id.worldcat.org/fast/810657,,
Antiphonaries--Manuscripts.,a--x,0,,,,Antiphonaries--Manuscripts,http://id.worldcat.org/fast/810659
Antiphonaries--Specimens.,a--v,0,,Antiphonaries;Specimens,http://id.worldcat.org/fast/810657;http://id.worldcat.org/fast/1423861,,
Antiphons (Music),a,fast,http://id.worldcat.org/fast/810660,Antiphons (Music),http://id.worldcat.org/fast/810660,,
Antiphons (Music)--Early works to 1800.,a--v,0,,Antiphons (Music);Early works,http://id.worldcat.org/fast/810660;http://id.worldcat.org/fast/1411636,,
Apologetics--Early works to 1800.,a--v,0,,,,Apologetics;Early works,http://id.worldcat.org/fast/811449;http://id.worldcat.org/fast/1411636
Apostles in art.,a,fast,http://id.worldcat.org/fast/811486,Apostles in art,http://id.worldcat.org/fast/811486,,
Apostles in art.,a,0,http://id.loc.gov/authorities/subjects/sh85006055,Apostles in art,http://id.worldcat.org/fast/811486,,
Aqueducts.,a,fast,http://id.worldcat.org/fast/812149,Aqueducts,http://id.worldcat.org/fast/812149,,
Aqueducts--Italy--Rome--Early works to 1800.,a--z--z--v,0,,Aqueducts;Italy--Rome;Rome (Empire);Early works,http://id.worldcat.org/fast/812149;http://id.worldcat.org/fast/1204500;http://id.worldcat.org/fast/1204885;http://id.worldcat.org/fast/1411636,,
Aquileia (Italy)--History--To 1500.,a--x--y,0,http://id.loc.gov/authorities/subjects/sh2002003927,Italy--Aquileia;History,http://id.worldcat.org/fast/1202897;http://id.worldcat.org/fast/958235,,
Arab countries.,a,fast,http://id.worldcat.org/fast/1240128,Arab countries,http://id.worldcat.org/fast/1240128,,
Arabic language.,a,fast,http://id.worldcat.org/fast/812287,Arabic language,http://id.worldcat.org/fast/812287,,
Arabic language--Dictionaries.,a--v,0,http://id.loc.gov/authorities/subjects/sh85006309,Arabic language;Dictionaries,http://id.worldcat.org/fast/812287;http://id.worldcat.org/fast/1423826,,
Arabic language--Grammar.,a--x,0,http://id.loc.gov/authorities/subjects/sh86000279,Arabic language--Grammar,http://id.worldcat.org/fast/812341,,
Arabic language--Grammar.,a--x,fast,http://id.worldcat.org/fast/812341,Arabic language--Grammar,http://id.worldcat.org/fast/812341,,
Arabic language--Syntax.,a--x,fast,http://id.worldcat.org/fast/812441,Arabic language--Syntax,http://id.worldcat.org/fast/812441,,
Arabic language--Syntax.,a--x,0,http://id.loc.gov/authorities/subjects/sh2007101235,Arabic language--Syntax,http://id.worldcat.org/fast/812441,,
Arabic poetry.,a,fast,http://id.worldcat.org/fast/812533,Arabic poetry,http://id.worldcat.org/fast/812533,,
Arabic poetry--622-750.,a--y,0,http://id.loc.gov/authorities/subjects/sh85006335,Arabic poetry,http://id.worldcat.org/fast/812533,,
Arabic poetry--Early works to 1800.,a--v,0,,Arabic poetry;Early works,http://id.worldcat.org/fast/812533;http://id.worldcat.org/fast/1411636,,
Aragon (Spain)--History--Poetry.,a--x--v,0,,Spain--Aragon;History;Poetry,http://id.worldcat.org/fast/1227604;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1423828,,
Aragon (Spain)--History--Sources.,a--x--v,0,,Spain--Aragon;History;Sources,http://id.worldcat.org/fast/1227604;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1423900,,
Architecture--Orders.,a--x,fast,http://id.worldcat.org/fast/813493,Architecture--Orders,http://id.worldcat.org/fast/813493,,
Architecture--Orders--Early works to 1800.,a--x--v,0,,Architecture--Orders;Early works,http://id.worldcat.org/fast/813493;http://id.worldcat.org/fast/1411636,,
Ardennes--History.,a--x,0,,Europe--Ardennes;History,http://id.worldcat.org/fast/1240231;http://id.worldcat.org/fast/958235,,
Arezzo (Italy : Province)--History--14th century.,a--x--y,0,,Italy--Arezzo (Province);History;Fourteenth century,http://id.worldcat.org/fast/1330646;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/933420,,
Arezzo (Italy)--History.,a--x,0,http://id.loc.gov/authorities/subjects/sh92006561,Italy--Arezzo;History,http://id.worldcat.org/fast/1209394;http://id.worldcat.org/fast/958235,,
Arithmetic.,a,fast,http://id.worldcat.org/fast/814484,Arithmetic,http://id.worldcat.org/fast/814484,,
Arithmetic--Early works to 1800.,a--v,0,,Arithmetic;Early works,http://id.worldcat.org/fast/814484;http://id.worldcat.org/fast/1411636,,
Arithmetic--Early works to 1900.,a--v,0,http://id.loc.gov/authorities/subjects/sh85007164,Arithmetic;Early works,http://id.worldcat.org/fast/814484;http://id.worldcat.org/fast/1411636,,
Arithmetic--Study and teaching--Early works to 1800.,a--x--v,0,,,,Arithmetic--Study and teaching;Early works,http://id.worldcat.org/fast/814501;http://id.worldcat.org/fast/1411636
Arles (France)--History.,a--x,0,,France--Arles;History,http://id.worldcat.org/fast/1206034;http://id.worldcat.org/fast/958235,,
Armagnac (France),a,0,http://id.loc.gov/authorities/names/n81007172,France--Armagnac,http://id.worldcat.org/fast/1211502,,
Armenia.,a,fast,http://id.worldcat.org/fast/1206470,Armenia,http://id.worldcat.org/fast/1206470,,
"Armenia--History--Turkic Mongol Domination, 1045-1522.",a--x--y,0,http://id.loc.gov/authorities/subjects/sh85007271,Armenia;History;Turkic Mongol Domination (Armenia : 1045-1522),http://id.worldcat.org/fast/1206470;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1907635,,
Art--Forgeries.,a--x,0,http://id.loc.gov/authorities/subjects/sh85007484,Art--Forgeries,http://id.worldcat.org/fast/815252,,
Art--Forgeries.,a--x,fast,http://id.worldcat.org/fast/815252,Art--Forgeries,http://id.worldcat.org/fast/815252,,
Artillery.,a,fast,http://id.worldcat.org/fast/817490,Artillery,http://id.worldcat.org/fast/817490,,
Artillery--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2009115966,Artillery;Early works,http://id.worldcat.org/fast/817490;http://id.worldcat.org/fast/1411636,,
Asceticism.,a,fast,http://id.worldcat.org/fast/818425,Asceticism,http://id.worldcat.org/fast/818425,,
Asceticism--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2009116043,Asceticism;Early works,http://id.worldcat.org/fast/818425;http://id.worldcat.org/fast/1411636,,
Asceticism--Early works to 1800.,a--v,0,,Asceticism;Early works,http://id.worldcat.org/fast/818425;http://id.worldcat.org/fast/1411636,,
"Asceticism--History--Early church, ca. 30-600.",a--x--y,0,http://id.loc.gov/authorities/subjects/sh85008543,Asceticism;History;30-600,http://id.worldcat.org/fast/818425;http://id.worldcat.org/fast/958235;http://id.worldcat.org/fast/1355906,,
Ascoli Piceno (Italy)--History.,a--x,0,,Italy--Ascoli Piceno;History,http://id.worldcat.org/fast/1232850;http://id.worldcat.org/fast/958235,,
Assisi (Italy),a,0,http://id.loc.gov/authorities/names/n79089733,Italy--Assisi,http://id.worldcat.org/fast/1206046,,
Astrolabes.,a,fast,http://id.worldcat.org/fast/819392,Astrolabes,http://id.worldcat.org/fast/819392,,
Astrolabes--Early works to 1800.,a--v,0,http://id.loc.gov/authorities/subjects/sh2009116092,Astrolabes;Early works,http://id.worldcat.org/fast/819392;http://id.worldcat.org/fast/1411636,,
"Astrology, Arab.",a,fast,http://id.worldcat.org/fast/819451,"Astrology, Arab",http://id.worldcat.org/fast/819451,,
"Astrology, Arab--Early works to 1800.",a--v,0,,"Astrology, Arab;Early works",http://id.worldcat.org/fast/819451;http://id.worldcat.org/fast/1411636,,
Astrology.,a,fast,http://id.worldcat.org/fast/819398,Astrology,http://id.worldcat.org/fast/819398,,
