subject_as_recorded,source_authority_uri,authorized_label,structured_value
Cancon (France),,,
Corró de Munt (Spain),,,
Małogoszcz (Poland),,,
Montedoglio (Italy),,,
"Piccolomini, Roma di",,,
Saint-Geoire-en-Valdaine (France),,,
Val Secret (France),,,
Valdenoceda (Spain),,,
