source_title,source_catalog_or_lot_number,titles,authors,dates,artists,scribes,languages,materials,places,provenance
2023-06-22 - Smith College - Digital Scriptorium Catalog Import,DS305,Prooemialis epistula summo pontifici destinata super legenda Sancte Clare Virginis;Homilies;f. 1 verso,Maximus of Turin;Thomas of Celano,s. XII; 1100-1199;1300-1399,,,[Latin],parchment,"Italy, Italy",The ms. has a contemporary inscription: Iste libellus est fratris thomassurii.
2023-06-22 - Smith College - Digital Scriptorium Catalog Import,DS298,Missal (Smith College Ms. 263);[Missal].,Catholic Church.,[ca. 1475]; 1460-1460,,,,vellum,"Flanders (Belgium), Flanders",
2023-06-22 - Smith College - Digital Scriptorium Catalog Import,DS299,Missal. (Smith College Ms. 261);[Breviary],Catholic Church.,1505-1505,,,,vellum,"Flanders (Belgium), Flanders",
2023-06-22 - Smith College - Digital Scriptorium Catalog Import,DS300,Book of hours (Smith College Ms. 254);[Book of hours (Use of Paris)].,Catholic Church.,[ca. 1450]; 1400-1499,,,,parchment,"France, Northern France",
2023-06-22 - Smith College - Digital Scriptorium Catalog Import,DS301,Book of hours (Smith College Ms. 255);[Book of hours].,Catholic Church.,[ca. 1410-1420]; 1410-1420,,,,"vellum, col. ill.",,
2023-06-22 - Smith College - Digital Scriptorium Catalog Import,DS302,Book of hours (Smith College Ms. 274);[Book of hours (Use of Rouen)].,Catholic Church.,1442-1442,,,,"vellum, illuminated in gold and colors","Rouen (France), Rouen",
2023-06-22 - Smith College - Digital Scriptorium Catalog Import,DS303,Book of hours (Smith College Ms. 288 );[Book of hours].,Catholic Church.,1460-1460,,,,"parchment, illuminations in gold and colors","Flanders (Belgium), Flanders",
2023-06-22 - Smith College - Digital Scriptorium Catalog Import,DS304,Psalter (Smith College Ms. 291);[Psalter],Catholic Church.,[ca. 1250]; 1250-1250,,,,"vellum, col. ill",,
2023-06-22 - Smith College - Digital Scriptorium Catalog Import,DS306,Bible. Latin. Vulgate. 12--;[Bible].,,[between 1230 and 1250]; 1230-1250,,,,"parchment, penwork initials throughout","France, France",
2023-06-22 - Smith College - Digital Scriptorium Catalog Import,DS307,Bible. Latin. Vulgate. 12--;[Biblia sacra].,,[between 1250 and 1299]; 1200-1299,,,,"parchment, penwork initials throughout, added s. xiv","France, France",
2023-06-22 - Smith College - Digital Scriptorium Catalog Import,DS308,[Enchiridion] (fragmentary).,"Leo III, Pope 816 (attr.",1500-1599,,,,"vellum, color illustrations","Italy, Italy",
