source_title,source_catalog_or_lot_number,titles,authors,dates,artists,scribes,languages,materials,places,provenance
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10019,Anaphora of Our Lady Mary (Pius XII Memorial Library. Manuscript. VFL MS 030),"Cyriacus, Bishop of al-Bahnasā",19--,,,Ethiopic,parchment,Ethiopia,"Saint Louis University, VFL MS 030"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10033,"Antiphonary, imperfect;Antiphonary",Catholic Church,16--,,,Latin,parchment,Spain,"Saint Louis University, VFL MS 028"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10037,Release of goods and chattels (Pius XII Memorial Library. Manuscript. VFL MS 032),England. Sovereign (1327-1377 : Edward III),1374.,,,Latin,parchment,"Westminster, England","Saint Louis University, VFL MS 032"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10039,Receipt for debt (Pius XII Memorial Library. Manuscript. VFL MS 034),,1360.,,,French,parchment,France,"Saint Louis University, VFL MS 034"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10042,"Sancti Gregorii Papae Dialogorum libri IV, single leaves;Dialogi","Gregory I, Pope, approximately 540-604",ca. 1450].,,,In Latin,parchment,Germany,"Saint Louis University, VFL MS 036"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10043,Legenda aurea,"Jacobus, de Voragine, approximately 1229-1298",ca. 1300].,,,In Latin,parchment,Italy,"Saint Louis University, VFL MS 057"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10045,"Paralipomenon, single leaves;Bible",,ca. 1300,,,Latin,parchment,Bologna,"Saint Louis University, VFL MS 060"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10048,"Book of hours, single leaf;Book of hours",Catholic Church,14--,,,French,parchment,France,"Saint Louis University, VFL MS 058"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10057,Khusraw and Shirin,"Niẓāmī Ganjavī, 1140 or 1141-1202 or 1203",ca. 19--,,,In Persian,"paper, ill.",Iran,"Saint Louis University, VFL MS 054"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10067,Commentary on the Psalms,,12--,,,In Latin,"parchment,",France,"Saint Louis University, VFL MS 053"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10072,"Bible, single leaf;Bible",,ca. 1260-70,,,In Latin,parchment,France,"Saint Louis University, VFL MS 066"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10073,"Liber sextus decretalium Bonifacii Pape VIII, single leaf;Liber sextus decretalium",Catholic Church,ca. 1325,,,In Latin,parchment,"Bologna, Italy","Saint Louis University, VFL MS 067"
2024-07-25 - Saint Louis University - Digital Scriptorium Catalog records,DS10049,"Liber] sextus decretalium domini Bonifacii Pape VIII, [single leaves;Liber sextus decretalium",Catholic Church. Pope (1294-1303 : Boniface VIII),ca. 1325,,,In Latin,"parchment, ill.",Italy,"Saint Louis University, VFL MS 059"
2024-07-23 - Saint Louis University - Digital Scriptorium Catalog records,DS10047,"Bible, imperfect;Bible",,ca. 1225-1250].,,,In Latin,parchment,England,"Savage, John A., Jr., approximately 1832-1864;Saint Louis University, VFL MS 056"
