ds_id,date_added,date_last_updated,source_type,cataloging_convention,holding_institution_ds_qid,holding_institution_as_recorded,holding_institution_id_number,holding_institution_shelfmark,link_to_holding_institution_record,iiif_manifest,production_place_as_recorded,production_place_ds_qid,production_date_as_recorded,production_date,century,century_aat,dated,title_as_recorded,title_as_recorded_agr,uniform_title_as_recorded,uniform_title_agr,standard_title_ds_qid,genre_as_recorded,genre_ds_qid,subject_as_recorded,subject_ds_qid,author_as_recorded,author_as_recorded_agr,author_ds_qid,artist_as_recorded,artist_as_recorded_agr,artist_ds_qid,scribe_as_recorded,scribe_as_recorded_agr,scribe_ds_qid,associated_agent_as_recorded,associated_agent_as_recorded_agr,associated_agent_ds_qid,former_owner_as_recorded,former_owner_as_recorded_agr,former_owner_ds_qid,language_as_recorded,language_ds_qid,material_as_recorded,material_ds_qid,physical_description,note,acknowledgments,data_processed_at,data_source_modified,source_file
,"","",ds-csv,ds-schema,Q801,Providence Public Library,Wetmore MS 3,Wetmore MS 3,,"","","",1150/1737–8. The date seems to have been tampered with and may have read 1250/1834–5.,1737^1738,18,http://vocab.getty.edu/aat/300404512,true,Arabic alphabet,"","","",Q44101,encyclopedias,Q303,Alphabet,Q16318,Mustafa Wasif Ghazi,"",Q42260,"","","","","","","","","",Edith Wetmore,"",Q803,Arabic,Q118,"light brown paper, glazed and watermarked with letters V. G.","","Extent: fols. 19; light brown paper, glazed and watermarked with letters V. G.; 170 x 255 mm","Layout: 6 lines|Script: large naskh, calligraphic script|Decoration: illuminated unwan and other gold leaf illuminations|Binding: gilt-tooled leather binding|Provenance: Edith Wetmore, collection of children’s books, ca. 1952","",2024-08-15 10:50:31 -0400,20240618,20240618-providence-csv-wetmore.csv
,"","",ds-csv,ds-schema,Q801,Providence Public Library,Wetmore MS 4,Wetmore MS 4,,"","","",1257/1841,1841^1841,19,http://vocab.getty.edu/aat/300404513,true,Durj al-mazamın,"","","",Q44102,"","","","",Mukhtar Ama,"",Q42258,"","","","","","","","","",Edith Wetmore,"",Q803,Arabic,Q118,"Paper is laid and blue, no glazing",Q31,"Extent: fols. 8; Paper is laid and blue, no glazing; 128 x 197 mm",Layout: 7 lines|Script: medium size nastalıq|Decoration: Multicolor pictures of animals and plants interlinear|Provenance: Acquired ca. 1955  from Edith Wetmore. Uncatalogued. Identified by Ms. M. B. Homaee|Uncatalogued,Identified by Ms. M. B. Homaee,2024-08-15 10:50:31 -0400,20240618,20240618-providence-csv-wetmore.csv
