holding_institution,shelfmark,url
csl,Sutro Collection Halliwell Phillips MS 02,https://archive.org/details/SutroCollectionHalliwellPhillipsMS02_12
csl,Sutro Collection Halliwell Phillips MS 01,https://archive.org/details/SutroCollectionHalliwellPhillipsMS01_12
csl,CSL v096 C3631,https://archive.org/details/CSLv096C3631_9
csl,CSL v091 B29,https://archive.org/details/CSLv091B29_9
conception,CA 43,https://archive.org/details/CA43_15
conception,CA 42,https://archive.org/details/CA42_15
conception,CA 41,https://archive.org/details/CA41_15
conception,CA 40,https://archive.org/details/CA40_15
conception,CA 39,https://archive.org/details/CA39_15
conception,CA 38,https://archive.org/details/CA38_15
conception,CA 37,https://archive.org/details/CA37_15
conception,CA 36,https://archive.org/details/CA36_15
conception,CA 35,https://archive.org/details/CA35_15
conception,CA 34,https://archive.org/details/CA34_15
conception,CA 33,https://archive.org/details/CA33_15
conception,CA 31,https://archive.org/details/CA31_15
conception,CA 30,https://archive.org/details/CA30_15
conception,CA 29,https://archive.org/details/CA29_15
conception,CA 28,https://archive.org/details/CA28_15
conception,CA 26,https://archive.org/details/CA26_15
conception,CA 24,https://archive.org/details/CA24_15
conception,CA 23,https://archive.org/details/CA23_15
conception,CA 22,https://archive.org/details/CA22_15
conception,CA 21,https://archive.org/details/CA21_15
conception,CA 20,https://archive.org/details/CA20_15
conception,CA 19,https://archive.org/details/CA19_15
conception,CA 18,https://archive.org/details/CA18_15
conception,CA 17,https://archive.org/details/CA17_15
conception,CA 16,https://archive.org/details/CA16_15
conception,CA 15,https://archive.org/details/CA15_15
conception,CA 14,https://archive.org/details/CA14_15
conception,CA 13,https://archive.org/details/CA13_15
conception,CA 12,https://archive.org/details/CA12_15
conception,CA 11,https://archive.org/details/CA11_15
conception,CA 10,https://archive.org/details/CA10_15
conception,CA 09,https://archive.org/details/CA09_15
conception,CA 08,https://archive.org/details/CA08_15
conception,CA 07,https://archive.org/details/CA07_15
conception,CA 06,https://archive.org/details/CA06_15
conception,CA 05,https://archive.org/details/CA05_15
conception,CA 04,https://archive.org/details/CA04_15
conception,CA 02,https://archive.org/details/CA02_15
conception,CA 01,https://archive.org/details/CA01_15
cuny,MS 1,https://archive.org/details/MS1_5
grolier,MS 01,https://archive.org/details/MS01_24
grolier,MS 03,https://archive.org/details/MS03_24
grolier,MS 04,https://archive.org/details/MS04_24
grolier,MS 06,https://archive.org/details/MS06_24
grolier,MS 07,https://archive.org/details/MS07_24
grolier,MS 09,https://archive.org/details/MS09_24
grolier,MS 10,https://archive.org/details/MS10_24
grolier,MS 11,https://archive.org/details/MS11_24
grolier,MS 12,https://archive.org/details/MS12_24
grolier,MS 13,https://archive.org/details/MS13_24
grolier,MS 14,https://archive.org/details/MS14_24
grolier,MS 16,https://archive.org/details/MS16_24
grolier,MS 17,https://archive.org/details/MS17_24
grolier,MS 18,https://archive.org/details/MS18_24
gts,01 Western,https://archive.org/details/01Western_23
gts,02 Western,https://archive.org/details/02Western_23
gts,03 Western,https://archive.org/details/03Western_23
gts,05 Western,https://archive.org/details/05Western_23
gts,06 Western,https://archive.org/details/06Western_23
gts,07 Western,https://archive.org/details/07Western_23
gts,08 Western,https://archive.org/details/08Western_23
